dll,name,address
KERNEL32.dll,Sleep,0x410000
KERNEL32.dll,GetFullPathNameA,0x410004
KERNEL32.dll,DeleteFileA,0x410008
KERNEL32.dll,SetEndOfFile,0x41000c
KERNEL32.dll,GetStringTypeW,0x410010
KERNEL32.dll,GetStringTypeA,0x410014
KERNEL32.dll,ReadFile,0x410018
KERNEL32.dll,LCMapStringW,0x41001c
KERNEL32.dll,LCMapStringA,0x410020
KERNEL32.dll,MultiByteToWideChar,0x410024
KERNEL32.dll,GetOEMCP,0x410028
KERNEL32.dll,GetACP,0x41002c
KERNEL32.dll,GetCPInfo,0x410030
KERNEL32.dll,CreateFileA,0x410034
KERNEL32.dll,SetFilePointer,0x410038
KERNEL32.dll,SetStdHandle,0x41003c
KERNEL32.dll,RtlUnwind,0x410040
KERNEL32.dll,GetEnvironmentStringsW,0x410044
KERNEL32.dll,GetEnvironmentStrings,0x410048
KERNEL32.dll,WideCharToMultiByte,0x41004c
KERNEL32.dll,FreeEnvironmentStringsW,0x410050
KERNEL32.dll,FreeEnvironmentStringsA,0x410054
KERNEL32.dll,UnhandledExceptionFilter,0x410058
KERNEL32.dll,HeapCreate,0x41005c
KERNEL32.dll,HeapDestroy,0x410060
KERNEL32.dll,GetVersionExA,0x410064
KERNEL32.dll,GetEnvironmentVariableA,0x410068
KERNEL32.dll,GetModuleHandleA,0x41006c
KERNEL32.dll,GetLastError,0x410070
KERNEL32.dll,SetEnvironmentVariableA,0x410074
KERNEL32.dll,GetCurrentDirectoryA,0x410078
KERNEL32.dll,SetCurrentDirectoryA,0x41007c
KERNEL32.dll,CreateDirectoryA,0x410080
KERNEL32.dll,IsBadWritePtr,0x410084
KERNEL32.dll,IsBadReadPtr,0x410088
KERNEL32.dll,HeapValidate,0x41008c
KERNEL32.dll,GetCommandLineA,0x410090
KERNEL32.dll,GetVersion,0x410094
KERNEL32.dll,ExitProcess,0x410098
KERNEL32.dll,CloseHandle,0x41009c
KERNEL32.dll,DebugBreak,0x4100a0
KERNEL32.dll,GetStdHandle,0x4100a4
KERNEL32.dll,WriteFile,0x4100a8
KERNEL32.dll,InterlockedDecrement,0x4100ac
KERNEL32.dll,OutputDebugStringA,0x4100b0
KERNEL32.dll,GetProcAddress,0x4100b4
KERNEL32.dll,LoadLibraryA,0x4100b8
KERNEL32.dll,InterlockedIncrement,0x4100bc
KERNEL32.dll,GetModuleFileNameA,0x4100c0
KERNEL32.dll,FlushFileBuffers,0x4100c4
KERNEL32.dll,SetHandleCount,0x4100c8
KERNEL32.dll,GetFileType,0x4100cc
KERNEL32.dll,GetStartupInfoA,0x4100d0
KERNEL32.dll,TerminateProcess,0x4100d4
KERNEL32.dll,GetCurrentProcess,0x4100d8
KERNEL32.dll,HeapAlloc,0x4100dc
KERNEL32.dll,HeapReAlloc,0x4100e0
KERNEL32.dll,HeapFree,0x4100e4
KERNEL32.dll,VirtualFree,0x4100e8
KERNEL32.dll,VirtualAlloc,0x4100ec
KERNEL32.dll,GetDriveTypeA,0x4100f0
nNOTES.dll,,0x4100f8
nNOTES.dll,,0x4100fc
nNOTES.dll,,0x410100
nNOTES.dll,,0x410104
nNOTES.dll,,0x410108
nNOTES.dll,,0x41010c
nNOTES.dll,,0x410110
nNOTES.dll,,0x410114
nNOTES.dll,,0x410118
nNOTES.dll,,0x41011c
nNOTES.dll,,0x410120
nNOTES.dll,,0x410124
nNOTES.dll,,0x410128
nNOTES.dll,,0x41012c
nNOTES.dll,,0x410130
nNOTES.dll,,0x410134
nNOTES.dll,,0x410138
nNOTES.dll,,0x41013c
nNOTES.dll,,0x410140
nNOTES.dll,,0x410144
nNOTES.dll,,0x410148
nNOTES.dll,,0x41014c
nNOTES.dll,,0x410150
nNOTES.dll,,0x410154
nNOTES.dll,,0x410158
nNOTES.dll,,0x41015c
nNOTES.dll,,0x410160
