dll,name,address
KERNEL32.dll,Sleep,0x406010
KERNEL32.dll,GetTempPathA,0x406014
KERNEL32.dll,GetTempFileNameA,0x406018
KERNEL32.dll,CreateProcessA,0x40601c
ADVAPI32.dll,RegOpenKeyExA,0x406000
ADVAPI32.dll,RegSetValueExA,0x406004
ADVAPI32.dll,RegCloseKey,0x406008
WININET.dll,InternetOpenA,0x406084
WININET.dll,InternetOpenUrlA,0x406088
WININET.dll,InternetReadFile,0x40608c
WININET.dll,InternetCloseHandle,0x406090
urlmon.dll,URLDownloadToFileA,0x406098
MSVCRT.dll,_onexit,0x406024
MSVCRT.dll,__dllonexit,0x406028
MSVCRT.dll,_controlfp,0x40602c
MSVCRT.dll,_except_handler3,0x406030
MSVCRT.dll,__set_app_type,0x406034
MSVCRT.dll,__p__fmode,0x406038
MSVCRT.dll,__p__commode,0x40603c
MSVCRT.dll,??3@YAXPAX@Z,0x406040
MSVCRT.dll,??2@YAPAXI@Z,0x406044
MSVCRT.dll,printf,0x406048
MSVCRT.dll,memset,0x40604c
MSVCRT.dll,malloc,0x406050
MSVCRT.dll,strchr,0x406054
MSVCRT.dll,strlen,0x406058
MSVCRT.dll,strcat,0x40605c
MSVCRT.dll,_exit,0x406060
MSVCRT.dll,_XcptFilter,0x406064
MSVCRT.dll,exit,0x406068
MSVCRT.dll,__p___initenv,0x40606c
MSVCRT.dll,__getmainargs,0x406070
MSVCRT.dll,_initterm,0x406074
MSVCRT.dll,__setusermatherr,0x406078
MSVCRT.dll,_adjust_fdiv,0x40607c
