dll,name,address
COMCTL32.dll,InitCommonControlsEx,0x41302c
SHLWAPI.dll,SHAutoComplete,0x4131bc
KERNEL32.dll,DeleteFileW,0x413068
KERNEL32.dll,DeleteFileA,0x41306c
KERNEL32.dll,CreateDirectoryA,0x413070
KERNEL32.dll,CreateDirectoryW,0x413074
KERNEL32.dll,FindClose,0x413078
KERNEL32.dll,FindNextFileA,0x41307c
KERNEL32.dll,FindFirstFileA,0x413080
KERNEL32.dll,FindNextFileW,0x413084
KERNEL32.dll,FindFirstFileW,0x413088
KERNEL32.dll,GetTickCount,0x41308c
KERNEL32.dll,WideCharToMultiByte,0x413090
KERNEL32.dll,GlobalAlloc,0x413094
KERNEL32.dll,GetVersionExW,0x413098
KERNEL32.dll,GetFullPathNameA,0x41309c
KERNEL32.dll,GetFullPathNameW,0x4130a0
KERNEL32.dll,MultiByteToWideChar,0x4130a4
KERNEL32.dll,GetModuleFileNameW,0x4130a8
KERNEL32.dll,FindResourceW,0x4130ac
KERNEL32.dll,GetModuleHandleW,0x4130b0
KERNEL32.dll,HeapAlloc,0x4130b4
KERNEL32.dll,GetProcessHeap,0x4130b8
KERNEL32.dll,HeapFree,0x4130bc
KERNEL32.dll,HeapReAlloc,0x4130c0
KERNEL32.dll,CompareStringA,0x4130c4
KERNEL32.dll,ExitProcess,0x4130c8
KERNEL32.dll,GetLocaleInfoW,0x4130cc
KERNEL32.dll,SetFileAttributesW,0x4130d0
KERNEL32.dll,DosDateTimeToFileTime,0x4130d4
KERNEL32.dll,GetDateFormatW,0x4130d8
KERNEL32.dll,GetTimeFormatW,0x4130dc
KERNEL32.dll,FileTimeToSystemTime,0x4130e0
KERNEL32.dll,FileTimeToLocalFileTime,0x4130e4
KERNEL32.dll,ExpandEnvironmentStringsW,0x4130e8
KERNEL32.dll,WaitForSingleObject,0x4130ec
KERNEL32.dll,Sleep,0x4130f0
KERNEL32.dll,GetExitCodeProcess,0x4130f4
KERNEL32.dll,GetTempPathW,0x4130f8
KERNEL32.dll,MoveFileExW,0x4130fc
KERNEL32.dll,UnmapViewOfFile,0x413100
KERNEL32.dll,MapViewOfFile,0x413104
KERNEL32.dll,GetCommandLineW,0x413108
KERNEL32.dll,CreateFileMappingW,0x41310c
KERNEL32.dll,SetEnvironmentVariableW,0x413110
KERNEL32.dll,OpenFileMappingW,0x413114
KERNEL32.dll,GetProcAddress,0x413118
KERNEL32.dll,LocalFileTimeToFileTime,0x41311c
KERNEL32.dll,SystemTimeToFileTime,0x413120
KERNEL32.dll,GetSystemTime,0x413124
KERNEL32.dll,CompareStringW,0x413128
KERNEL32.dll,IsDBCSLeadByte,0x41312c
KERNEL32.dll,GetCPInfo,0x413130
KERNEL32.dll,SetCurrentDirectoryW,0x413134
KERNEL32.dll,LoadLibraryW,0x413138
KERNEL32.dll,FreeLibrary,0x41313c
KERNEL32.dll,SetFileAttributesA,0x413140
