dll,name,address
ntoskrnl.exe,wcschr,0x13200
ntoskrnl.exe,wcscpy,0x13204
ntoskrnl.exe,IofCompleteRequest,0x13208
ntoskrnl.exe,IoDeleteDevice,0x1320c
ntoskrnl.exe,IoDeleteSymbolicLink,0x13210
ntoskrnl.exe,RtlInitUnicodeString,0x13214
ntoskrnl.exe,wcscat,0x13218
ntoskrnl.exe,ExAllocatePoolWithTag,0x1321c
ntoskrnl.exe,RtlEqualUnicodeString,0x13220
ntoskrnl.exe,ExFreePoolWithTag,0x13224
ntoskrnl.exe,ZwQuerySystemInformation,0x13228
ntoskrnl.exe,_except_handler3,0x1322c
ntoskrnl.exe,KeDelayExecutionThread,0x13230
ntoskrnl.exe,ZwClose,0x13234
ntoskrnl.exe,KeWaitForSingleObject,0x13238
ntoskrnl.exe,KeResetEvent,0x1323c
ntoskrnl.exe,IoCreateSynchronizationEvent,0x13240
ntoskrnl.exe,PsTerminateSystemThread,0x13244
ntoskrnl.exe,_stricmp,0x13248
ntoskrnl.exe,strrchr,0x1324c
ntoskrnl.exe,DbgPrint,0x13250
ntoskrnl.exe,IoCreateSymbolicLink,0x13254
ntoskrnl.exe,IoCreateDevice,0x13258
ntoskrnl.exe,_wcsicmp,0x1325c
ntoskrnl.exe,strchr,0x13260
ntoskrnl.exe,ZwFreeVirtualMemory,0x13264
ntoskrnl.exe,ZwAllocateVirtualMemory,0x13268
ntoskrnl.exe,ObfDereferenceObject,0x1326c
ntoskrnl.exe,KeUnstackDetachProcess,0x13270
ntoskrnl.exe,KeStackAttachProcess,0x13274
ntoskrnl.exe,PsGetProcessPeb,0x13278
ntoskrnl.exe,ObOpenObjectByPointer,0x1327c
ntoskrnl.exe,PsLookupProcessByProcessId,0x13280
ntoskrnl.exe,RtlGetVersion,0x13284
ntoskrnl.exe,PsLookupThreadByThreadId,0x13288
ntoskrnl.exe,KeInsertQueueApc,0x1328c
ntoskrnl.exe,KeInitializeApc,0x13290
ntoskrnl.exe,_wcsnicmp,0x13294
ntoskrnl.exe,ZwQueryDirectoryFile,0x13298
ntoskrnl.exe,wcslen,0x1329c
ntoskrnl.exe,tolower,0x132a0
ntoskrnl.exe,ZwEnumerateKey,0x132a4
ntoskrnl.exe,KeTickCount,0x132a8
ntoskrnl.exe,KeBugCheckEx,0x132ac
