dll,name,address
KERNEL32.dll,GetProcAddress,0x404014
KERNEL32.dll,GetModuleHandleA,0x404018
KERNEL32.dll,DeleteFileA,0x40401c
KERNEL32.dll,FreeLibrary,0x404020
KERNEL32.dll,WaitForSingleObject,0x404024
KERNEL32.dll,GetCurrentProcess,0x404028
KERNEL32.dll,Sleep,0x40402c
KERNEL32.dll,GetModuleFileNameA,0x404030
KERNEL32.dll,GetCurrentThreadId,0x404034
KERNEL32.dll,GetTempPathA,0x404038
KERNEL32.dll,CreateDirectoryA,0x40403c
KERNEL32.dll,CreateThread,0x404040
KERNEL32.dll,LoadLibraryA,0x404044
KERNEL32.dll,GetStartupInfoA,0x404048
KERNEL32.dll,CreateFileA,0x40404c
KERNEL32.dll,GetFileSize,0x404050
KERNEL32.dll,ReadFile,0x404054
KERNEL32.dll,SetFilePointer,0x404058
KERNEL32.dll,WriteFile,0x40405c
KERNEL32.dll,SetFileAttributesA,0x404060
KERNEL32.dll,CloseHandle,0x404064
USER32.dll,GetInputState,0x4040fc
USER32.dll,PostThreadMessageA,0x404100
USER32.dll,GetMessageA,0x404104
ADVAPI32.dll,RegOpenKeyExA,0x404000
ADVAPI32.dll,RegSetValueExA,0x404004
ADVAPI32.dll,RegDeleteValueA,0x404008
ADVAPI32.dll,RegCloseKey,0x40400c
MSVCP60.dll,?_Xran@std@@YAXXZ,0x40406c
MSVCP60.dll,??Mstd@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@0@Z,0x404070
MSVCP60.dll,??0_Lockit@std@@QAE@XZ,0x404074
MSVCP60.dll,?_C@?1??_Nullstr@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@CAPBDXZ@4DB,0x404078
MSVCP60.dll,?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBDI@Z,0x40407c
MSVCP60.dll,?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z,0x404080
MSVCP60.dll,?_Eos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z,0x404084
MSVCP60.dll,?_Grow@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAE_NI_N@Z,0x404088
MSVCP60.dll,?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@ABV12@II@Z,0x40408c
MSVCP60.dll,?npos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@2IB,0x404090
MSVCP60.dll,??0?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@ABV01@@Z,0x404094
MSVCP60.dll,?_Split@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXXZ,0x404098
MSVCP60.dll,??1_Lockit@std@@QAE@XZ,0x40409c
MSVCRT.dll,_controlfp,0x4040a4
MSVCRT.dll,??2@YAPAXI@Z,0x4040a8
MSVCRT.dll,memmove,0x4040ac
MSVCRT.dll,_except_handler3,0x4040b0
MSVCRT.dll,sprintf,0x4040b4
MSVCRT.dll,_beginthreadex,0x4040b8
MSVCRT.dll,_errno,0x4040bc
MSVCRT.dll,_access,0x4040c0
MSVCRT.dll,_endthreadex,0x4040c4
MSVCRT.dll,free,0x4040c8
MSVCRT.dll,_exit,0x4040cc
MSVCRT.dll,_XcptFilter,0x4040d0
MSVCRT.dll,exit,0x4040d4
MSVCRT.dll,_acmdln,0x4040d8
MSVCRT.dll,__getmainargs,0x4040dc
MSVCRT.dll,_initterm,0x4040e0
MSVCRT.dll,__setusermatherr,0x4040e4
MSVCRT.dll,_adjust_fdiv,0x4040e8
MSVCRT.dll,__p__commode,0x4040ec
MSVCRT.dll,__p__fmode,0x4040f0
MSVCRT.dll,__set_app_type,0x4040f4
WS2_32.dll,WSASocketA,0x40410c
WS2_32.dll,WSAStartup,0x404110
WS2_32.dll,htons,0x404114
WS2_32.dll,send,0x404118
WS2_32.dll,recv,0x40411c
WS2_32.dll,closesocket,0x404120
WS2_32.dll,shutdown,0x404124
WS2_32.dll,setsockopt,0x404128
WS2_32.dll,WSAIoctl,0x40412c
WS2_32.dll,connect,0x404130
WS2_32.dll,gethostbyname,0x404134
