dll,name,address
ntoskrnl.exe,wcschr,0x13100
ntoskrnl.exe,wcscpy,0x13104
ntoskrnl.exe,IofCompleteRequest,0x13108
ntoskrnl.exe,IoDeleteDevice,0x1310c
ntoskrnl.exe,IoDeleteSymbolicLink,0x13110
ntoskrnl.exe,RtlInitUnicodeString,0x13114
ntoskrnl.exe,wcscat,0x13118
ntoskrnl.exe,ExAllocatePoolWithTag,0x1311c
ntoskrnl.exe,RtlEqualUnicodeString,0x13120
ntoskrnl.exe,ExFreePoolWithTag,0x13124
ntoskrnl.exe,ZwQuerySystemInformation,0x13128
ntoskrnl.exe,_except_handler3,0x1312c
ntoskrnl.exe,KeDelayExecutionThread,0x13130
ntoskrnl.exe,ZwClose,0x13134
ntoskrnl.exe,KeWaitForSingleObject,0x13138
ntoskrnl.exe,KeResetEvent,0x1313c
ntoskrnl.exe,IoCreateSynchronizationEvent,0x13140
ntoskrnl.exe,PsTerminateSystemThread,0x13144
ntoskrnl.exe,_stricmp,0x13148
ntoskrnl.exe,strrchr,0x1314c
ntoskrnl.exe,DbgPrint,0x13150
ntoskrnl.exe,IoCreateSymbolicLink,0x13154
ntoskrnl.exe,IoCreateDevice,0x13158
ntoskrnl.exe,_wcsicmp,0x1315c
ntoskrnl.exe,strchr,0x13160
ntoskrnl.exe,ZwFreeVirtualMemory,0x13164
ntoskrnl.exe,ZwAllocateVirtualMemory,0x13168
ntoskrnl.exe,ObfDereferenceObject,0x1316c
ntoskrnl.exe,KeUnstackDetachProcess,0x13170
ntoskrnl.exe,KeStackAttachProcess,0x13174
ntoskrnl.exe,PsGetProcessPeb,0x13178
ntoskrnl.exe,ObOpenObjectByPointer,0x1317c
ntoskrnl.exe,PsLookupProcessByProcessId,0x13180
ntoskrnl.exe,RtlGetVersion,0x13184
ntoskrnl.exe,PsLookupThreadByThreadId,0x13188
ntoskrnl.exe,KeInsertQueueApc,0x1318c
ntoskrnl.exe,KeInitializeApc,0x13190
ntoskrnl.exe,ZwQueryDirectoryFile,0x13194
ntoskrnl.exe,wcslen,0x13198
ntoskrnl.exe,tolower,0x1319c
ntoskrnl.exe,_wcsnicmp,0x131a0
ntoskrnl.exe,ZwEnumerateKey,0x131a4
ntoskrnl.exe,KeTickCount,0x131a8
ntoskrnl.exe,KeBugCheckEx,0x131ac
