dll,name,address
KERNEL32.dll,TerminateThread,0x403000
KERNEL32.dll,Sleep,0x403004
KERNEL32.dll,WaitForSingleObject,0x403008
KERNEL32.dll,GetSystemTime,0x40300c
KERNEL32.dll,CreateThread,0x403010
KERNEL32.dll,SetProcessPriorityBoost,0x403014
KERNEL32.dll,SetThreadPriority,0x403018
KERNEL32.dll,GetCurrentThread,0x40301c
KERNEL32.dll,SetPriorityClass,0x403020
KERNEL32.dll,GetCurrentProcess,0x403024
KERNEL32.dll,lstrcatA,0x403028
KERNEL32.dll,lstrcpyA,0x40302c
KERNEL32.dll,GetEnvironmentVariableA,0x403030
KERNEL32.dll,GetShortPathNameA,0x403034
KERNEL32.dll,GetModuleFileNameA,0x403038
KERNEL32.dll,ReadFile,0x40303c
KERNEL32.dll,CloseHandle,0x403040
KERNEL32.dll,CreateProcessA,0x403044
KERNEL32.dll,GetStartupInfoA,0x403048
KERNEL32.dll,CreatePipe,0x40304c
KERNEL32.dll,GetCurrentDirectoryA,0x403050
KERNEL32.dll,GetLongPathNameA,0x403054
KERNEL32.dll,GetModuleHandleA,0x403058
WS2_32.dll,inet_addr,0x403114
WS2_32.dll,htons,0x403118
WS2_32.dll,WSASocketA,0x40311c
WS2_32.dll,closesocket,0x403120
WS2_32.dll,connect,0x403124
WS2_32.dll,ioctlsocket,0x403128
WS2_32.dll,WSACleanup,0x40312c
WS2_32.dll,send,0x403130
WS2_32.dll,select,0x403134
WS2_32.dll,__WSAFDIsSet,0x403138
WS2_32.dll,recv,0x40313c
WS2_32.dll,shutdown,0x403140
WS2_32.dll,WSAStartup,0x403144
WININET.dll,InternetOpenA,0x4030f4
WININET.dll,InternetCloseHandle,0x4030f8
WININET.dll,HttpOpenRequestA,0x4030fc
WININET.dll,HttpSendRequestA,0x403100
WININET.dll,HttpQueryInfoA,0x403104
WININET.dll,InternetReadFile,0x403108
WININET.dll,InternetConnectA,0x40310c
SHELL32.dll,ShellExecuteExA,0x4030ec
MSVCRT.dll,_strnicmp,0x403060
MSVCRT.dll,_controlfp,0x403064
MSVCRT.dll,_except_handler3,0x403068
MSVCRT.dll,__set_app_type,0x40306c
MSVCRT.dll,__p__fmode,0x403070
MSVCRT.dll,__p__commode,0x403074
MSVCRT.dll,_adjust_fdiv,0x403078
MSVCRT.dll,__setusermatherr,0x40307c
MSVCRT.dll,_initterm,0x403080
MSVCRT.dll,__getmainargs,0x403084
MSVCRT.dll,_acmdln,0x403088
MSVCRT.dll,exit,0x40308c
MSVCRT.dll,_XcptFilter,0x403090
MSVCRT.dll,_exit,0x403094
MSVCRT.dll,atol,0x403098
MSVCRT.dll,_chdir,0x40309c
MSVCRT.dll,fwrite,0x4030a0
MSVCRT.dll,fflush,0x4030a4
MSVCRT.dll,??3@YAXPAX@Z,0x4030a8
MSVCRT.dll,_itoa,0x4030ac
MSVCRT.dll,memset,0x4030b0
MSVCRT.dll,atoi,0x4030b4
MSVCRT.dll,strlen,0x4030b8
MSVCRT.dll,sscanf,0x4030bc
MSVCRT.dll,fclose,0x4030c0
MSVCRT.dll,strcat,0x4030c4
MSVCRT.dll,ftell,0x4030c8
MSVCRT.dll,fseek,0x4030cc
MSVCRT.dll,fopen,0x4030d0
MSVCRT.dll,strcpy,0x4030d4
MSVCRT.dll,strstr,0x4030d8
MSVCRT.dll,??2@YAPAXI@Z,0x4030dc
MSVCRT.dll,fread,0x4030e0
MSVCRT.dll,strncat,0x4030e4
