dll,name,address
KERNEL32.dll,CopyFileA,0x100160f8
KERNEL32.dll,GetModuleFileNameA,0x10016100
KERNEL32.dll,GetFileAttributesA,0x10016108
KERNEL32.dll,MultiByteToWideChar,0x10016110
KERNEL32.dll,VirtualFree,0x10016118
KERNEL32.dll,VirtualAlloc,0x10016120
KERNEL32.dll,VirtualQuery,0x10016128
KERNEL32.dll,UnmapViewOfFile,0x10016130
KERNEL32.dll,MapViewOfFile,0x10016138
KERNEL32.dll,CreateFileMappingA,0x10016140
KERNEL32.dll,GetFileSize,0x10016148
KERNEL32.dll,GetLastError,0x10016150
KERNEL32.dll,VirtualProtect,0x10016158
KERNEL32.dll,GetWindowsDirectoryA,0x10016160
KERNEL32.dll,OpenProcess,0x10016168
KERNEL32.dll,GlobalMemoryStatus,0x10016170
KERNEL32.dll,GetCurrentProcessId,0x10016178
KERNEL32.dll,GetTickCount,0x10016180
KERNEL32.dll,GetDiskFreeSpaceExA,0x10016188
KERNEL32.dll,GetDriveTypeA,0x10016190
KERNEL32.dll,GetVersionExA,0x10016198
KERNEL32.dll,GetACP,0x100161a0
KERNEL32.dll,GetSystemDefaultLangID,0x100161a8
KERNEL32.dll,GetComputerNameA,0x100161b0
KERNEL32.dll,ReadConsoleOutputCharacterA,0x100161b8
KERNEL32.dll,FindNextFileA,0x100161c0
KERNEL32.dll,FindFirstFileA,0x100161c8
KERNEL32.dll,SetLastError,0x100161d0
KERNEL32.dll,SetFileTime,0x100161d8
KERNEL32.dll,GlobalFree,0x100161e0
KERNEL32.dll,GlobalAlloc,0x100161e8
KERNEL32.dll,CreateDirectoryA,0x100161f0
KERNEL32.dll,DeleteFileA,0x100161f8
KERNEL32.dll,CreateThread,0x10016200
KERNEL32.dll,GetCurrentThreadId,0x10016208
KERNEL32.dll,WriteProcessMemory,0x10016210
KERNEL32.dll,GetCurrentProcess,0x10016218
KERNEL32.dll,VirtualQueryEx,0x10016220
KERNEL32.dll,ResumeThread,0x10016228
KERNEL32.dll,SetThreadContext,0x10016230
KERNEL32.dll,VirtualAllocEx,0x10016238
KERNEL32.dll,GetThreadContext,0x10016240
KERNEL32.dll,SetConsoleCursorPosition,0x10016248
KERNEL32.dll,WriteConsoleOutputCharacterA,0x10016250
KERNEL32.dll,GetSystemTimeAsFileTime,0x10016258
KERNEL32.dll,QueryPerformanceCounter,0x10016260
KERNEL32.dll,RtlCaptureContext,0x10016268
KERNEL32.dll,RtlLookupFunctionEntry,0x10016270
KERNEL32.dll,RtlVirtualUnwind,0x10016278
KERNEL32.dll,IsDebuggerPresent,0x10016280
KERNEL32.dll,SetUnhandledExceptionFilter,0x10016288
KERNEL32.dll,FreeConsole,0x10016290
KERNEL32.dll,UnhandledExceptionFilter,0x10016298
KERNEL32.dll,ResetEvent,0x100162a0
KERNEL32.dll,DeleteCriticalSection,0x100162a8
KERNEL32.dll,WaitForSingleObject,0x100162b0
KERNEL32.dll,EnterCriticalSection,0x100162b8
KERNEL32.dll,CreateFileA,0x100162c0
KERNEL32.dll,GetFileTime,0x100162c8
KERNEL32.dll,LoadLibraryA,0x100162d0
KERNEL32.dll,FreeLibrary,0x100162d8
KERNEL32.dll,__C_specific_handler,0x100162e0
KERNEL32.dll,GetModuleHandleA,0x100162e8
KERNEL32.dll,GetProcAddress,0x100162f0
KERNEL32.dll,GetStdHandle,0x100162f8
KERNEL32.dll,WaitForMultipleObjects,0x10016300
KERNEL32.dll,GetConsoleScreenBufferInfo,0x10016308
KERNEL32.dll,LeaveCriticalSection,0x10016310
KERNEL32.dll,CreateEventA,0x10016318
KERNEL32.dll,SetEvent,0x10016320
KERNEL32.dll,InitializeCriticalSection,0x10016328
KERNEL32.dll,WriteFile,0x10016330
KERNEL32.dll,CreatePipe,0x10016338
KERNEL32.dll,GetSystemDirectoryA,0x10016340
KERNEL32.dll,CreateProcessA,0x10016348
KERNEL32.dll,PeekNamedPipe,0x10016350
KERNEL32.dll,ReadFile,0x10016358
KERNEL32.dll,Sleep,0x10016360
KERNEL32.dll,CloseHandle,0x10016368
KERNEL32.dll,FindClose,0x10016370
KERNEL32.dll,TerminateProcess,0x10016378
USER32.dll,GetProcessWindowStation,0x100164c8
USER32.dll,GetThreadDesktop,0x100164d0
USER32.dll,OpenWindowStationA,0x100164d8
USER32.dll,SetProcessWindowStation,0x100164e0
USER32.dll,SetThreadDesktop,0x100164e8
USER32.dll,CloseDesktop,0x100164f0
USER32.dll,CloseWindowStation,0x100164f8
