dll,name,address
KERNEL32.dll,LoadLibraryA,0x411000
KERNEL32.dll,ExpandEnvironmentStringsA,0x411004
KERNEL32.dll,GetDiskFreeSpaceW,0x411008
KERNEL32.dll,GetDiskFreeSpaceExW,0x41100c
KERNEL32.dll,GetDriveTypeW,0x411010
KERNEL32.dll,SetErrorMode,0x411014
KERNEL32.dll,FindNextFileW,0x411018
KERNEL32.dll,FindFirstFileW,0x41101c
KERNEL32.dll,VirtualAlloc,0x411020
KERNEL32.dll,GetComputerNameW,0x411024
KERNEL32.dll,GetVolumeInformationA,0x411028
KERNEL32.dll,FindFirstVolumeA,0x41102c
KERNEL32.dll,GetProcAddress,0x411030
KERNEL32.dll,GetStartupInfoA,0x411034
KERNEL32.dll,CreatePipe,0x411038
KERNEL32.dll,PeekNamedPipe,0x41103c
KERNEL32.dll,CloseHandle,0x411040
KERNEL32.dll,DeleteCriticalSection,0x411044
KERNEL32.dll,HeapFree,0x411048
KERNEL32.dll,GetLastError,0x41104c
KERNEL32.dll,HeapAlloc,0x411050
KERNEL32.dll,GetProcessHeap,0x411054
KERNEL32.dll,GetFileSize,0x411058
KERNEL32.dll,CreateFileA,0x41105c
KERNEL32.dll,ReadFile,0x411060
KERNEL32.dll,WriteFile,0x411064
KERNEL32.dll,LCMapStringA,0x411068
KERNEL32.dll,SetEndOfFile,0x41106c
KERNEL32.dll,GetOEMCP,0x411070
KERNEL32.dll,GetACP,0x411074
KERNEL32.dll,GetCPInfo,0x411078
KERNEL32.dll,GetStringTypeW,0x41107c
KERNEL32.dll,GetStringTypeA,0x411080
KERNEL32.dll,MultiByteToWideChar,0x411084
KERNEL32.dll,CreateFileW,0x411088
KERNEL32.dll,FlushFileBuffers,0x41108c
KERNEL32.dll,SetStdHandle,0x411090
KERNEL32.dll,IsBadCodePtr,0x411094
KERNEL32.dll,IsBadReadPtr,0x411098
KERNEL32.dll,GetEnvironmentStringsW,0x41109c
KERNEL32.dll,LCMapStringW,0x4110a0
KERNEL32.dll,GetEnvironmentStrings,0x4110a4
KERNEL32.dll,RtlUnwind,0x4110a8
KERNEL32.dll,RaiseException,0x4110ac
KERNEL32.dll,GetModuleHandleA,0x4110b0
KERNEL32.dll,GetCommandLineA,0x4110b4
KERNEL32.dll,GetVersion,0x4110b8
KERNEL32.dll,ExitProcess,0x4110bc
KERNEL32.dll,HeapDestroy,0x4110c0
KERNEL32.dll,HeapCreate,0x4110c4
KERNEL32.dll,VirtualFree,0x4110c8
KERNEL32.dll,HeapReAlloc,0x4110cc
KERNEL32.dll,IsBadWritePtr,0x4110d0
KERNEL32.dll,TerminateProcess,0x4110d4
KERNEL32.dll,GetCurrentProcess,0x4110d8
KERNEL32.dll,HeapSize,0x4110dc
KERNEL32.dll,SetFilePointer,0x4110e0
KERNEL32.dll,SetHandleCount,0x4110e4
KERNEL32.dll,GetStdHandle,0x4110e8
KERNEL32.dll,GetFileType,0x4110ec
KERNEL32.dll,SetUnhandledExceptionFilter,0x4110f0
KERNEL32.dll,UnhandledExceptionFilter,0x4110f4
KERNEL32.dll,GetModuleFileNameA,0x4110f8
KERNEL32.dll,FreeEnvironmentStringsA,0x4110fc
KERNEL32.dll,FreeEnvironmentStringsW,0x411100
KERNEL32.dll,WideCharToMultiByte,0x411104
USER32.dll,wsprintfW,0x41110c
WININET.dll,HttpQueryInfoA,0x411114
WININET.dll,HttpSendRequestExA,0x411118
WININET.dll,InternetWriteFile,0x41111c
WININET.dll,HttpEndRequestA,0x411120
WININET.dll,HttpOpenRequestA,0x411124
WININET.dll,InternetReadFile,0x411128
WININET.dll,InternetSetCookieA,0x41112c
WININET.dll,HttpSendRequestA,0x411130
WININET.dll,InternetOpenA,0x411134
WININET.dll,InternetConnectA,0x411138
WININET.dll,InternetAttemptConnect,0x41113c
WININET.dll,InternetCloseHandle,0x411140
WININET.dll,HttpAddRequestHeadersA,0x411144
