dll,name,address
KERNEL32.dll,WinExec,0x402010
KERNEL32.dll,MoveFileA,0x402014
KERNEL32.dll,WaitForSingleObject,0x402018
KERNEL32.dll,GetProcAddress,0x40201c
KERNEL32.dll,LoadLibraryA,0x402020
KERNEL32.dll,CreateEventA,0x402024
KERNEL32.dll,GetStartupInfoA,0x402028
KERNEL32.dll,GetModuleHandleA,0x40202c
ADVAPI32.dll,RegCloseKey,0x402000
ADVAPI32.dll,RegOpenKeyExA,0x402004
ADVAPI32.dll,RegSetValueExA,0x402008
SHELL32.dll,,0x4020b0
MSVCP60.dll,?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z,0x402034
MSVCP60.dll,??1?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ,0x402038
MSVCP60.dll,?_C@?1??_Nullstr@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@CAPBDXZ@4DB,0x40203c
MSVCP60.dll,??Hstd@@YA?AV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@ABV10@PBD@Z,0x402040
MSVCP60.dll,?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBDI@Z,0x402044
MSVCRT.dll,strlen,0x40204c
MSVCRT.dll,strcat,0x402050
MSVCRT.dll,memset,0x402054
MSVCRT.dll,strcpy,0x402058
MSVCRT.dll,fclose,0x40205c
MSVCRT.dll,fwrite,0x402060
MSVCRT.dll,fopen,0x402064
MSVCRT.dll,rand,0x402068
MSVCRT.dll,__CxxFrameHandler,0x40206c
MSVCRT.dll,__dllonexit,0x402070
MSVCRT.dll,_onexit,0x402074
MSVCRT.dll,_exit,0x402078
MSVCRT.dll,_XcptFilter,0x40207c
MSVCRT.dll,exit,0x402080
MSVCRT.dll,_acmdln,0x402084
MSVCRT.dll,__getmainargs,0x402088
MSVCRT.dll,_initterm,0x40208c
MSVCRT.dll,__setusermatherr,0x402090
MSVCRT.dll,_adjust_fdiv,0x402094
MSVCRT.dll,__p__commode,0x402098
MSVCRT.dll,__p__fmode,0x40209c
MSVCRT.dll,__set_app_type,0x4020a0
MSVCRT.dll,_except_handler3,0x4020a4
MSVCRT.dll,_controlfp,0x4020a8
