dll,name,address
KERNEL32.dll,CloseHandle,0x4227c0
KERNEL32.dll,TerminateProcess,0x4227c4
KERNEL32.dll,WriteFile,0x4227c8
KERNEL32.dll,CreateThread,0x4227cc
KERNEL32.dll,CreateProcessA,0x4227d0
KERNEL32.dll,MultiByteToWideChar,0x4227d4
KERNEL32.dll,CreatePipe,0x4227d8
KERNEL32.dll,ReadFile,0x4227dc
KERNEL32.dll,GetLastError,0x4227e0
KERNEL32.dll,GetShortPathNameA,0x4227e4
KERNEL32.dll,WideCharToMultiByte,0x4227e8
KERNEL32.dll,GetModuleFileNameA,0x4227ec
KERNEL32.dll,GetStartupInfoA,0x4227f0
KERNEL32.dll,Sleep,0x4227f4
KERNEL32.dll,LoadLibraryA,0x4227f8
KERNEL32.dll,GetProcAddress,0x4227fc
KERNEL32.dll,SetEnvironmentVariableA,0x422800
KERNEL32.dll,CompareStringW,0x422804
KERNEL32.dll,CompareStringA,0x422808
KERNEL32.dll,LCMapStringW,0x42280c
KERNEL32.dll,LCMapStringA,0x422810
KERNEL32.dll,CreateFileA,0x422814
KERNEL32.dll,FlushFileBuffers,0x422818
KERNEL32.dll,SetStdHandle,0x42281c
KERNEL32.dll,GetStringTypeW,0x422820
KERNEL32.dll,GetStringTypeA,0x422824
KERNEL32.dll,IsBadCodePtr,0x422828
KERNEL32.dll,IsBadReadPtr,0x42282c
KERNEL32.dll,SetUnhandledExceptionFilter,0x422830
KERNEL32.dll,IsBadWritePtr,0x422834
KERNEL32.dll,VirtualAlloc,0x422838
KERNEL32.dll,RtlUnwind,0x42283c
KERNEL32.dll,GetTimeZoneInformation,0x422840
KERNEL32.dll,GetSystemTime,0x422844
KERNEL32.dll,GetLocalTime,0x422848
KERNEL32.dll,ExitProcess,0x42284c
KERNEL32.dll,GetCurrentProcess,0x422850
KERNEL32.dll,GetCommandLineA,0x422854
KERNEL32.dll,GetVersion,0x422858
KERNEL32.dll,HeapFree,0x42285c
KERNEL32.dll,RaiseException,0x422860
KERNEL32.dll,HeapAlloc,0x422864
KERNEL32.dll,GetCPInfo,0x422868
KERNEL32.dll,GetACP,0x42286c
KERNEL32.dll,GetOEMCP,0x422870
KERNEL32.dll,SetFilePointer,0x422874
KERNEL32.dll,HeapReAlloc,0x422878
KERNEL32.dll,HeapSize,0x42287c
KERNEL32.dll,UnhandledExceptionFilter,0x422880
KERNEL32.dll,FreeEnvironmentStringsA,0x422884
KERNEL32.dll,FreeEnvironmentStringsW,0x422888
KERNEL32.dll,GetEnvironmentStrings,0x42288c
KERNEL32.dll,GetEnvironmentStringsW,0x422890
KERNEL32.dll,SetHandleCount,0x422894
KERNEL32.dll,GetStdHandle,0x422898
KERNEL32.dll,GetFileType,0x42289c
KERNEL32.dll,GetModuleHandleA,0x4228a0
KERNEL32.dll,GetEnvironmentVariableA,0x4228a4
KERNEL32.dll,GetVersionExA,0x4228a8
KERNEL32.dll,HeapDestroy,0x4228ac
KERNEL32.dll,HeapCreate,0x4228b0
KERNEL32.dll,VirtualFree,0x4228b4
KERNEL32.dll,SetEndOfFile,0x4228b8
ADVAPI32.dll,RegCloseKey,0x4228c0
ADVAPI32.dll,RegSetValueExA,0x4228c4
ADVAPI32.dll,RegCreateKeyExA,0x4228c8
WININET.dll,InternetCloseHandle,0x4228d0
WININET.dll,InternetReadFile,0x4228d4
WININET.dll,HttpOpenRequestW,0x4228d8
WININET.dll,InternetCrackUrlW,0x4228dc
WININET.dll,InternetSetOptionW,0x4228e0
WININET.dll,InternetOpenW,0x4228e4
WININET.dll,InternetConnectW,0x4228e8
WININET.dll,HttpAddRequestHeadersW,0x4228ec
WININET.dll,InternetSetCookieW,0x4228f0
WININET.dll,HttpSendRequestExW,0x4228f4
WININET.dll,InternetWriteFile,0x4228f8
WININET.dll,HttpEndRequestA,0x4228fc
WININET.dll,HttpQueryInfoW,0x422900
WININET.dll,InternetQueryDataAvailable,0x422904
WS2_32.dll,WSAStartup,0x42290c
WS2_32.dll,gethostname,0x422910
KERNEL32.dll,VirtualProtect,0x422918
KERNEL32.dll,GetModuleFileNameA,0x42291c
KERNEL32.dll,ExitProcess,0x422920
user32.dll,MessageBoxA,0x422928
