dll,name,address
KERNEL32.dll,ExitThread,0x10008000
KERNEL32.dll,Sleep,0x10008004
KERNEL32.dll,GetProcAddress,0x10008008
KERNEL32.dll,GetModuleHandleA,0x1000800c
KERNEL32.dll,GetEnvironmentVariableA,0x10008010
KERNEL32.dll,GetCurrentProcess,0x10008014
KERNEL32.dll,GetCurrentThreadId,0x10008018
KERNEL32.dll,GetCommandLineA,0x1000801c
KERNEL32.dll,GetCPInfo,0x10008020
KERNEL32.dll,InterlockedIncrement,0x10008024
KERNEL32.dll,InterlockedDecrement,0x10008028
KERNEL32.dll,GetACP,0x1000802c
KERNEL32.dll,GetOEMCP,0x10008030
KERNEL32.dll,IsValidCodePage,0x10008034
KERNEL32.dll,GetModuleHandleW,0x10008038
KERNEL32.dll,TlsGetValue,0x1000803c
KERNEL32.dll,TlsAlloc,0x10008040
KERNEL32.dll,TlsSetValue,0x10008044
KERNEL32.dll,TlsFree,0x10008048
KERNEL32.dll,SetLastError,0x1000804c
KERNEL32.dll,GetLastError,0x10008050
KERNEL32.dll,TerminateProcess,0x10008054
KERNEL32.dll,UnhandledExceptionFilter,0x10008058
KERNEL32.dll,SetUnhandledExceptionFilter,0x1000805c
KERNEL32.dll,IsDebuggerPresent,0x10008060
KERNEL32.dll,HeapFree,0x10008064
KERNEL32.dll,ExitProcess,0x10008068
KERNEL32.dll,SetHandleCount,0x1000806c
KERNEL32.dll,GetStdHandle,0x10008070
KERNEL32.dll,GetFileType,0x10008074
KERNEL32.dll,GetStartupInfoA,0x10008078
KERNEL32.dll,DeleteCriticalSection,0x1000807c
KERNEL32.dll,GetModuleFileNameA,0x10008080
KERNEL32.dll,FreeEnvironmentStringsA,0x10008084
KERNEL32.dll,GetEnvironmentStrings,0x10008088
KERNEL32.dll,FreeEnvironmentStringsW,0x1000808c
KERNEL32.dll,WideCharToMultiByte,0x10008090
KERNEL32.dll,GetEnvironmentStringsW,0x10008094
KERNEL32.dll,HeapCreate,0x10008098
KERNEL32.dll,HeapDestroy,0x1000809c
KERNEL32.dll,VirtualFree,0x100080a0
KERNEL32.dll,QueryPerformanceCounter,0x100080a4
KERNEL32.dll,GetTickCount,0x100080a8
KERNEL32.dll,GetCurrentProcessId,0x100080ac
KERNEL32.dll,GetSystemTimeAsFileTime,0x100080b0
KERNEL32.dll,LCMapStringA,0x100080b4
KERNEL32.dll,MultiByteToWideChar,0x100080b8
KERNEL32.dll,LCMapStringW,0x100080bc
KERNEL32.dll,GetStringTypeA,0x100080c0
KERNEL32.dll,GetStringTypeW,0x100080c4
KERNEL32.dll,LeaveCriticalSection,0x100080c8
KERNEL32.dll,EnterCriticalSection,0x100080cc
KERNEL32.dll,GetLocaleInfoA,0x100080d0
KERNEL32.dll,HeapAlloc,0x100080d4
KERNEL32.dll,VirtualAlloc,0x100080d8
KERNEL32.dll,HeapReAlloc,0x100080dc
KERNEL32.dll,WriteFile,0x100080e0
KERNEL32.dll,LoadLibraryA,0x100080e4
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x100080e8
KERNEL32.dll,RtlUnwind,0x100080ec
KERNEL32.dll,HeapSize,0x100080f0
