dll,name,address
KERNEL32.DLL,LoadLibraryA,0x433458
KERNEL32.DLL,GetProcAddress,0x43345c
KERNEL32.DLL,VirtualProtect,0x433460
KERNEL32.DLL,VirtualAlloc,0x433464
KERNEL32.DLL,VirtualFree,0x433468
KERNEL32.DLL,ExitProcess,0x43346c
ADVAPI32.dll,FreeSid,0x433474
CRYPT32.dll,CertOpenStore,0x43347c
ole32.dll,CoInitialize,0x433484
OLEAUT32.dll,SafeArrayPutElement,0x43348c
RPCRT4.dll,UuidCreate,0x433494
Secur32.dll,GetComputerObjectNameW,0x43349c
SHELL32.dll,SHGetFolderPathW,0x4334a4
USER32.dll,wsprintfW,0x4334ac
WININET.dll,InternetSetOptionW,0x4334b4
WS2_32.dll,ioctlsocket,0x4334bc
WTSAPI32.dll,WTSFreeMemory,0x4334c4
advapi32.dll,AreAllAccessesGranted,0x434125
advapi32.dll,BuildTrusteeWithObjectsAndSidA,0x434129
advapi32.dll,CryptHashSessionKey,0x43412d
