dll,name,address
KERNEL32.dll,GetModuleHandleA,0x404038
KERNEL32.dll,GetWindowsDirectoryA,0x40403c
KERNEL32.dll,GetModuleFileNameA,0x404040
KERNEL32.dll,CopyFileA,0x404044
KERNEL32.dll,OutputDebugStringA,0x404048
KERNEL32.dll,CreateProcessA,0x40404c
KERNEL32.dll,CreateMutexA,0x404050
KERNEL32.dll,CreateThread,0x404054
KERNEL32.dll,Sleep,0x404058
KERNEL32.dll,LocalAlloc,0x40405c
KERNEL32.dll,CreateFileA,0x404060
KERNEL32.dll,GetFileSize,0x404064
KERNEL32.dll,ReadFile,0x404068
KERNEL32.dll,LocalFree,0x40406c
KERNEL32.dll,GetLastError,0x404070
KERNEL32.dll,GetStartupInfoA,0x404074
KERNEL32.dll,CloseHandle,0x404078
USER32.dll,SendMessageA,0x404118
USER32.dll,FindWindowExA,0x40411c
ADVAPI32.dll,OpenSCManagerA,0x404000
ADVAPI32.dll,CreateServiceA,0x404004
ADVAPI32.dll,ChangeServiceConfig2A,0x404008
ADVAPI32.dll,OpenServiceA,0x40400c
ADVAPI32.dll,CloseServiceHandle,0x404010
ADVAPI32.dll,StartServiceA,0x404014
ADVAPI32.dll,QueryServiceStatus,0x404018
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x40401c
ADVAPI32.dll,SetServiceStatus,0x404020
ADVAPI32.dll,StartServiceCtrlDispatcherA,0x404024
ADVAPI32.dll,RegOpenKeyExA,0x404028
ADVAPI32.dll,RegQueryValueExA,0x40402c
ADVAPI32.dll,RegCloseKey,0x404030
MSVCRT.dll,_controlfp,0x404080
MSVCRT.dll,memset,0x404084
MSVCRT.dll,__CxxFrameHandler,0x404088
MSVCRT.dll,strlen,0x40408c
MSVCRT.dll,sprintf,0x404090
MSVCRT.dll,memcpy,0x404094
MSVCRT.dll,strcpy,0x404098
MSVCRT.dll,strcat,0x40409c
MSVCRT.dll,_mbsnbcpy,0x4040a0
MSVCRT.dll,_mbsnbcmp,0x4040a4
MSVCRT.dll,atol,0x4040a8
MSVCRT.dll,_mbscmp,0x4040ac
MSVCRT.dll,atoi,0x4040b0
MSVCRT.dll,fclose,0x4040b4
MSVCRT.dll,fwrite,0x4040b8
MSVCRT.dll,fopen,0x4040bc
MSVCRT.dll,strstr,0x4040c0
MSVCRT.dll,getenv,0x4040c4
MSVCRT.dll,strcmp,0x4040c8
MSVCRT.dll,time,0x4040cc
MSVCRT.dll,printf,0x4040d0
MSVCRT.dll,free,0x4040d4
MSVCRT.dll,__dllonexit,0x4040d8
MSVCRT.dll,_onexit,0x4040dc
MSVCRT.dll,_exit,0x4040e0
MSVCRT.dll,_XcptFilter,0x4040e4
MSVCRT.dll,exit,0x4040e8
MSVCRT.dll,_acmdln,0x4040ec
MSVCRT.dll,__getmainargs,0x4040f0
MSVCRT.dll,_initterm,0x4040f4
MSVCRT.dll,__setusermatherr,0x4040f8
MSVCRT.dll,_adjust_fdiv,0x4040fc
MSVCRT.dll,__p__commode,0x404100
MSVCRT.dll,__p__fmode,0x404104
MSVCRT.dll,__set_app_type,0x404108
MSVCRT.dll,_except_handler3,0x40410c
MSVCRT.dll,_strnicmp,0x404110
WININET.dll,HttpAddRequestHeadersA,0x404124
WININET.dll,HttpOpenRequestA,0x404128
WININET.dll,HttpEndRequestA,0x40412c
WININET.dll,InternetWriteFile,0x404130
WININET.dll,HttpSendRequestExA,0x404134
WININET.dll,InternetReadFile,0x404138
WININET.dll,HttpSendRequestA,0x40413c
WININET.dll,InternetCloseHandle,0x404140
WININET.dll,InternetOpenA,0x404144
WININET.dll,InternetAttemptConnect,0x404148
WININET.dll,InternetConnectA,0x40414c
WININET.dll,HttpQueryInfoA,0x404150
WS2_32.dll,gethostbyname,0x404158
WS2_32.dll,inet_ntoa,0x40415c
WS2_32.dll,WSAStartup,0x404160
WS2_32.dll,gethostname,0x404164
