dll,name,address
KERNEL32.dll,WriteFile,0x1000300c
KERNEL32.dll,GetWindowsDirectoryA,0x10003010
KERNEL32.dll,ReadFile,0x10003014
KERNEL32.dll,PeekNamedPipe,0x10003018
KERNEL32.dll,OpenProcess,0x1000301c
KERNEL32.dll,CreatePipe,0x10003020
KERNEL32.dll,CloseHandle,0x10003024
KERNEL32.dll,CreateProcessA,0x10003028
KERNEL32.dll,FreeConsole,0x1000302c
KERNEL32.dll,TerminateProcess,0x10003030
KERNEL32.dll,GetSystemDirectoryA,0x10003034
KERNEL32.dll,Sleep,0x10003038
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x10003000
ADVAPI32.dll,SetServiceStatus,0x10003004
WININET.dll,InternetOpenA,0x100030cc
WININET.dll,InternetConnectA,0x100030d0
WININET.dll,HttpOpenRequestA,0x100030d4
WININET.dll,InternetQueryOptionA,0x100030d8
WININET.dll,InternetSetOptionA,0x100030dc
WININET.dll,InternetCloseHandle,0x100030e0
WININET.dll,InternetReadFile,0x100030e4
WININET.dll,HttpSendRequestA,0x100030e8
WININET.dll,HttpSendRequestExA,0x100030ec
WININET.dll,InternetWriteFile,0x100030f0
WININET.dll,HttpEndRequestA,0x100030f4
MSVCRT.dll,_strnicmp,0x10003040
MSVCRT.dll,_adjust_fdiv,0x10003044
MSVCRT.dll,malloc,0x10003048
MSVCRT.dll,_initterm,0x1000304c
MSVCRT.dll,free,0x10003050
MSVCRT.dll,_onexit,0x10003054
MSVCRT.dll,__dllonexit,0x10003058
MSVCRT.dll,strncpy,0x1000305c
MSVCRT.dll,wcstombs,0x10003060
MSVCRT.dll,_ftol,0x10003064
MSVCRT.dll,memset,0x10003068
MSVCRT.dll,??3@YAXPAX@Z,0x1000306c
MSVCRT.dll,fread,0x10003070
MSVCRT.dll,strcmp,0x10003074
MSVCRT.dll,sprintf,0x10003078
MSVCRT.dll,strrchr,0x1000307c
MSVCRT.dll,ftell,0x10003080
MSVCRT.dll,fseek,0x10003084
MSVCRT.dll,fclose,0x10003088
MSVCRT.dll,strlen,0x1000308c
MSVCRT.dll,fopen,0x10003090
MSVCRT.dll,??2@YAPAXI@Z,0x10003094
MSVCRT.dll,fwrite,0x10003098
MSVCRT.dll,atoi,0x1000309c
MSVCRT.dll,__CxxFrameHandler,0x100030a0
MSVCRT.dll,strstr,0x100030a4
MSVCRT.dll,memcpy,0x100030a8
MSVCRT.dll,rand,0x100030ac
MSVCRT.dll,strcpy,0x100030b0
MSVCRT.dll,sscanf,0x100030b4
MSVCRT.dll,strcat,0x100030b8
MSVCRT.dll,srand,0x100030bc
MSVCRT.dll,time,0x100030c0
MSVCRT.dll,_stricmp,0x100030c4
