dll,name,address
WSOCK32.dll,gethostbyname,0x416168
WSOCK32.dll,inet_addr,0x41616c
WSOCK32.dll,WSAStartup,0x416170
WSOCK32.dll,WSACleanup,0x416174
WSOCK32.dll,gethostname,0x416178
urlmon.dll,URLDownloadToFileA,0x416180
VERSION.dll,VerQueryValueA,0x416150
VERSION.dll,GetFileVersionInfoA,0x416154
WININET.dll,InternetGetConnectedState,0x41615c
WININET.dll,InternetQueryOptionA,0x416160
KERNEL32.dll,ReadFile,0x416024
KERNEL32.dll,GetFileSize,0x416028
KERNEL32.dll,CloseHandle,0x41602c
KERNEL32.dll,CreateFileA,0x416030
KERNEL32.dll,HeapAlloc,0x416034
KERNEL32.dll,GetProcessHeap,0x416038
KERNEL32.dll,HeapFree,0x41603c
KERNEL32.dll,FindClose,0x416040
KERNEL32.dll,FindNextFileA,0x416044
KERNEL32.dll,GetSystemTimeAsFileTime,0x416048
KERNEL32.dll,FindFirstFileA,0x41604c
KERNEL32.dll,Sleep,0x416050
KERNEL32.dll,GetDriveTypeA,0x416054
KERNEL32.dll,GetLogicalDriveStringsA,0x416058
KERNEL32.dll,GetProcAddress,0x41605c
KERNEL32.dll,LoadLibraryA,0x416060
KERNEL32.dll,FreeLibrary,0x416064
KERNEL32.dll,OpenProcess,0x416068
KERNEL32.dll,GetCurrentProcessId,0x41606c
KERNEL32.dll,lstrcatA,0x416070
KERNEL32.dll,lstrcpyA,0x416074
KERNEL32.dll,WriteFile,0x416078
KERNEL32.dll,SetFilePointer,0x41607c
KERNEL32.dll,GlobalMemoryStatus,0x416080
KERNEL32.dll,QueryPerformanceCounter,0x416084
KERNEL32.dll,GetTickCount,0x416088
KERNEL32.dll,GetLastError,0x41608c
KERNEL32.dll,FileTimeToSystemTime,0x416090
KERNEL32.dll,GetWindowsDirectoryA,0x416094
KERNEL32.dll,GetSystemDirectoryA,0x416098
KERNEL32.dll,GetEnvironmentStrings,0x41609c
KERNEL32.dll,WideCharToMultiByte,0x4160a0
KERNEL32.dll,GetVersionExA,0x4160a4
KERNEL32.dll,GetComputerNameA,0x4160a8
KERNEL32.dll,GetLocalTime,0x4160ac
KERNEL32.dll,DeleteFileA,0x4160b0
KERNEL32.dll,WinExec,0x4160b4
KERNEL32.dll,GetTempPathA,0x4160b8
KERNEL32.dll,ExitProcess,0x4160bc
KERNEL32.dll,WaitForSingleObject,0x4160c0
KERNEL32.dll,CreateEventA,0x4160c4
KERNEL32.dll,GetTempFileNameA,0x4160c8
KERNEL32.dll,GetModuleFileNameA,0x4160cc
KERNEL32.dll,OpenEventA,0x4160d0
KERNEL32.dll,RtlUnwind,0x4160d4
KERNEL32.dll,TerminateProcess,0x4160d8
KERNEL32.dll,GetCurrentProcess,0x4160dc
KERNEL32.dll,UnhandledExceptionFilter,0x4160e0
KERNEL32.dll,SetUnhandledExceptionFilter,0x4160e4
KERNEL32.dll,IsDebuggerPresent,0x4160e8
KERNEL32.dll,GetModuleHandleA,0x4160ec
KERNEL32.dll,TlsGetValue,0x4160f0
KERNEL32.dll,TlsSetValue,0x4160f4
KERNEL32.dll,InterlockedIncrement,0x4160f8
KERNEL32.dll,SetLastError,0x4160fc
KERNEL32.dll,GetCurrentThreadId,0x416100
KERNEL32.dll,InterlockedDecrement,0x416104
KERNEL32.dll,RaiseException,0x416108
KERNEL32.dll,LeaveCriticalSection,0x41610c
KERNEL32.dll,EnterCriticalSection,0x416110
KERNEL32.dll,GetCPInfo,0x416114
KERNEL32.dll,GetACP,0x416118
KERNEL32.dll,GetOEMCP,0x41611c
KERNEL32.dll,InitializeCriticalSection,0x416120
KERNEL32.dll,GetStdHandle,0x416124
KERNEL32.dll,VirtualFree,0x416128
KERNEL32.dll,GetLocaleInfoA,0x41612c
KERNEL32.dll,GetStringTypeA,0x416130
KERNEL32.dll,MultiByteToWideChar,0x416134
KERNEL32.dll,GetStringTypeW,0x416138
KERNEL32.dll,LCMapStringA,0x41613c
KERNEL32.dll,LCMapStringW,0x416140
KERNEL32.dll,VirtualAlloc,0x416144
KERNEL32.dll,HeapReAlloc,0x416148
ADVAPI32.dll,RegCreateKeyA,0x416000
ADVAPI32.dll,RegSetValueExA,0x416004
ADVAPI32.dll,GetUserNameA,0x416008
ADVAPI32.dll,RegQueryValueA,0x41600c
ADVAPI32.dll,RegEnumValueA,0x416010
ADVAPI32.dll,RegCloseKey,0x416014
ADVAPI32.dll,RegOpenKeyExA,0x416018
ADVAPI32.dll,RegQueryValueExA,0x41601c
