dll,name,address
WS2_32.dll,recv,0x10010174
WS2_32.dll,send,0x10010178
WS2_32.dll,__WSAFDIsSet,0x1001017c
WS2_32.dll,select,0x10010180
WS2_32.dll,WSAStartup,0x10010184
WS2_32.dll,setsockopt,0x10010188
WS2_32.dll,ioctlsocket,0x1001018c
WS2_32.dll,WSAGetLastError,0x10010190
WS2_32.dll,connect,0x10010194
WS2_32.dll,inet_addr,0x10010198
WS2_32.dll,htons,0x1001019c
WS2_32.dll,inet_ntoa,0x100101a0
WS2_32.dll,gethostbyname,0x100101a4
WS2_32.dll,socket,0x100101a8
WS2_32.dll,closesocket,0x100101ac
WS2_32.dll,shutdown,0x100101b0
WS2_32.dll,WSACleanup,0x100101b4
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x10010000
ADVAPI32.dll,SetServiceStatus,0x10010004
MSWSOCK.dll,TransmitFile,0x1001016c
KERNEL32.dll,HeapSize,0x1001000c
KERNEL32.dll,SetEndOfFile,0x10010010
KERNEL32.dll,LoadLibraryA,0x10010014
KERNEL32.dll,WriteConsoleW,0x10010018
KERNEL32.dll,GetConsoleOutputCP,0x1001001c
KERNEL32.dll,WriteConsoleA,0x10010020
KERNEL32.dll,FlushFileBuffers,0x10010024
KERNEL32.dll,SetStdHandle,0x10010028
KERNEL32.dll,GetOEMCP,0x1001002c
KERNEL32.dll,InitializeCriticalSection,0x10010030
KERNEL32.dll,GetModuleFileNameA,0x10010034
KERNEL32.dll,TerminateThread,0x10010038
KERNEL32.dll,Sleep,0x1001003c
KERNEL32.dll,CreateThread,0x10010040
KERNEL32.dll,WaitForSingleObject,0x10010044
KERNEL32.dll,CloseHandle,0x10010048
KERNEL32.dll,CreateEventA,0x1001004c
KERNEL32.dll,ResetEvent,0x10010050
KERNEL32.dll,SetEvent,0x10010054
KERNEL32.dll,ExitThread,0x10010058
KERNEL32.dll,CreateProcessA,0x1001005c
KERNEL32.dll,CreateFileA,0x10010060
KERNEL32.dll,GetFileSize,0x10010064
KERNEL32.dll,SetFilePointer,0x10010068
KERNEL32.dll,GetLastError,0x1001006c
KERNEL32.dll,WaitForMultipleObjects,0x10010070
KERNEL32.dll,TerminateProcess,0x10010074
KERNEL32.dll,DisconnectNamedPipe,0x10010078
KERNEL32.dll,PeekNamedPipe,0x1001007c
KERNEL32.dll,ReadFile,0x10010080
KERNEL32.dll,WriteFile,0x10010084
KERNEL32.dll,CreatePipe,0x10010088
KERNEL32.dll,DuplicateHandle,0x1001008c
KERNEL32.dll,GetCurrentProcess,0x10010090
KERNEL32.dll,GetEnvironmentVariableA,0x10010094
KERNEL32.dll,WideCharToMultiByte,0x10010098
KERNEL32.dll,HeapAlloc,0x1001009c
KERNEL32.dll,GetSystemTimeAsFileTime,0x100100a0
KERNEL32.dll,GetCurrentThreadId,0x100100a4
KERNEL32.dll,GetCommandLineA,0x100100a8
KERNEL32.dll,HeapFree,0x100100ac
KERNEL32.dll,GetVersionExA,0x100100b0
KERNEL32.dll,GetProcessHeap,0x100100b4
KERNEL32.dll,UnhandledExceptionFilter,0x100100b8
KERNEL32.dll,SetUnhandledExceptionFilter,0x100100bc
KERNEL32.dll,IsDebuggerPresent,0x100100c0
KERNEL32.dll,GetCPInfo,0x100100c4
KERNEL32.dll,InterlockedIncrement,0x100100c8
KERNEL32.dll,InterlockedDecrement,0x100100cc
KERNEL32.dll,GetACP,0x100100d0
KERNEL32.dll,RaiseException,0x100100d4
KERNEL32.dll,GetProcAddress,0x100100d8
KERNEL32.dll,GetModuleHandleA,0x100100dc
KERNEL32.dll,TlsGetValue,0x100100e0
KERNEL32.dll,TlsAlloc,0x100100e4
KERNEL32.dll,TlsSetValue,0x100100e8
KERNEL32.dll,TlsFree,0x100100ec
KERNEL32.dll,SetLastError,0x100100f0
KERNEL32.dll,EnterCriticalSection,0x100100f4
KERNEL32.dll,LeaveCriticalSection,0x100100f8
KERNEL32.dll,RtlUnwind,0x100100fc
KERNEL32.dll,SetHandleCount,0x10010100
KERNEL32.dll,GetStdHandle,0x10010104
KERNEL32.dll,GetFileType,0x10010108
KERNEL32.dll,GetStartupInfoA,0x1001010c
KERNEL32.dll,DeleteCriticalSection,0x10010110
KERNEL32.dll,GetConsoleCP,0x10010114
KERNEL32.dll,GetConsoleMode,0x10010118
KERNEL32.dll,VirtualFree,0x1001011c
KERNEL32.dll,VirtualAlloc,0x10010120
KERNEL32.dll,HeapReAlloc,0x10010124
KERNEL32.dll,HeapDestroy,0x10010128
KERNEL32.dll,HeapCreate,0x1001012c
KERNEL32.dll,ExitProcess,0x10010130
KERNEL32.dll,FreeEnvironmentStringsA,0x10010134
KERNEL32.dll,GetEnvironmentStrings,0x10010138
KERNEL32.dll,FreeEnvironmentStringsW,0x1001013c
KERNEL32.dll,GetEnvironmentStringsW,0x10010140
KERNEL32.dll,QueryPerformanceCounter,0x10010144
KERNEL32.dll,GetTickCount,0x10010148
KERNEL32.dll,GetCurrentProcessId,0x1001014c
KERNEL32.dll,LCMapStringA,0x10010150
KERNEL32.dll,MultiByteToWideChar,0x10010154
KERNEL32.dll,LCMapStringW,0x10010158
KERNEL32.dll,GetStringTypeA,0x1001015c
KERNEL32.dll,GetStringTypeW,0x10010160
KERNEL32.dll,GetLocaleInfoA,0x10010164
