dll,name,address
KERNEL32.dll,CreatePipe,0x403014
KERNEL32.dll,TerminateProcess,0x403018
KERNEL32.dll,CloseHandle,0x40301c
KERNEL32.dll,GetSystemDirectoryA,0x403020
KERNEL32.dll,GetModuleFileNameA,0x403024
KERNEL32.dll,MoveFileExA,0x403028
KERNEL32.dll,MoveFileA,0x40302c
KERNEL32.dll,DeleteFileA,0x403030
KERNEL32.dll,GetTempFileNameA,0x403034
KERNEL32.dll,GetTempPathA,0x403038
KERNEL32.dll,SetEndOfFile,0x40303c
KERNEL32.dll,GetProcAddress,0x403040
KERNEL32.dll,LoadLibraryA,0x403044
KERNEL32.dll,CreateProcessA,0x403048
KERNEL32.dll,SetFilePointer,0x40304c
KERNEL32.dll,LocalFree,0x403050
KERNEL32.dll,GetFileSize,0x403054
KERNEL32.dll,LocalAlloc,0x403058
KERNEL32.dll,CreateFileA,0x40305c
KERNEL32.dll,lstrcpynA,0x403060
KERNEL32.dll,GetCurrentProcess,0x403064
KERNEL32.dll,GetModuleHandleA,0x403068
KERNEL32.dll,WaitForSingleObject,0x40306c
KERNEL32.dll,GetCurrentThreadId,0x403070
KERNEL32.dll,CreateThread,0x403074
KERNEL32.dll,GetStartupInfoA,0x403078
KERNEL32.dll,PeekNamedPipe,0x40307c
KERNEL32.dll,Sleep,0x403080
KERNEL32.dll,ReadFile,0x403084
KERNEL32.dll,lstrcpyA,0x403088
KERNEL32.dll,WriteFile,0x40308c
USER32.dll,GetInputState,0x4030ec
USER32.dll,PostThreadMessageA,0x4030f0
USER32.dll,GetMessageA,0x4030f4
ADVAPI32.dll,RegOpenKeyExA,0x403000
ADVAPI32.dll,RegSetValueExA,0x403004
ADVAPI32.dll,RegDeleteValueA,0x403008
ADVAPI32.dll,RegCloseKey,0x40300c
MSVCRT.dll,_controlfp,0x403094
MSVCRT.dll,sprintf,0x403098
MSVCRT.dll,strstr,0x40309c
MSVCRT.dll,atoi,0x4030a0
MSVCRT.dll,strncpy,0x4030a4
MSVCRT.dll,_except_handler3,0x4030a8
MSVCRT.dll,printf,0x4030ac
MSVCRT.dll,_beginthreadex,0x4030b0
MSVCRT.dll,_endthreadex,0x4030b4
MSVCRT.dll,_exit,0x4030b8
MSVCRT.dll,_XcptFilter,0x4030bc
MSVCRT.dll,exit,0x4030c0
MSVCRT.dll,_acmdln,0x4030c4
MSVCRT.dll,__getmainargs,0x4030c8
MSVCRT.dll,_initterm,0x4030cc
MSVCRT.dll,__setusermatherr,0x4030d0
MSVCRT.dll,_adjust_fdiv,0x4030d4
MSVCRT.dll,__p__commode,0x4030d8
MSVCRT.dll,__p__fmode,0x4030dc
MSVCRT.dll,__set_app_type,0x4030e0
MSVCRT.dll,_stricmp,0x4030e4
WS2_32.dll,connect,0x4030fc
WS2_32.dll,WSAIoctl,0x403100
WS2_32.dll,setsockopt,0x403104
WS2_32.dll,htons,0x403108
WS2_32.dll,WSASocketA,0x40310c
WS2_32.dll,WSAStartup,0x403110
WS2_32.dll,gethostbyname,0x403114
WS2_32.dll,getpeername,0x403118
WS2_32.dll,recv,0x40311c
WS2_32.dll,closesocket,0x403120
WS2_32.dll,shutdown,0x403124
WS2_32.dll,WSACleanup,0x403128
WS2_32.dll,inet_addr,0x40312c
WS2_32.dll,socket,0x403130
WS2_32.dll,__WSAFDIsSet,0x403134
WS2_32.dll,select,0x403138
WS2_32.dll,inet_ntoa,0x40313c
WS2_32.dll,send,0x403140
