dll,name,address
KERNEL32.dll,AllocConsole,0x404030
KERNEL32.dll,GetConsoleDisplayMode,0x404034
KERNEL32.dll,ReadFile,0x404038
KERNEL32.dll,PeekNamedPipe,0x40403c
KERNEL32.dll,GetExitCodeProcess,0x404040
KERNEL32.dll,CreateProcessA,0x404044
KERNEL32.dll,GetFileAttributesA,0x404048
KERNEL32.dll,GetSystemDirectoryA,0x40404c
KERNEL32.dll,ExpandEnvironmentStringsA,0x404050
KERNEL32.dll,SetStdHandle,0x404054
KERNEL32.dll,GetVolumeInformationA,0x404058
KERNEL32.dll,CreateFileA,0x40405c
KERNEL32.dll,lstrcatA,0x404060
KERNEL32.dll,GetLogicalDrives,0x404064
KERNEL32.dll,Process32Next,0x404068
KERNEL32.dll,Process32First,0x40406c
KERNEL32.dll,CreateToolhelp32Snapshot,0x404070
KERNEL32.dll,OpenProcess,0x404074
KERNEL32.dll,WriteFile,0x404078
KERNEL32.dll,GetFileSize,0x40407c
KERNEL32.dll,GetModuleHandleA,0x404080
KERNEL32.dll,WriteConsoleInputA,0x404084
KERNEL32.dll,CreatePipe,0x404088
KERNEL32.dll,GetWindowsDirectoryA,0x40408c
KERNEL32.dll,SetCurrentDirectoryA,0x404090
KERNEL32.dll,CreateThread,0x404094
KERNEL32.dll,WaitForSingleObject,0x404098
KERNEL32.dll,CloseHandle,0x40409c
KERNEL32.dll,TerminateProcess,0x4040a0
KERNEL32.dll,GetComputerNameA,0x4040a4
KERNEL32.dll,GetStartupInfoA,0x4040a8
KERNEL32.dll,Sleep,0x4040ac
KERNEL32.dll,GetDriveTypeA,0x4040b0
KERNEL32.dll,GetLastError,0x4040b4
MSVCRT.dll,__getmainargs,0x4040bc
MSVCRT.dll,_initterm,0x4040c0
MSVCRT.dll,__setusermatherr,0x4040c4
MSVCRT.dll,_adjust_fdiv,0x4040c8
MSVCRT.dll,__p__commode,0x4040cc
MSVCRT.dll,__p__fmode,0x4040d0
MSVCRT.dll,__set_app_type,0x4040d4
MSVCRT.dll,_except_handler3,0x4040d8
MSVCRT.dll,_controlfp,0x4040dc
MSVCRT.dll,??3@YAXPAX@Z,0x4040e0
MSVCRT.dll,??2@YAPAXI@Z,0x4040e4
MSVCRT.dll,sprintf,0x4040e8
MSVCRT.dll,strncpy,0x4040ec
MSVCRT.dll,atoi,0x4040f0
MSVCRT.dll,_strcmpi,0x4040f4
MSVCRT.dll,__CxxFrameHandler,0x4040f8
MSVCRT.dll,sscanf,0x4040fc
MSVCRT.dll,_exit,0x404100
MSVCRT.dll,strrchr,0x404104
MSVCRT.dll,_acmdln,0x404108
MSVCRT.dll,exit,0x40410c
MSVCRT.dll,_XcptFilter,0x404110
MSVCRT.dll,atol,0x404114
WININET.dll,InternetQueryOptionA,0x404124
WININET.dll,InternetOpenA,0x404128
WININET.dll,InternetReadFile,0x40412c
WININET.dll,InternetConnectA,0x404130
WININET.dll,HttpOpenRequestA,0x404134
WININET.dll,HttpAddRequestHeadersA,0x404138
WININET.dll,InternetSetOptionA,0x40413c
WININET.dll,HttpSendRequestA,0x404140
WININET.dll,InternetCloseHandle,0x404144
ADVAPI32.dll,StartServiceCtrlDispatcherA,0x404000
ADVAPI32.dll,SetServiceStatus,0x404004
ADVAPI32.dll,CloseServiceHandle,0x404008
ADVAPI32.dll,EnumServicesStatusExA,0x40400c
ADVAPI32.dll,OpenSCManagerA,0x404010
ADVAPI32.dll,ControlService,0x404014
ADVAPI32.dll,OpenServiceA,0x404018
ADVAPI32.dll,StartServiceA,0x40401c
ADVAPI32.dll,CreateProcessAsUserA,0x404020
ADVAPI32.dll,OpenProcessToken,0x404024
ADVAPI32.dll,RegisterServiceCtrlHandlerA,0x404028
urlmon.dll,URLDownloadToFileA,0x40414c
Secur32.dll,GetUserNameExA,0x40411c
