dll,name,address
KERNEL32.dll,Sleep,0x403000
KERNEL32.dll,MultiByteToWideChar,0x403004
KERNEL32.dll,CloseHandle,0x403008
KERNEL32.dll,TerminateProcess,0x40300c
KERNEL32.dll,WriteFile,0x403010
KERNEL32.dll,ReadFile,0x403014
KERNEL32.dll,PeekNamedPipe,0x403018
KERNEL32.dll,GetProcAddress,0x40301c
KERNEL32.dll,LoadLibraryA,0x403020
KERNEL32.dll,GetSystemDirectoryA,0x403024
KERNEL32.dll,CreatePipe,0x403028
KERNEL32.dll,GetLastError,0x40302c
KERNEL32.dll,GlobalFree,0x403030
KERNEL32.dll,SetProcessPriorityBoost,0x403034
KERNEL32.dll,SetThreadPriority,0x403038
KERNEL32.dll,GetCurrentThread,0x40303c
KERNEL32.dll,SetPriorityClass,0x403040
KERNEL32.dll,GetCurrentProcess,0x403044
KERNEL32.dll,lstrcatA,0x403048
KERNEL32.dll,lstrcpyA,0x40304c
KERNEL32.dll,GetEnvironmentVariableA,0x403050
KERNEL32.dll,GetShortPathNameA,0x403054
KERNEL32.dll,GetModuleFileNameA,0x403058
KERNEL32.dll,GetStartupInfoA,0x40305c
KERNEL32.dll,GetModuleHandleA,0x403060
SHELL32.dll,ShellExecuteExA,0x4030ec
WINHTTP.dll,WinHttpWriteData,0x4030f4
WINHTTP.dll,WinHttpOpen,0x4030f8
WINHTTP.dll,WinHttpConnect,0x4030fc
WINHTTP.dll,WinHttpOpenRequest,0x403100
WINHTTP.dll,WinHttpGetProxyForUrl,0x403104
WINHTTP.dll,WinHttpSetOption,0x403108
WINHTTP.dll,WinHttpSendRequest,0x40310c
WINHTTP.dll,WinHttpReceiveResponse,0x403110
WINHTTP.dll,WinHttpReadData,0x403114
WINHTTP.dll,WinHttpCloseHandle,0x403118
WINHTTP.dll,WinHttpQueryOption,0x40311c
WINHTTP.dll,WinHttpGetIEProxyConfigForCurrentUser,0x403120
MSVCRT.dll,_strnicmp,0x403068
MSVCRT.dll,_controlfp,0x40306c
MSVCRT.dll,_except_handler3,0x403070
MSVCRT.dll,__set_app_type,0x403074
MSVCRT.dll,__p__fmode,0x403078
MSVCRT.dll,__p__commode,0x40307c
MSVCRT.dll,_adjust_fdiv,0x403080
MSVCRT.dll,__setusermatherr,0x403084
MSVCRT.dll,_initterm,0x403088
MSVCRT.dll,_itoa,0x40308c
MSVCRT.dll,memset,0x403090
MSVCRT.dll,strlen,0x403094
MSVCRT.dll,strcpy,0x403098
MSVCRT.dll,strcat,0x40309c
MSVCRT.dll,??3@YAXPAX@Z,0x4030a0
MSVCRT.dll,printf,0x4030a4
MSVCRT.dll,fread,0x4030a8
MSVCRT.dll,ftell,0x4030ac
MSVCRT.dll,fseek,0x4030b0
MSVCRT.dll,fwrite,0x4030b4
MSVCRT.dll,atoi,0x4030b8
MSVCRT.dll,fclose,0x4030bc
MSVCRT.dll,fopen,0x4030c0
MSVCRT.dll,strrchr,0x4030c4
MSVCRT.dll,strstr,0x4030c8
MSVCRT.dll,??2@YAPAXI@Z,0x4030cc
MSVCRT.dll,strncpy,0x4030d0
MSVCRT.dll,_exit,0x4030d4
MSVCRT.dll,_XcptFilter,0x4030d8
MSVCRT.dll,exit,0x4030dc
MSVCRT.dll,_acmdln,0x4030e0
MSVCRT.dll,__getmainargs,0x4030e4
