dll,name,address
ntoskrnl.exe,NtBuildNumber,0x14000
ntoskrnl.exe,RtlInitUnicodeString,0x14008
ntoskrnl.exe,IoDeleteDevice,0x14010
ntoskrnl.exe,IofCompleteRequest,0x14018
ntoskrnl.exe,IoCreateDevice,0x14020
ntoskrnl.exe,ExAllocatePoolWithTag,0x14028
ntoskrnl.exe,ExFreePoolWithTag,0x14030
ntoskrnl.exe,KeUnstackDetachProcess,0x14038
ntoskrnl.exe,KeDelayExecutionThread,0x14040
ntoskrnl.exe,IoDriverObjectType,0x14048
ntoskrnl.exe,IoGetCurrentProcess,0x14050
ntoskrnl.exe,MmIsAddressValid,0x14058
ntoskrnl.exe,ObfDereferenceObject,0x14060
ntoskrnl.exe,ObReferenceObjectByName,0x14068
ntoskrnl.exe,KeStackAttachProcess,0x14070
ntoskrnl.exe,MmUnmapLockedPages,0x14078
ntoskrnl.exe,MmBuildMdlForNonPagedPool,0x14080
ntoskrnl.exe,IoFreeMdl,0x14088
ntoskrnl.exe,MmMapLockedPagesSpecifyCache,0x14090
ntoskrnl.exe,IoAllocateMdl,0x14098
ntoskrnl.exe,KeReleaseSpinLock,0x140a0
ntoskrnl.exe,KeAcquireSpinLockRaiseToDpc,0x140a8
ntoskrnl.exe,IoGetDeviceObjectPointer,0x140b0
ntoskrnl.exe,ZwOpenDirectoryObject,0x140b8
ntoskrnl.exe,ZwClose,0x140c0
ntoskrnl.exe,ObReferenceObjectByHandle,0x140c8
ntoskrnl.exe,RtlUpcaseUnicodeChar,0x140d0
ntoskrnl.exe,KeBugCheckEx,0x140d8
