dll,name,address
kernel32.dll,DeleteCriticalSection,0x48f154
kernel32.dll,LeaveCriticalSection,0x48f158
kernel32.dll,EnterCriticalSection,0x48f15c
kernel32.dll,InitializeCriticalSection,0x48f160
kernel32.dll,VirtualFree,0x48f164
kernel32.dll,VirtualAlloc,0x48f168
kernel32.dll,LocalFree,0x48f16c
kernel32.dll,LocalAlloc,0x48f170
kernel32.dll,GetVersion,0x48f174
kernel32.dll,GetCurrentThreadId,0x48f178
kernel32.dll,InterlockedDecrement,0x48f17c
kernel32.dll,InterlockedIncrement,0x48f180
kernel32.dll,VirtualQuery,0x48f184
kernel32.dll,WideCharToMultiByte,0x48f188
kernel32.dll,MultiByteToWideChar,0x48f18c
kernel32.dll,lstrlenA,0x48f190
kernel32.dll,lstrcpynA,0x48f194
kernel32.dll,LoadLibraryExA,0x48f198
kernel32.dll,GetThreadLocale,0x48f19c
kernel32.dll,GetStartupInfoA,0x48f1a0
kernel32.dll,GetProcAddress,0x48f1a4
kernel32.dll,GetModuleHandleA,0x48f1a8
kernel32.dll,GetModuleFileNameA,0x48f1ac
kernel32.dll,GetLocaleInfoA,0x48f1b0
kernel32.dll,GetCommandLineA,0x48f1b4
kernel32.dll,FreeLibrary,0x48f1b8
kernel32.dll,FindFirstFileA,0x48f1bc
kernel32.dll,FindClose,0x48f1c0
kernel32.dll,ExitProcess,0x48f1c4
kernel32.dll,ExitThread,0x48f1c8
kernel32.dll,CreateThread,0x48f1cc
kernel32.dll,WriteFile,0x48f1d0
kernel32.dll,UnhandledExceptionFilter,0x48f1d4
kernel32.dll,RtlUnwind,0x48f1d8
kernel32.dll,RaiseException,0x48f1dc
kernel32.dll,GetStdHandle,0x48f1e0
user32.dll,GetKeyboardType,0x48f1e8
user32.dll,LoadStringA,0x48f1ec
user32.dll,MessageBoxA,0x48f1f0
user32.dll,CharNextA,0x48f1f4
advapi32.dll,RegQueryValueExA,0x48f1fc
advapi32.dll,RegOpenKeyExA,0x48f200
advapi32.dll,RegCloseKey,0x48f204
oleaut32.dll,SysFreeString,0x48f20c
oleaut32.dll,SysReAllocStringLen,0x48f210
oleaut32.dll,SysAllocStringLen,0x48f214
kernel32.dll,TlsSetValue,0x48f21c
kernel32.dll,TlsGetValue,0x48f220
kernel32.dll,LocalAlloc,0x48f224
kernel32.dll,GetModuleHandleA,0x48f228
advapi32.dll,RegQueryValueExA,0x48f230
advapi32.dll,RegOpenKeyExA,0x48f234
advapi32.dll,RegCloseKey,0x48f238
kernel32.dll,lstrcpyA,0x48f240
kernel32.dll,lstrcmpA,0x48f244
kernel32.dll,WriteFile,0x48f248
kernel32.dll,WinExec,0x48f24c
kernel32.dll,WaitForSingleObject,0x48f250
kernel32.dll,VirtualQuery,0x48f254
kernel32.dll,VirtualProtect,0x48f258
kernel32.dll,VirtualFree,0x48f25c
kernel32.dll,VirtualAlloc,0x48f260
kernel32.dll,SuspendThread,0x48f264
kernel32.dll,Sleep,0x48f268
kernel32.dll,SizeofResource,0x48f26c
kernel32.dll,SetThreadPriority,0x48f270
kernel32.dll,SetThreadLocale,0x48f274
kernel32.dll,SetFilePointer,0x48f278
kernel32.dll,SetEvent,0x48f27c
kernel32.dll,SetErrorMode,0x48f280
kernel32.dll,SetEndOfFile,0x48f284
kernel32.dll,ResumeThread,0x48f288
kernel32.dll,ResetEvent,0x48f28c
kernel32.dll,ReadFile,0x48f290
kernel32.dll,MulDiv,0x48f294
kernel32.dll,LockResource,0x48f298
kernel32.dll,LoadResource,0x48f29c
kernel32.dll,LoadLibraryA,0x48f2a0
kernel32.dll,LeaveCriticalSection,0x48f2a4
kernel32.dll,InitializeCriticalSection,0x48f2a8
kernel32.dll,GlobalUnlock,0x48f2ac
kernel32.dll,GlobalReAlloc,0x48f2b0
kernel32.dll,GlobalHandle,0x48f2b4
kernel32.dll,GlobalLock,0x48f2b8
kernel32.dll,GlobalFree,0x48f2bc
kernel32.dll,GlobalFindAtomA,0x48f2c0
kernel32.dll,GlobalDeleteAtom,0x48f2c4
kernel32.dll,GlobalAlloc,0x48f2c8
kernel32.dll,GlobalAddAtomA,0x48f2cc
kernel32.dll,GetVersionExA,0x48f2d0
kernel32.dll,GetVersion,0x48f2d4
kernel32.dll,GetTickCount,0x48f2d8
kernel32.dll,GetThreadLocale,0x48f2dc
kernel32.dll,GetTempPathA,0x48f2e0
kernel32.dll,GetSystemInfo,0x48f2e4
kernel32.dll,GetStringTypeExA,0x48f2e8
kernel32.dll,GetStdHandle,0x48f2ec
kernel32.dll,GetProcAddress,0x48f2f0
kernel32.dll,GetModuleHandleA,0x48f2f4
kernel32.dll,GetModuleFileNameA,0x48f2f8
kernel32.dll,GetLocaleInfoA,0x48f2fc
kernel32.dll,GetLocalTime,0x48f300
kernel32.dll,GetLastError,0x48f304
kernel32.dll,GetFullPathNameA,0x48f308
kernel32.dll,GetFileSize,0x48f30c
kernel32.dll,GetExitCodeThread,0x48f310
kernel32.dll,GetDiskFreeSpaceA,0x48f314
kernel32.dll,GetDateFormatA,0x48f318
kernel32.dll,GetCurrentThreadId,0x48f31c
kernel32.dll,GetCurrentProcessId,0x48f320
kernel32.dll,GetCPInfo,0x48f324
kernel32.dll,GetACP,0x48f328
kernel32.dll,FreeResource,0x48f32c
kernel32.dll,InterlockedIncrement,0x48f330
kernel32.dll,InterlockedExchange,0x48f334
kernel32.dll,InterlockedDecrement,0x48f338
kernel32.dll,FreeLibrary,0x48f33c
kernel32.dll,FormatMessageA,0x48f340
kernel32.dll,FindResourceA,0x48f344
kernel32.dll,FindFirstFileA,0x48f348
kernel32.dll,FindClose,0x48f34c
kernel32.dll,FileTimeToLocalFileTime,0x48f350
kernel32.dll,FileTimeToDosDateTime,0x48f354
kernel32.dll,EnumCalendarInfoA,0x48f358
kernel32.dll,EnterCriticalSection,0x48f35c
kernel32.dll,DeleteCriticalSection,0x48f360
kernel32.dll,CreateThread,0x48f364
kernel32.dll,CreateFileA,0x48f368
kernel32.dll,CreateEventA,0x48f36c
kernel32.dll,CompareStringA,0x48f370
kernel32.dll,CloseHandle,0x48f374
version.dll,VerQueryValueA,0x48f37c
version.dll,GetFileVersionInfoSizeA,0x48f380
version.dll,GetFileVersionInfoA,0x48f384
gdi32.dll,UnrealizeObject,0x48f38c
gdi32.dll,StretchBlt,0x48f390
gdi32.dll,SetWindowOrgEx,0x48f394
gdi32.dll,SetViewportOrgEx,0x48f398
gdi32.dll,SetTextColor,0x48f39c
gdi32.dll,SetStretchBltMode,0x48f3a0
gdi32.dll,SetROP2,0x48f3a4
gdi32.dll,SetPixel,0x48f3a8
gdi32.dll,SetDIBColorTable,0x48f3ac
gdi32.dll,SetBrushOrgEx,0x48f3b0
gdi32.dll,SetBkMode,0x48f3b4
gdi32.dll,SetBkColor,0x48f3b8
gdi32.dll,SelectPalette,0x48f3bc
gdi32.dll,SelectObject,0x48f3c0
gdi32.dll,SelectClipRgn,0x48f3c4
gdi32.dll,SaveDC,0x48f3c8
gdi32.dll,RestoreDC,0x48f3cc
gdi32.dll,Rectangle,0x48f3d0
gdi32.dll,RectVisible,0x48f3d4
gdi32.dll,RealizePalette,0x48f3d8
gdi32.dll,PatBlt,0x48f3dc
gdi32.dll,MoveToEx,0x48f3e0
gdi32.dll,MaskBlt,0x48f3e4
gdi32.dll,LineTo,0x48f3e8
gdi32.dll,IntersectClipRect,0x48f3ec
gdi32.dll,GetWindowOrgEx,0x48f3f0
gdi32.dll,GetTextMetricsA,0x48f3f4
gdi32.dll,GetTextExtentPoint32A,0x48f3f8
gdi32.dll,GetSystemPaletteEntries,0x48f3fc
gdi32.dll,GetStockObject,0x48f400
gdi32.dll,GetPixel,0x48f404
gdi32.dll,GetPaletteEntries,0x48f408
gdi32.dll,GetObjectA,0x48f40c
gdi32.dll,GetDeviceCaps,0x48f410
gdi32.dll,GetDIBits,0x48f414
gdi32.dll,GetDIBColorTable,0x48f418
gdi32.dll,GetDCOrgEx,0x48f41c
gdi32.dll,GetCurrentPositionEx,0x48f420
gdi32.dll,GetClipBox,0x48f424
gdi32.dll,GetBrushOrgEx,0x48f428
gdi32.dll,GetBitmapBits,0x48f42c
gdi32.dll,ExtTextOutA,0x48f430
gdi32.dll,ExcludeClipRect,0x48f434
