dll,name,address
KERNEL32.dll,CreateProcessA,0x406000
KERNEL32.dll,CloseHandle,0x406004
KERNEL32.dll,WriteFile,0x406008
KERNEL32.dll,CreateFileA,0x40600c
KERNEL32.dll,SizeofResource,0x406010
KERNEL32.dll,LockResource,0x406014
KERNEL32.dll,LoadResource,0x406018
KERNEL32.dll,FindResourceA,0x40601c
KERNEL32.dll,MoveFileExA,0x406020
KERNEL32.dll,GetModuleFileNameA,0x406024
KERNEL32.dll,GetCurrentThreadId,0x406028
KERNEL32.dll,GetLastError,0x40602c
KERNEL32.dll,CreateDirectoryA,0x406030
KERNEL32.dll,SetProcessPriorityBoost,0x406034
KERNEL32.dll,SetThreadPriority,0x406038
KERNEL32.dll,GetCurrentThread,0x40603c
KERNEL32.dll,SetPriorityClass,0x406040
KERNEL32.dll,GetCurrentProcess,0x406044
KERNEL32.dll,GetEnvironmentVariableA,0x406048
KERNEL32.dll,MoveFileA,0x40604c
KERNEL32.dll,DeleteFileA,0x406050
KERNEL32.dll,GetTempFileNameA,0x406054
KERNEL32.dll,GetTempPathA,0x406058
KERNEL32.dll,GetStringTypeW,0x40605c
KERNEL32.dll,GetStringTypeA,0x406060
KERNEL32.dll,LCMapStringW,0x406064
KERNEL32.dll,LCMapStringA,0x406068
KERNEL32.dll,MultiByteToWideChar,0x40606c
KERNEL32.dll,SetStdHandle,0x406070
KERNEL32.dll,LoadLibraryA,0x406074
KERNEL32.dll,GetProcAddress,0x406078
KERNEL32.dll,RtlUnwind,0x40607c
KERNEL32.dll,HeapReAlloc,0x406080
KERNEL32.dll,HeapAlloc,0x406084
KERNEL32.dll,GetModuleHandleA,0x406088
KERNEL32.dll,GetStartupInfoA,0x40608c
KERNEL32.dll,GetCommandLineA,0x406090
KERNEL32.dll,GetVersion,0x406094
KERNEL32.dll,ExitProcess,0x406098
KERNEL32.dll,HeapDestroy,0x40609c
KERNEL32.dll,HeapCreate,0x4060a0
KERNEL32.dll,VirtualFree,0x4060a4
KERNEL32.dll,HeapFree,0x4060a8
KERNEL32.dll,VirtualAlloc,0x4060ac
KERNEL32.dll,TerminateProcess,0x4060b0
KERNEL32.dll,UnhandledExceptionFilter,0x4060b4
KERNEL32.dll,FreeEnvironmentStringsA,0x4060b8
KERNEL32.dll,FreeEnvironmentStringsW,0x4060bc
KERNEL32.dll,WideCharToMultiByte,0x4060c0
KERNEL32.dll,GetEnvironmentStrings,0x4060c4
KERNEL32.dll,GetEnvironmentStringsW,0x4060c8
KERNEL32.dll,SetHandleCount,0x4060cc
KERNEL32.dll,GetStdHandle,0x4060d0
KERNEL32.dll,GetFileType,0x4060d4
KERNEL32.dll,SetFilePointer,0x4060d8
KERNEL32.dll,GetCPInfo,0x4060dc
KERNEL32.dll,GetACP,0x4060e0
KERNEL32.dll,GetOEMCP,0x4060e4
KERNEL32.dll,FlushFileBuffers,0x4060e8
USER32.dll,PostThreadMessageA,0x406100
USER32.dll,GetMessageA,0x406104
USER32.dll,GetInputState,0x406108
SHELL32.dll,ShellExecuteExA,0x4060f0
SHELL32.dll,SHChangeNotify,0x4060f4
SHELL32.dll,ShellExecuteA,0x4060f8
