dll,name,address
KERNEL32.dll,GetTempPathA,0x402010
KERNEL32.dll,Sleep,0x402014
KERNEL32.dll,GetLongPathNameA,0x402018
KERNEL32.dll,GetModuleHandleA,0x40201c
KERNEL32.dll,GetCommandLineA,0x402020
KERNEL32.dll,CreateProcessA,0x402024
KERNEL32.dll,CloseHandle,0x402028
KERNEL32.dll,ExitProcess,0x40202c
KERNEL32.dll,GetModuleFileNameA,0x402030
WININET.dll,InternetReadFile,0x402064
WININET.dll,InternetOpenA,0x402068
WININET.dll,InternetOpenUrlA,0x40206c
WININET.dll,InternetCloseHandle,0x402070
LZ32.dll,LZClose,0x402038
LZ32.dll,LZOpenFileA,0x40203c
LZ32.dll,LZCopy,0x402040
urlmon.dll,URLDownloadToFileA,0x402078
MSVCRT.dll,strrchr,0x402048
MSVCRT.dll,strncpy,0x40204c
MSVCRT.dll,atoi,0x402050
MSVCRT.dll,strncmp,0x402054
MSVCRT.dll,strchr,0x402058
MSVCRT.dll,strstr,0x40205c
ADVAPI32.dll,RegSetValueExA,0x402000
ADVAPI32.dll,RegCreateKeyExA,0x402004
ADVAPI32.dll,RegCloseKey,0x402008
