dll,name,address
KERNEL32.dll,ReadFile,0x41f0a4
KERNEL32.dll,CreateFileW,0x41f0a8
KERNEL32.dll,GetFileSizeEx,0x41f0ac
KERNEL32.dll,FindNextFileW,0x41f0b0
KERNEL32.dll,DeleteFileW,0x41f0b4
KERNEL32.dll,SetFileAttributesW,0x41f0b8
KERNEL32.dll,GetVolumeNameForVolumeMountPointW,0x41f0bc
KERNEL32.dll,HeapReAlloc,0x41f0c0
KERNEL32.dll,HeapCompact,0x41f0c4
KERNEL32.dll,HeapAlloc,0x41f0c8
KERNEL32.dll,HeapFree,0x41f0cc
KERNEL32.dll,HeapCreate,0x41f0d0
KERNEL32.dll,SetLastError,0x41f0d4
KERNEL32.dll,InitializeCriticalSection,0x41f0d8
KERNEL32.dll,LeaveCriticalSection,0x41f0dc
KERNEL32.dll,EnterCriticalSection,0x41f0e0
KERNEL32.dll,DeleteCriticalSection,0x41f0e4
KERNEL32.dll,GetVersionExW,0x41f0e8
KERNEL32.dll,LocalAlloc,0x41f0ec
KERNEL32.dll,LocalFree,0x41f0f0
KERNEL32.dll,CreateNamedPipeW,0x41f0f4
KERNEL32.dll,GetCommandLineW,0x41f0f8
KERNEL32.dll,CreateMutexW,0x41f0fc
KERNEL32.dll,GetDriveTypeW,0x41f100
KERNEL32.dll,FileTimeToSystemTime,0x41f104
KERNEL32.dll,OpenMutexW,0x41f108
KERNEL32.dll,ReleaseMutex,0x41f10c
KERNEL32.dll,GetVolumeInformationW,0x41f110
KERNEL32.dll,ExpandEnvironmentStringsW,0x41f114
KERNEL32.dll,GetFileSize,0x41f118
KERNEL32.dll,MapViewOfFile,0x41f11c
KERNEL32.dll,UnmapViewOfFile,0x41f120
KERNEL32.dll,CreateFileMappingW,0x41f124
KERNEL32.dll,GlobalLock,0x41f128
KERNEL32.dll,GlobalUnlock,0x41f12c
KERNEL32.dll,lstrcpynA,0x41f130
KERNEL32.dll,lstrcmpiA,0x41f134
KERNEL32.dll,SetCurrentDirectoryW,0x41f138
KERNEL32.dll,FindVolumeClose,0x41f13c
KERNEL32.dll,FindNextVolumeW,0x41f140
KERNEL32.dll,GetVolumePathNamesForVolumeNameW,0x41f144
KERNEL32.dll,FindNextVolumeMountPointW,0x41f148
KERNEL32.dll,GetCurrentDirectoryW,0x41f14c
KERNEL32.dll,FindVolumeMountPointClose,0x41f150
KERNEL32.dll,FindFirstVolumeMountPointW,0x41f154
KERNEL32.dll,GetFileAttributesW,0x41f158
KERNEL32.dll,GetDiskFreeSpaceExW,0x41f15c
KERNEL32.dll,FileTimeToLocalFileTime,0x41f160
KERNEL32.dll,FindFirstVolumeW,0x41f164
KERNEL32.dll,RtlUnwind,0x41f168
KERNEL32.dll,GetSystemTimeAsFileTime,0x41f16c
KERNEL32.dll,GetCurrentProcessId,0x41f170
KERNEL32.dll,QueryPerformanceCounter,0x41f174
KERNEL32.dll,GetFileType,0x41f178
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x41f17c
KERNEL32.dll,SetHandleCount,0x41f180
KERNEL32.dll,GetEnvironmentStringsW,0x41f184
KERNEL32.dll,WideCharToMultiByte,0x41f188
KERNEL32.dll,FreeEnvironmentStringsW,0x41f18c
KERNEL32.dll,GetModuleFileNameA,0x41f190
KERNEL32.dll,GetStdHandle,0x41f194
KERNEL32.dll,TerminateProcess,0x41f198
KERNEL32.dll,IsDebuggerPresent,0x41f19c
KERNEL32.dll,UnhandledExceptionFilter,0x41f1a0
KERNEL32.dll,GetStringTypeW,0x41f1a4
KERNEL32.dll,LCMapStringW,0x41f1a8
KERNEL32.dll,GetCurrentThreadId,0x41f1ac
KERNEL32.dll,TlsFree,0x41f1b0
KERNEL32.dll,TlsSetValue,0x41f1b4
KERNEL32.dll,TlsGetValue,0x41f1b8
KERNEL32.dll,TlsAlloc,0x41f1bc
KERNEL32.dll,GetSystemWow64DirectoryW,0x41f1c0
KERNEL32.dll,GetSystemDirectoryW,0x41f1c4
KERNEL32.dll,WriteFile,0x41f1c8
KERNEL32.dll,SetFileTime,0x41f1cc
KERNEL32.dll,SetFilePointer,0x41f1d0
KERNEL32.dll,CreateToolhelp32Snapshot,0x41f1d4
KERNEL32.dll,Process32NextW,0x41f1d8
KERNEL32.dll,Process32FirstW,0x41f1dc
KERNEL32.dll,lstrcpyA,0x41f1e0
KERNEL32.dll,GetSystemTime,0x41f1e4
KERNEL32.dll,LoadLibraryW,0x41f1e8
KERNEL32.dll,GetLocalTime,0x41f1ec
KERNEL32.dll,FindClose,0x41f1f0
KERNEL32.dll,MoveFileW,0x41f1f4
KERNEL32.dll,SetThreadPriority,0x41f1f8
KERNEL32.dll,lstrcmpW,0x41f1fc
KERNEL32.dll,GetACP,0x41f200
KERNEL32.dll,FreeConsole,0x41f204
KERNEL32.dll,CopyFileW,0x41f208
KERNEL32.dll,GetCurrentThread,0x41f20c
KERNEL32.dll,GetTickCount,0x41f210
KERNEL32.dll,GetModuleHandleW,0x41f214
KERNEL32.dll,SleepEx,0x41f218
KERNEL32.dll,SystemTimeToFileTime,0x41f21c
KERNEL32.dll,SetUnhandledExceptionFilter,0x41f220
KERNEL32.dll,CreateProcessW,0x41f224
KERNEL32.dll,FreeLibrary,0x41f228
KERNEL32.dll,SetErrorMode,0x41f22c
KERNEL32.dll,lstrlenA,0x41f230
KERNEL32.dll,FindFirstFileW,0x41f234
KERNEL32.dll,ExitProcess,0x41f238
KERNEL32.dll,GetCurrentProcess,0x41f23c
KERNEL32.dll,GetExitCodeThread,0x41f240
KERNEL32.dll,ExitThread,0x41f244
KERNEL32.dll,CreateThread,0x41f248
KERNEL32.dll,CloseHandle,0x41f24c
KERNEL32.dll,TerminateThread,0x41f250
KERNEL32.dll,WaitForSingleObject,0x41f254
KERNEL32.dll,Sleep,0x41f258
KERNEL32.dll,lstrcpyW,0x41f25c
KERNEL32.dll,GetWindowsDirectoryW,0x41f260
KERNEL32.dll,lstrcatW,0x41f264
KERNEL32.dll,GetTempPathW,0x41f268
KERNEL32.dll,lstrlenW,0x41f26c
KERNEL32.dll,GetModuleFileNameW,0x41f270
KERNEL32.dll,GetComputerNameW,0x41f274
KERNEL32.dll,GetEnvironmentVariableW,0x41f278
KERNEL32.dll,GetLastError,0x41f27c
KERNEL32.dll,MultiByteToWideChar,0x41f280
KERNEL32.dll,IsValidCodePage,0x41f284
KERNEL32.dll,InterlockedDecrement,0x41f288
KERNEL32.dll,InterlockedIncrement,0x41f28c
KERNEL32.dll,GetCPInfo,0x41f290
KERNEL32.dll,HeapSize,0x41f294
KERNEL32.dll,RaiseException,0x41f298
KERNEL32.dll,IsProcessorFeaturePresent,0x41f29c
KERNEL32.dll,GetStartupInfoW,0x41f2a0
KERNEL32.dll,HeapSetInformation,0x41f2a4
KERNEL32.dll,GetCommandLineA,0x41f2a8
KERNEL32.dll,DecodePointer,0x41f2ac
KERNEL32.dll,EncodePointer,0x41f2b0
KERNEL32.dll,IsBadReadPtr,0x41f2b4
KERNEL32.dll,lstrcmpiW,0x41f2b8
KERNEL32.dll,GetProcAddress,0x41f2bc
KERNEL32.dll,lstrcpynW,0x41f2c0
