dll,name,address
KERNEL32.dll,Sleep,0x402000
WS2_32.dll,gethostbyname,0x402064
WS2_32.dll,connect,0x402068
WS2_32.dll,htons,0x40206c
WS2_32.dll,htonl,0x402070
WS2_32.dll,setsockopt,0x402074
WS2_32.dll,bind,0x402078
WS2_32.dll,listen,0x40207c
WS2_32.dll,socket,0x402080
WS2_32.dll,select,0x402084
WS2_32.dll,__WSAFDIsSet,0x402088
WS2_32.dll,recv,0x40208c
WS2_32.dll,ntohs,0x402090
WS2_32.dll,send,0x402094
WS2_32.dll,closesocket,0x402098
WS2_32.dll,accept,0x40209c
WS2_32.dll,inet_ntoa,0x4020a0
WS2_32.dll,WSAStartup,0x4020a4
WS2_32.dll,WSACleanup,0x4020a8
MSVCRT.dll,_controlfp,0x402008
MSVCRT.dll,_except_handler3,0x40200c
MSVCRT.dll,__set_app_type,0x402010
MSVCRT.dll,__p__fmode,0x402014
MSVCRT.dll,__p__commode,0x402018
MSVCRT.dll,_adjust_fdiv,0x40201c
MSVCRT.dll,__setusermatherr,0x402020
MSVCRT.dll,_initterm,0x402024
MSVCRT.dll,__getmainargs,0x402028
MSVCRT.dll,__p___initenv,0x40202c
MSVCRT.dll,_XcptFilter,0x402030
MSVCRT.dll,_exit,0x402034
MSVCRT.dll,strerror,0x402038
MSVCRT.dll,exit,0x40203c
MSVCRT.dll,_errno,0x402040
MSVCRT.dll,sprintf,0x402044
MSVCRT.dll,_beginthread,0x402048
MSVCRT.dll,strncpy,0x40204c
MSVCRT.dll,atoi,0x402050
MSVCRT.dll,_stricmp,0x402054
MSVCRT.dll,signal,0x402058
MSVCRT.dll,printf,0x40205c
