dll,name,address
MSVCRT.dll,calloc,0x100080e8
MSVCRT.dll,_strlwr,0x100080ec
MSVCRT.dll,_itoa,0x100080f0
MSVCRT.dll,_stricmp,0x100080f4
MSVCRT.dll,memcpy,0x100080f8
MSVCRT.dll,memset,0x100080fc
MSVCRT.dll,??2@YAPAXI@Z,0x10008100
MSVCRT.dll,realloc,0x10008104
MSVCRT.dll,free,0x10008108
MSVCRT.dll,??3@YAXPAX@Z,0x1000810c
MSVCRT.dll,_adjust_fdiv,0x10008110
MSVCRT.dll,malloc,0x10008114
MSVCRT.dll,_initterm,0x10008118
MSVCRT.dll,strstr,0x1000811c
MSVCRT.dll,_snprintf,0x10008120
MSVCRT.dll,strrchr,0x10008124
MSVCRT.dll,strcat,0x10008128
MSVCRT.dll,rename,0x1000812c
MSVCRT.dll,strncpy,0x10008130
KERNEL32.dll,GetCurrentThread,0x1000800c
KERNEL32.dll,LoadLibraryA,0x10008010
KERNEL32.dll,GetModuleHandleA,0x10008014
KERNEL32.dll,GetProcAddress,0x10008018
KERNEL32.dll,CloseHandle,0x1000801c
KERNEL32.dll,MapViewOfFile,0x10008020
KERNEL32.dll,CreateFileMappingA,0x10008024
KERNEL32.dll,GetFileSize,0x10008028
KERNEL32.dll,CreateFileA,0x1000802c
KERNEL32.dll,UnmapViewOfFile,0x10008030
KERNEL32.dll,SizeofResource,0x10008034
KERNEL32.dll,LockResource,0x10008038
KERNEL32.dll,LoadResource,0x1000803c
KERNEL32.dll,FindResourceA,0x10008040
KERNEL32.dll,WriteFile,0x10008044
KERNEL32.dll,DeleteFileA,0x10008048
KERNEL32.dll,GetFileAttributesA,0x1000804c
KERNEL32.dll,HeapAlloc,0x10008050
KERNEL32.dll,VirtualAlloc,0x10008054
KERNEL32.dll,VirtualProtect,0x10008058
KERNEL32.dll,VirtualFree,0x1000805c
KERNEL32.dll,IsBadReadPtr,0x10008060
KERNEL32.dll,HeapFree,0x10008064
KERNEL32.dll,FreeLibrary,0x10008068
KERNEL32.dll,GetTempFileNameA,0x1000806c
KERNEL32.dll,GetTempPathA,0x10008070
KERNEL32.dll,GetModuleFileNameA,0x10008074
KERNEL32.dll,GetPrivateProfileIntA,0x10008078
KERNEL32.dll,WritePrivateProfileStringA,0x1000807c
KERNEL32.dll,WaitForSingleObject,0x10008080
KERNEL32.dll,LoadLibraryW,0x10008084
KERNEL32.dll,GetModuleFileNameW,0x10008088
KERNEL32.dll,GetCurrentProcess,0x1000808c
KERNEL32.dll,SetFileAttributesA,0x10008090
KERNEL32.dll,SetFileTime,0x10008094
KERNEL32.dll,LocalFileTimeToFileTime,0x10008098
KERNEL32.dll,SystemTimeToFileTime,0x1000809c
KERNEL32.dll,GetFileTime,0x100080a0
KERNEL32.dll,GetSystemDirectoryA,0x100080a4
KERNEL32.dll,CreateProcessA,0x100080a8
KERNEL32.dll,CopyFileA,0x100080ac
KERNEL32.dll,GetWindowsDirectoryA,0x100080b0
KERNEL32.dll,GetVersionExA,0x100080b4
KERNEL32.dll,ExitProcess,0x100080b8
KERNEL32.dll,lstrcatA,0x100080bc
KERNEL32.dll,DisableThreadLibraryCalls,0x100080c0
KERNEL32.dll,VirtualAllocEx,0x100080c4
KERNEL32.dll,GetProcessHeap,0x100080c8
KERNEL32.dll,CreateToolhelp32Snapshot,0x100080cc
KERNEL32.dll,GetCurrentProcessId,0x100080d0
KERNEL32.dll,ProcessIdToSessionId,0x100080d4
KERNEL32.dll,Process32First,0x100080d8
KERNEL32.dll,Process32Next,0x100080dc
KERNEL32.dll,GetFileSizeEx,0x100080e0
USER32.dll,wsprintfA,0x10008138
ADVAPI32.dll,OpenProcessToken,0x10008000
ADVAPI32.dll,GetTokenInformation,0x10008004
ole32.dll,CoInitialize,0x10008140
ole32.dll,CoCreateInstance,0x10008144
ole32.dll,CoUninitialize,0x10008148
