dll,name,address
KERNEL32.dll,MultiByteToWideChar,0x40b058
KERNEL32.dll,GlobalFree,0x40b05c
KERNEL32.dll,lstrlenW,0x40b060
KERNEL32.dll,lstrcpyA,0x40b064
KERNEL32.dll,SetLastError,0x40b068
KERNEL32.dll,FreeLibrary,0x40b06c
KERNEL32.dll,WinExec,0x40b070
KERNEL32.dll,GetTempFileNameA,0x40b074
KERNEL32.dll,CloseHandle,0x40b078
KERNEL32.dll,OpenProcess,0x40b07c
KERNEL32.dll,HeapAlloc,0x40b080
KERNEL32.dll,HeapCreate,0x40b084
KERNEL32.dll,HeapDestroy,0x40b088
KERNEL32.dll,HeapReAlloc,0x40b08c
KERNEL32.dll,CreateFileA,0x40b090
KERNEL32.dll,FindClose,0x40b094
KERNEL32.dll,FindNextFileA,0x40b098
KERNEL32.dll,FindFirstFileA,0x40b09c
KERNEL32.dll,MapViewOfFile,0x40b0a0
KERNEL32.dll,CreateFileMappingA,0x40b0a4
KERNEL32.dll,GetFileSize,0x40b0a8
KERNEL32.dll,UnmapViewOfFile,0x40b0ac
KERNEL32.dll,GetModuleFileNameA,0x40b0b0
KERNEL32.dll,WideCharToMultiByte,0x40b0b4
KERNEL32.dll,GetCurrentProcess,0x40b0b8
KERNEL32.dll,GetTickCount,0x40b0bc
KERNEL32.dll,ExitProcess,0x40b0c0
KERNEL32.dll,GetLastError,0x40b0c4
KERNEL32.dll,CreateNamedPipeA,0x40b0c8
KERNEL32.dll,GetShortPathNameA,0x40b0cc
KERNEL32.dll,WriteFile,0x40b0d0
KERNEL32.dll,SetErrorMode,0x40b0d4
KERNEL32.dll,GetProcessHeap,0x40b0d8
KERNEL32.dll,OutputDebugStringA,0x40b0dc
KERNEL32.dll,HeapFree,0x40b0e0
KERNEL32.dll,ReadFile,0x40b0e4
KERNEL32.dll,SetFilePointer,0x40b0e8
KERNEL32.dll,GetEnvironmentVariableA,0x40b0ec
KERNEL32.dll,DeleteFileA,0x40b0f0
KERNEL32.dll,MoveFileA,0x40b0f4
KERNEL32.dll,GetStdHandle,0x40b0f8
KERNEL32.dll,CompareStringA,0x40b0fc
KERNEL32.dll,lstrcmpiA,0x40b100
KERNEL32.dll,CompareStringW,0x40b104
KERNEL32.dll,IsDebuggerPresent,0x40b108
KERNEL32.dll,SetPriorityClass,0x40b10c
KERNEL32.dll,lstrcmpA,0x40b110
KERNEL32.dll,lstrcatA,0x40b114
KERNEL32.dll,Sleep,0x40b118
KERNEL32.dll,LocalAlloc,0x40b11c
KERNEL32.dll,GetFileTime,0x40b120
KERNEL32.dll,FileTimeToSystemTime,0x40b124
KERNEL32.dll,lstrlenA,0x40b128
KERNEL32.dll,LocalFree,0x40b12c
KERNEL32.dll,GetSystemInfo,0x40b130
KERNEL32.dll,GetLogicalDrives,0x40b134
KERNEL32.dll,GetDriveTypeA,0x40b138
KERNEL32.dll,GetDiskFreeSpaceA,0x40b13c
KERNEL32.dll,GetSystemTime,0x40b140
KERNEL32.dll,GetComputerNameA,0x40b144
KERNEL32.dll,GlobalAlloc,0x40b148
KERNEL32.dll,LoadLibraryA,0x40b14c
KERNEL32.dll,GetProcAddress,0x40b150
KERNEL32.dll,GetACP,0x40b154
KERNEL32.dll,GetOEMCP,0x40b158
KERNEL32.dll,GetCurrentDirectoryA,0x40b15c
KERNEL32.dll,GetModuleHandleA,0x40b160
KERNEL32.dll,GetTempPathA,0x40b164
USER32.dll,wvsprintfA,0x40b19c
USER32.dll,CharLowerBuffA,0x40b1a0
USER32.dll,MessageBoxA,0x40b1a4
USER32.dll,wsprintfA,0x40b1a8
USER32.dll,EnumDisplaySettingsA,0x40b1ac
USER32.dll,GetSystemMetrics,0x40b1b0
USER32.dll,CharUpperBuffA,0x40b1b4
USER32.dll,GetForegroundWindow,0x40b1b8
USER32.dll,GetKeyboardLayoutNameA,0x40b1bc
ADVAPI32.dll,OpenProcessToken,0x40b000
ADVAPI32.dll,RegQueryValueExW,0x40b004
ADVAPI32.dll,RegOpenKeyA,0x40b008
ADVAPI32.dll,RegEnumKeyA,0x40b00c
ADVAPI32.dll,RegEnumValueA,0x40b010
ADVAPI32.dll,RegOpenKeyExA,0x40b014
