dll,name,address
COMCTL32.dll,InitCommonControlsEx,0x427028
SHLWAPI.dll,SHAutoComplete,0x427288
KERNEL32.dll,ReadFile,0x427064
KERNEL32.dll,GetFileAttributesW,0x427068
KERNEL32.dll,SetFileAttributesW,0x42706c
KERNEL32.dll,FindNextFileW,0x427070
KERNEL32.dll,GetFullPathNameW,0x427074
KERNEL32.dll,GetModuleFileNameW,0x427078
KERNEL32.dll,FindResourceW,0x42707c
KERNEL32.dll,GetModuleHandleW,0x427080
KERNEL32.dll,FreeLibrary,0x427084
KERNEL32.dll,GetProcAddress,0x427088
KERNEL32.dll,LoadLibraryW,0x42708c
KERNEL32.dll,GetCurrentProcessId,0x427090
KERNEL32.dll,GetLocaleInfoW,0x427094
KERNEL32.dll,GetNumberFormatW,0x427098
KERNEL32.dll,ExpandEnvironmentStringsW,0x42709c
KERNEL32.dll,WaitForSingleObject,0x4270a0
KERNEL32.dll,DosDateTimeToFileTime,0x4270a4
KERNEL32.dll,GetDateFormatW,0x4270a8
KERNEL32.dll,GetTimeFormatW,0x4270ac
KERNEL32.dll,FileTimeToSystemTime,0x4270b0
KERNEL32.dll,FileTimeToLocalFileTime,0x4270b4
KERNEL32.dll,GetExitCodeProcess,0x4270b8
KERNEL32.dll,GetTempPathW,0x4270bc
KERNEL32.dll,MoveFileExW,0x4270c0
KERNEL32.dll,Sleep,0x4270c4
KERNEL32.dll,UnmapViewOfFile,0x4270c8
KERNEL32.dll,MapViewOfFile,0x4270cc
KERNEL32.dll,GetCommandLineW,0x4270d0
KERNEL32.dll,CreateFileMappingW,0x4270d4
KERNEL32.dll,GetTickCount,0x4270d8
KERNEL32.dll,SetEnvironmentVariableW,0x4270dc
KERNEL32.dll,OpenFileMappingW,0x4270e0
KERNEL32.dll,CreateThread,0x4270e4
KERNEL32.dll,EnterCriticalSection,0x4270e8
KERNEL32.dll,LeaveCriticalSection,0x4270ec
KERNEL32.dll,GetProcessAffinityMask,0x4270f0
KERNEL32.dll,ReleaseSemaphore,0x4270f4
KERNEL32.dll,ResetEvent,0x4270f8
KERNEL32.dll,DeleteCriticalSection,0x4270fc
KERNEL32.dll,SetEvent,0x427100
KERNEL32.dll,SetThreadPriority,0x427104
KERNEL32.dll,InitializeCriticalSection,0x427108
KERNEL32.dll,CreateEventW,0x42710c
KERNEL32.dll,CreateSemaphoreW,0x427110
KERNEL32.dll,SystemTimeToFileTime,0x427114
KERNEL32.dll,GetSystemTime,0x427118
KERNEL32.dll,LocalFileTimeToFileTime,0x42711c
KERNEL32.dll,WideCharToMultiByte,0x427120
KERNEL32.dll,MultiByteToWideChar,0x427124
KERNEL32.dll,CompareStringW,0x427128
KERNEL32.dll,IsDBCSLeadByte,0x42712c
KERNEL32.dll,FindFirstFileW,0x427130
KERNEL32.dll,GetFileType,0x427134
KERNEL32.dll,SetCurrentDirectoryW,0x427138
KERNEL32.dll,WriteConsoleW,0x42713c
KERNEL32.dll,GetConsoleOutputCP,0x427140
KERNEL32.dll,WriteConsoleA,0x427144
KERNEL32.dll,SetStdHandle,0x427148
KERNEL32.dll,GetLocaleInfoA,0x42714c
