dll,name,address
KERNEL32.dll,WriteProcessMemory,0x180014020
KERNEL32.dll,VirtualProtectEx,0x180014028
KERNEL32.dll,ReadProcessMemory,0x180014030
KERNEL32.dll,GetCurrentProcess,0x180014038
KERNEL32.dll,GetProcAddress,0x180014040
KERNEL32.dll,LoadLibraryW,0x180014048
KERNEL32.dll,GetModuleHandleW,0x180014050
KERNEL32.dll,EnterCriticalSection,0x180014058
KERNEL32.dll,LeaveCriticalSection,0x180014060
KERNEL32.dll,SetConsoleScreenBufferSize,0x180014068
KERNEL32.dll,GetConsoleScreenBufferInfo,0x180014070
KERNEL32.dll,GetStdHandle,0x180014078
KERNEL32.dll,AllocConsole,0x180014080
KERNEL32.dll,FreeConsole,0x180014088
KERNEL32.dll,WideCharToMultiByte,0x180014090
KERNEL32.dll,MultiByteToWideChar,0x180014098
KERNEL32.dll,Process32NextW,0x1800140a0
KERNEL32.dll,lstrcmpiW,0x1800140a8
KERNEL32.dll,FlushInstructionCache,0x1800140b0
KERNEL32.dll,CreateToolhelp32Snapshot,0x1800140b8
KERNEL32.dll,Module32NextW,0x1800140c0
KERNEL32.dll,Module32FirstW,0x1800140c8
KERNEL32.dll,VirtualFreeEx,0x1800140d0
KERNEL32.dll,WaitForSingleObject,0x1800140d8
KERNEL32.dll,CreateRemoteThread,0x1800140e0
KERNEL32.dll,VirtualAllocEx,0x1800140e8
KERNEL32.dll,lstrlenA,0x1800140f0
KERNEL32.dll,OpenProcess,0x1800140f8
KERNEL32.dll,Sleep,0x180014100
KERNEL32.dll,TerminateThread,0x180014108
KERNEL32.dll,CreateThread,0x180014110
KERNEL32.dll,GetModuleFileNameA,0x180014118
KERNEL32.dll,GetModuleFileNameW,0x180014120
KERNEL32.dll,LocalFree,0x180014128
KERNEL32.dll,CreateFileA,0x180014130
KERNEL32.dll,CloseHandle,0x180014138
KERNEL32.dll,DeleteCriticalSection,0x180014140
KERNEL32.dll,Process32FirstW,0x180014148
KERNEL32.dll,InitializeCriticalSection,0x180014150
KERNEL32.dll,SetFilePointer,0x180014158
KERNEL32.dll,WriteConsoleW,0x180014160
KERNEL32.dll,SetStdHandle,0x180014168
KERNEL32.dll,GetLastError,0x180014170
KERNEL32.dll,GetFileType,0x180014178
KERNEL32.dll,RtlLookupFunctionEntry,0x180014180
KERNEL32.dll,RtlUnwindEx,0x180014188
KERNEL32.dll,HeapAlloc,0x180014190
KERNEL32.dll,RaiseException,0x180014198
KERNEL32.dll,RtlPcToFileHeader,0x1800141a0
KERNEL32.dll,GetCurrentThreadId,0x1800141a8
KERNEL32.dll,FlsSetValue,0x1800141b0
KERNEL32.dll,GetCommandLineA,0x1800141b8
KERNEL32.dll,HeapFree,0x1800141c0
KERNEL32.dll,GetVersionExA,0x1800141c8
KERNEL32.dll,GetProcessHeap,0x1800141d0
KERNEL32.dll,TerminateProcess,0x1800141d8
KERNEL32.dll,UnhandledExceptionFilter,0x1800141e0
KERNEL32.dll,SetUnhandledExceptionFilter,0x1800141e8
KERNEL32.dll,IsDebuggerPresent,0x1800141f0
KERNEL32.dll,RtlCaptureContext,0x1800141f8
KERNEL32.dll,SetHandleCount,0x180014200
KERNEL32.dll,GetStartupInfoA,0x180014208
KERNEL32.dll,GetModuleHandleA,0x180014210
KERNEL32.dll,ExitProcess,0x180014218
KERNEL32.dll,SetLastError,0x180014220
KERNEL32.dll,RtlVirtualUnwind,0x180014228
KERNEL32.dll,FlsGetValue,0x180014230
KERNEL32.dll,TlsFree,0x180014238
KERNEL32.dll,FlsFree,0x180014240
KERNEL32.dll,TlsSetValue,0x180014248
KERNEL32.dll,FlsAlloc,0x180014250
KERNEL32.dll,WriteFile,0x180014258
KERNEL32.dll,HeapSetInformation,0x180014260
KERNEL32.dll,HeapCreate,0x180014268
KERNEL32.dll,HeapDestroy,0x180014270
KERNEL32.dll,GetCPInfo,0x180014278
KERNEL32.dll,GetACP,0x180014280
KERNEL32.dll,GetOEMCP,0x180014288
KERNEL32.dll,IsValidCodePage,0x180014290
KERNEL32.dll,HeapSize,0x180014298
KERNEL32.dll,FreeEnvironmentStringsA,0x1800142a0
KERNEL32.dll,GetEnvironmentStrings,0x1800142a8
KERNEL32.dll,FreeEnvironmentStringsW,0x1800142b0
KERNEL32.dll,GetEnvironmentStringsW,0x1800142b8
KERNEL32.dll,QueryPerformanceCounter,0x1800142c0
KERNEL32.dll,GetTickCount,0x1800142c8
KERNEL32.dll,GetCurrentProcessId,0x1800142d0
KERNEL32.dll,GetSystemTimeAsFileTime,0x1800142d8
KERNEL32.dll,HeapReAlloc,0x1800142e0
KERNEL32.dll,GetConsoleCP,0x1800142e8
KERNEL32.dll,GetConsoleMode,0x1800142f0
KERNEL32.dll,FlushFileBuffers,0x1800142f8
KERNEL32.dll,LoadLibraryA,0x180014300
KERNEL32.dll,LCMapStringA,0x180014308
KERNEL32.dll,LCMapStringW,0x180014310
KERNEL32.dll,GetStringTypeA,0x180014318
KERNEL32.dll,GetStringTypeW,0x180014320
KERNEL32.dll,GetLocaleInfoA,0x180014328
KERNEL32.dll,WriteConsoleA,0x180014330
KERNEL32.dll,GetConsoleOutputCP,0x180014338
USER32.dll,GetWindowThreadProcessId,0x180014368
USER32.dll,FindWindowW,0x180014370
ADVAPI32.dll,LookupPrivilegeValueW,0x180014000
ADVAPI32.dll,AdjustTokenPrivileges,0x180014008
ADVAPI32.dll,OpenProcessToken,0x180014010
SHELL32.dll,CommandLineToArgvW,0x180014348
SHLWAPI.dll,SHSetValueW,0x180014358
