dll,name,address
KERNEL32.dll,GetTempPathA,0x404014
KERNEL32.dll,GetModuleHandleA,0x404018
KERNEL32.dll,GetStartupInfoA,0x40401c
KERNEL32.dll,GetLongPathNameA,0x404020
KERNEL32.dll,WinExec,0x404024
KERNEL32.dll,GetModuleFileNameA,0x404028
KERNEL32.dll,lstrlenA,0x40402c
KERNEL32.dll,Sleep,0x404030
WS2_32.dll,gethostname,0x4040d0
WS2_32.dll,WSAStartup,0x4040d4
WS2_32.dll,WSACleanup,0x4040d8
ADVAPI32.dll,RegCreateKeyA,0x404000
ADVAPI32.dll,RegCloseKey,0x404004
ADVAPI32.dll,RegOpenKeyA,0x404008
ADVAPI32.dll,RegSetValueExA,0x40400c
WININET.dll,HttpSendRequestA,0x4040b0
WININET.dll,InternetCloseHandle,0x4040b4
WININET.dll,InternetOpenA,0x4040b8
WININET.dll,InternetConnectA,0x4040bc
WININET.dll,HttpOpenRequestA,0x4040c0
WININET.dll,HttpQueryInfoA,0x4040c4
WININET.dll,InternetReadFile,0x4040c8
MSVCRT.dll,sscanf,0x404038
MSVCRT.dll,_controlfp,0x40403c
MSVCRT.dll,_except_handler3,0x404040
MSVCRT.dll,__set_app_type,0x404044
MSVCRT.dll,__p__fmode,0x404048
MSVCRT.dll,__p__commode,0x40404c
MSVCRT.dll,_adjust_fdiv,0x404050
MSVCRT.dll,atoi,0x404054
MSVCRT.dll,strcat,0x404058
MSVCRT.dll,strcpy,0x40405c
MSVCRT.dll,fclose,0x404060
MSVCRT.dll,fflush,0x404064
MSVCRT.dll,__setusermatherr,0x404068
MSVCRT.dll,fwrite,0x40406c
MSVCRT.dll,memset,0x404070
MSVCRT.dll,fopen,0x404074
MSVCRT.dll,strrchr,0x404078
MSVCRT.dll,??2@YAPAXI@Z,0x40407c
MSVCRT.dll,atol,0x404080
MSVCRT.dll,??3@YAXPAX@Z,0x404084
MSVCRT.dll,strncpy,0x404088
MSVCRT.dll,strstr,0x40408c
MSVCRT.dll,strlen,0x404090
MSVCRT.dll,_exit,0x404094
MSVCRT.dll,_XcptFilter,0x404098
MSVCRT.dll,exit,0x40409c
MSVCRT.dll,_acmdln,0x4040a0
MSVCRT.dll,__getmainargs,0x4040a4
MSVCRT.dll,_initterm,0x4040a8
