dll,name,address
ADVAPI32.dll,FreeSid,0x1001000
ADVAPI32.dll,AllocateAndInitializeSid,0x1001004
ADVAPI32.dll,EqualSid,0x1001008
ADVAPI32.dll,GetTokenInformation,0x100100c
ADVAPI32.dll,OpenProcessToken,0x1001010
ADVAPI32.dll,AdjustTokenPrivileges,0x1001014
ADVAPI32.dll,LookupPrivilegeValueA,0x1001018
ADVAPI32.dll,RegCloseKey,0x100101c
ADVAPI32.dll,RegDeleteValueA,0x1001020
ADVAPI32.dll,RegOpenKeyExA,0x1001024
ADVAPI32.dll,RegSetValueExA,0x1001028
ADVAPI32.dll,RegQueryValueExA,0x100102c
ADVAPI32.dll,RegCreateKeyExA,0x1001030
ADVAPI32.dll,RegQueryInfoKeyA,0x1001034
KERNEL32.dll,LocalFree,0x100104c
KERNEL32.dll,LocalAlloc,0x1001050
KERNEL32.dll,GetLastError,0x1001054
KERNEL32.dll,GetCurrentProcess,0x1001058
KERNEL32.dll,lstrlenA,0x100105c
KERNEL32.dll,GetModuleFileNameA,0x1001060
KERNEL32.dll,GetSystemDirectoryA,0x1001064
KERNEL32.dll,_lclose,0x1001068
KERNEL32.dll,_llseek,0x100106c
KERNEL32.dll,_lopen,0x1001070
KERNEL32.dll,WritePrivateProfileStringA,0x1001074
KERNEL32.dll,GetWindowsDirectoryA,0x1001078
KERNEL32.dll,CreateDirectoryA,0x100107c
KERNEL32.dll,GetFileAttributesA,0x1001080
KERNEL32.dll,ExpandEnvironmentStringsA,0x1001084
KERNEL32.dll,lstrcpyA,0x1001088
KERNEL32.dll,GlobalFree,0x100108c
KERNEL32.dll,GlobalUnlock,0x1001090
KERNEL32.dll,GlobalLock,0x1001094
KERNEL32.dll,GlobalAlloc,0x1001098
KERNEL32.dll,IsDBCSLeadByte,0x100109c
KERNEL32.dll,GetShortPathNameA,0x10010a0
KERNEL32.dll,GetPrivateProfileStringA,0x10010a4
KERNEL32.dll,GetPrivateProfileIntA,0x10010a8
KERNEL32.dll,lstrcmpiA,0x10010ac
KERNEL32.dll,RemoveDirectoryA,0x10010b0
KERNEL32.dll,FindClose,0x10010b4
KERNEL32.dll,FindNextFileA,0x10010b8
KERNEL32.dll,DeleteFileA,0x10010bc
KERNEL32.dll,SetFileAttributesA,0x10010c0
KERNEL32.dll,lstrcmpA,0x10010c4
KERNEL32.dll,FindFirstFileA,0x10010c8
KERNEL32.dll,FreeResource,0x10010cc
KERNEL32.dll,GetProcAddress,0x10010d0
KERNEL32.dll,LoadResource,0x10010d4
KERNEL32.dll,SizeofResource,0x10010d8
KERNEL32.dll,FindResourceA,0x10010dc
KERNEL32.dll,lstrcatA,0x10010e0
KERNEL32.dll,CloseHandle,0x10010e4
KERNEL32.dll,WriteFile,0x10010e8
KERNEL32.dll,SetFilePointer,0x10010ec
