dll,name,address
KERNEL32.dll,GetCurrentProcess,0x404010
KERNEL32.dll,Process32Next,0x404014
KERNEL32.dll,FileTimeToSystemTime,0x404018
KERNEL32.dll,FileTimeToLocalFileTime,0x40401c
KERNEL32.dll,CloseHandle,0x404020
KERNEL32.dll,GetProcessTimes,0x404024
KERNEL32.dll,OpenProcess,0x404028
KERNEL32.dll,Process32First,0x40402c
KERNEL32.dll,CreateToolhelp32Snapshot,0x404030
KERNEL32.dll,TerminateProcess,0x404034
KERNEL32.dll,GetCurrentDirectoryA,0x404038
KERNEL32.dll,CreateFileA,0x40403c
KERNEL32.dll,DeleteFileA,0x404040
KERNEL32.dll,GetTempFileNameA,0x404044
KERNEL32.dll,GetTempPathA,0x404048
KERNEL32.dll,GetLastError,0x40404c
KERNEL32.dll,CreateProcessA,0x404050
KERNEL32.dll,CopyFileA,0x404054
KERNEL32.dll,GetSystemDirectoryA,0x404058
KERNEL32.dll,GetStartupInfoA,0x40405c
KERNEL32.dll,CreatePipe,0x404060
KERNEL32.dll,Sleep,0x404064
KERNEL32.dll,SetProcessPriorityBoost,0x404068
KERNEL32.dll,SetThreadPriority,0x40406c
KERNEL32.dll,GetCurrentThread,0x404070
KERNEL32.dll,SetPriorityClass,0x404074
KERNEL32.dll,lstrcatA,0x404078
KERNEL32.dll,lstrcpyA,0x40407c
KERNEL32.dll,GetEnvironmentVariableA,0x404080
KERNEL32.dll,GetShortPathNameA,0x404084
KERNEL32.dll,GetModuleFileNameA,0x404088
KERNEL32.dll,LoadLibraryA,0x40408c
KERNEL32.dll,GetProcAddress,0x404090
KERNEL32.dll,PeekNamedPipe,0x404094
KERNEL32.dll,FreeLibrary,0x404098
KERNEL32.dll,GetModuleHandleA,0x40409c
ADVAPI32.dll,LookupPrivilegeValueA,0x404000
ADVAPI32.dll,AdjustTokenPrivileges,0x404004
ADVAPI32.dll,OpenProcessToken,0x404008
MSVCRT.dll,__setusermatherr,0x4040e4
MSVCRT.dll,_adjust_fdiv,0x4040e8
MSVCRT.dll,__p__commode,0x4040ec
MSVCRT.dll,_initterm,0x4040f0
MSVCRT.dll,__set_app_type,0x4040f4
MSVCRT.dll,_except_handler3,0x4040f8
MSVCRT.dll,_controlfp,0x4040fc
MSVCRT.dll,__getmainargs,0x404100
MSVCRT.dll,_acmdln,0x404104
MSVCRT.dll,exit,0x404108
MSVCRT.dll,_XcptFilter,0x40410c
MSVCRT.dll,_exit,0x404110
MSVCRT.dll,_onexit,0x404114
MSVCRT.dll,__dllonexit,0x404118
MSVCRT.dll,atoi,0x40411c
MSVCRT.dll,strchr,0x404120
MSVCRT.dll,strncpy,0x404124
MSVCRT.dll,??2@YAPAXI@Z,0x404128
MSVCRT.dll,sprintf,0x40412c
MSVCRT.dll,??3@YAXPAX@Z,0x404130
MSVCRT.dll,floor,0x404134
MSVCRT.dll,__p__fmode,0x404138
MSVCRT.dll,__CxxFrameHandler,0x40413c
MSVCRT.dll,_ftol,0x404140
SHELL32.dll,SHChangeNotify,0x404148
SHELL32.dll,ShellExecuteExA,0x40414c
MFC42.DLL,,0x4040a4
MFC42.DLL,,0x4040a8
MFC42.DLL,,0x4040ac
MFC42.DLL,,0x4040b0
MFC42.DLL,,0x4040b4
MFC42.DLL,,0x4040b8
MFC42.DLL,,0x4040bc
MFC42.DLL,,0x4040c0
MFC42.DLL,,0x4040c4
MFC42.DLL,,0x4040c8
MSVCP60.dll,??1Init@ios_base@std@@QAE@XZ,0x4040d0
MSVCP60.dll,??0_Winit@std@@QAE@XZ,0x4040d4
MSVCP60.dll,??1_Winit@std@@QAE@XZ,0x4040d8
MSVCP60.dll,??0Init@ios_base@std@@QAE@XZ,0x4040dc
