dll,name,address
SHELL32.dll,SHGetSpecialFolderLocation,0x18000b270
SHELL32.dll,SHGetPathFromIDListA,0x18000b278
KERNEL32.dll,GetFileAttributesA,0x18000b000
KERNEL32.dll,ReadFile,0x18000b008
KERNEL32.dll,Sleep,0x18000b010
KERNEL32.dll,GetLastError,0x18000b018
KERNEL32.dll,MapViewOfFile,0x18000b020
KERNEL32.dll,CreateFileMappingA,0x18000b028
KERNEL32.dll,GetFileSizeEx,0x18000b030
KERNEL32.dll,SetLastError,0x18000b038
KERNEL32.dll,GetProcAddress,0x18000b040
KERNEL32.dll,GetModuleHandleA,0x18000b048
KERNEL32.dll,HeapFree,0x18000b050
KERNEL32.dll,FreeLibrary,0x18000b058
KERNEL32.dll,HeapAlloc,0x18000b060
KERNEL32.dll,GetCurrentThreadId,0x18000b068
KERNEL32.dll,FlsSetValue,0x18000b070
KERNEL32.dll,GetCommandLineA,0x18000b078
KERNEL32.dll,RtlUnwindEx,0x18000b080
KERNEL32.dll,RaiseException,0x18000b088
KERNEL32.dll,RtlPcToFileHeader,0x18000b090
KERNEL32.dll,RtlLookupFunctionEntry,0x18000b098
KERNEL32.dll,HeapReAlloc,0x18000b0a0
KERNEL32.dll,DecodePointer,0x18000b0a8
KERNEL32.dll,UnhandledExceptionFilter,0x18000b0b0
KERNEL32.dll,SetUnhandledExceptionFilter,0x18000b0b8
KERNEL32.dll,IsDebuggerPresent,0x18000b0c0
KERNEL32.dll,RtlVirtualUnwind,0x18000b0c8
KERNEL32.dll,RtlCaptureContext,0x18000b0d0
KERNEL32.dll,EncodePointer,0x18000b0d8
KERNEL32.dll,TerminateProcess,0x18000b0e0
KERNEL32.dll,GetModuleFileNameW,0x18000b0e8
KERNEL32.dll,FlsGetValue,0x18000b0f0
KERNEL32.dll,FlsFree,0x18000b0f8
KERNEL32.dll,FlsAlloc,0x18000b100
KERNEL32.dll,GetModuleHandleW,0x18000b108
KERNEL32.dll,SetHandleCount,0x18000b110
KERNEL32.dll,GetStdHandle,0x18000b118
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x18000b120
KERNEL32.dll,GetFileType,0x18000b128
KERNEL32.dll,GetStartupInfoW,0x18000b130
KERNEL32.dll,DeleteCriticalSection,0x18000b138
KERNEL32.dll,FreeEnvironmentStringsW,0x18000b140
KERNEL32.dll,GetEnvironmentStringsW,0x18000b148
KERNEL32.dll,HeapSetInformation,0x18000b150
KERNEL32.dll,GetVersion,0x18000b158
KERNEL32.dll,HeapCreate,0x18000b160
KERNEL32.dll,HeapDestroy,0x18000b168
KERNEL32.dll,QueryPerformanceCounter,0x18000b170
KERNEL32.dll,GetTickCount,0x18000b178
KERNEL32.dll,GetSystemTimeAsFileTime,0x18000b180
KERNEL32.dll,GetCPInfo,0x18000b188
KERNEL32.dll,GetACP,0x18000b190
KERNEL32.dll,GetOEMCP,0x18000b198
KERNEL32.dll,IsValidCodePage,0x18000b1a0
KERNEL32.dll,LCMapStringW,0x18000b1a8
KERNEL32.dll,GetConsoleCP,0x18000b1b0
KERNEL32.dll,GetConsoleMode,0x18000b1b8
KERNEL32.dll,EnterCriticalSection,0x18000b1c0
KERNEL32.dll,LeaveCriticalSection,0x18000b1c8
KERNEL32.dll,LoadLibraryW,0x18000b1d0
KERNEL32.dll,HeapSize,0x18000b1d8
KERNEL32.dll,GetStringTypeW,0x18000b1e0
KERNEL32.dll,SetStdHandle,0x18000b1e8
KERNEL32.dll,WriteConsoleW,0x18000b1f0
KERNEL32.dll,CreateFileW,0x18000b1f8
KERNEL32.dll,FlushFileBuffers,0x18000b200
KERNEL32.dll,GetCurrentProcessId,0x18000b208
KERNEL32.dll,CreateFileA,0x18000b210
KERNEL32.dll,SetFilePointer,0x18000b218
KERNEL32.dll,WriteFile,0x18000b220
KERNEL32.dll,UnmapViewOfFile,0x18000b228
KERNEL32.dll,CloseHandle,0x18000b230
KERNEL32.dll,WideCharToMultiByte,0x18000b238
KERNEL32.dll,MultiByteToWideChar,0x18000b240
KERNEL32.dll,IsBadReadPtr,0x18000b248
KERNEL32.dll,GetModuleFileNameA,0x18000b250
KERNEL32.dll,ExitProcess,0x18000b258
KERNEL32.dll,GetCurrentProcess,0x18000b260
