dll,name,address
KERNEL32.dll,Sleep,0x402028
KERNEL32.dll,WinExec,0x40202c
KERNEL32.dll,SetFileTime,0x402030
KERNEL32.dll,GetCurrentProcess,0x402034
KERNEL32.dll,ExpandEnvironmentStringsA,0x402038
KERNEL32.dll,GetModuleHandleA,0x40203c
KERNEL32.dll,FindResourceA,0x402040
KERNEL32.dll,LoadResource,0x402044
KERNEL32.dll,SizeofResource,0x402048
KERNEL32.dll,CreateFileA,0x40204c
KERNEL32.dll,WriteFile,0x402050
KERNEL32.dll,DeleteFileA,0x402054
KERNEL32.dll,CloseHandle,0x402058
KERNEL32.dll,FreeResource,0x40205c
KERNEL32.dll,GetFileAttributesExA,0x402060
KERNEL32.dll,GetStartupInfoA,0x402064
ADVAPI32.dll,ControlService,0x402000
ADVAPI32.dll,OpenSCManagerA,0x402004
ADVAPI32.dll,OpenServiceA,0x402008
ADVAPI32.dll,DeleteService,0x40200c
ADVAPI32.dll,CloseServiceHandle,0x402010
ADVAPI32.dll,StartServiceA,0x402014
ADVAPI32.dll,OpenProcessToken,0x402018
ADVAPI32.dll,LookupPrivilegeValueA,0x40201c
ADVAPI32.dll,AdjustTokenPrivileges,0x402020
MSVCRT.dll,strncmp,0x40206c
MSVCRT.dll,_exit,0x402070
MSVCRT.dll,_XcptFilter,0x402074
MSVCRT.dll,exit,0x402078
MSVCRT.dll,_acmdln,0x40207c
MSVCRT.dll,__getmainargs,0x402080
MSVCRT.dll,_initterm,0x402084
MSVCRT.dll,__setusermatherr,0x402088
MSVCRT.dll,_adjust_fdiv,0x40208c
MSVCRT.dll,__p__commode,0x402090
MSVCRT.dll,__p__fmode,0x402094
MSVCRT.dll,__set_app_type,0x402098
MSVCRT.dll,_except_handler3,0x40209c
MSVCRT.dll,_controlfp,0x4020a0
MSVCRT.dll,strcat,0x4020a4
