dll,name,address
KERNEL32.dll,WriteFile,0x1003b00c
KERNEL32.dll,DeleteFileA,0x1003b010
KERNEL32.dll,GetFileAttributesA,0x1003b014
KERNEL32.dll,HeapAlloc,0x1003b018
KERNEL32.dll,GetProcessHeap,0x1003b01c
KERNEL32.dll,VirtualAlloc,0x1003b020
KERNEL32.dll,VirtualProtect,0x1003b024
KERNEL32.dll,VirtualFree,0x1003b028
KERNEL32.dll,IsBadReadPtr,0x1003b02c
KERNEL32.dll,HeapFree,0x1003b030
KERNEL32.dll,FreeLibrary,0x1003b034
KERNEL32.dll,GetModuleFileNameA,0x1003b038
KERNEL32.dll,GetCurrentProcess,0x1003b03c
KERNEL32.dll,UnmapViewOfFile,0x1003b040
KERNEL32.dll,GetTempFileNameA,0x1003b044
KERNEL32.dll,GetTempPathA,0x1003b048
KERNEL32.dll,SetFileTime,0x1003b04c
KERNEL32.dll,LocalFileTimeToFileTime,0x1003b050
KERNEL32.dll,SystemTimeToFileTime,0x1003b054
KERNEL32.dll,GetFileTime,0x1003b058
KERNEL32.dll,GetSystemDirectoryA,0x1003b05c
KERNEL32.dll,CreateProcessA,0x1003b060
KERNEL32.dll,CopyFileA,0x1003b064
KERNEL32.dll,GetWindowsDirectoryA,0x1003b068
KERNEL32.dll,GetVersionExA,0x1003b06c
KERNEL32.dll,ExitProcess,0x1003b070
KERNEL32.dll,lstrcatA,0x1003b074
KERNEL32.dll,DisableThreadLibraryCalls,0x1003b078
KERNEL32.dll,WaitForSingleObject,0x1003b07c
KERNEL32.dll,LoadLibraryW,0x1003b080
KERNEL32.dll,GetModuleFileNameW,0x1003b084
KERNEL32.dll,CloseHandle,0x1003b088
KERNEL32.dll,CreateFileA,0x1003b08c
KERNEL32.dll,CreateFileMappingA,0x1003b090
KERNEL32.dll,MapViewOfFile,0x1003b094
KERNEL32.dll,GetProcAddress,0x1003b098
KERNEL32.dll,GetModuleHandleA,0x1003b09c
KERNEL32.dll,SetFileAttributesA,0x1003b0a0
KERNEL32.dll,GetFileSizeEx,0x1003b0a4
KERNEL32.dll,MultiByteToWideChar,0x1003b0a8
KERNEL32.dll,WideCharToMultiByte,0x1003b0ac
KERNEL32.dll,Process32Next,0x1003b0b0
KERNEL32.dll,Process32First,0x1003b0b4
KERNEL32.dll,ProcessIdToSessionId,0x1003b0b8
KERNEL32.dll,GetCurrentProcessId,0x1003b0bc
KERNEL32.dll,CreateToolhelp32Snapshot,0x1003b0c0
KERNEL32.dll,GetLastError,0x1003b0c4
KERNEL32.dll,VirtualAllocEx,0x1003b0c8
KERNEL32.dll,GetCurrentThread,0x1003b0cc
KERNEL32.dll,SetLastError,0x1003b0d0
KERNEL32.dll,HeapReAlloc,0x1003b0d4
KERNEL32.dll,MoveFileA,0x1003b0d8
KERNEL32.dll,GetCommandLineA,0x1003b0dc
KERNEL32.dll,GetVersion,0x1003b0e0
KERNEL32.dll,InitializeCriticalSection,0x1003b0e4
KERNEL32.dll,DeleteCriticalSection,0x1003b0e8
KERNEL32.dll,EnterCriticalSection,0x1003b0ec
KERNEL32.dll,LeaveCriticalSection,0x1003b0f0
KERNEL32.dll,GetEnvironmentVariableA,0x1003b0f4
KERNEL32.dll,HeapDestroy,0x1003b0f8
KERNEL32.dll,HeapCreate,0x1003b0fc
KERNEL32.dll,RtlUnwind,0x1003b100
KERNEL32.dll,TerminateProcess,0x1003b104
KERNEL32.dll,GetCurrentThreadId,0x1003b108
KERNEL32.dll,TlsSetValue,0x1003b10c
KERNEL32.dll,TlsAlloc,0x1003b110
KERNEL32.dll,TlsFree,0x1003b114
KERNEL32.dll,TlsGetValue,0x1003b118
KERNEL32.dll,SetHandleCount,0x1003b11c
KERNEL32.dll,GetStdHandle,0x1003b120
KERNEL32.dll,GetFileType,0x1003b124
KERNEL32.dll,GetStartupInfoA,0x1003b128
KERNEL32.dll,FreeEnvironmentStringsA,0x1003b12c
KERNEL32.dll,FreeEnvironmentStringsW,0x1003b130
KERNEL32.dll,GetEnvironmentStrings,0x1003b134
KERNEL32.dll,GetEnvironmentStringsW,0x1003b138
KERNEL32.dll,SetFilePointer,0x1003b13c
KERNEL32.dll,InterlockedDecrement,0x1003b140
KERNEL32.dll,InterlockedIncrement,0x1003b144
KERNEL32.dll,GetCPInfo,0x1003b148
KERNEL32.dll,GetACP,0x1003b14c
KERNEL32.dll,GetOEMCP,0x1003b150
KERNEL32.dll,SetStdHandle,0x1003b154
KERNEL32.dll,LCMapStringA,0x1003b158
KERNEL32.dll,LCMapStringW,0x1003b15c
KERNEL32.dll,GetStringTypeA,0x1003b160
KERNEL32.dll,GetStringTypeW,0x1003b164
KERNEL32.dll,FlushFileBuffers,0x1003b168
KERNEL32.dll,LoadLibraryA,0x1003b16c
USER32.dll,wsprintfA,0x1003b174
ADVAPI32.dll,OpenProcessToken,0x1003b000
ADVAPI32.dll,GetTokenInformation,0x1003b004
ole32.dll,CoUninitialize,0x1003b17c
ole32.dll,CoCreateInstance,0x1003b180
ole32.dll,CoInitialize,0x1003b184
