dll,name,address
KERNEL32.dll,Sleep,0x403010
KERNEL32.dll,FreeLibrary,0x403014
KERNEL32.dll,GetModuleFileNameA,0x403018
KERNEL32.dll,GetTempPathA,0x40301c
KERNEL32.dll,GetStartupInfoA,0x403020
KERNEL32.dll,GetModuleHandleA,0x403024
KERNEL32.dll,DeleteFileA,0x403028
KERNEL32.dll,LoadLibraryA,0x40302c
KERNEL32.dll,GetComputerNameA,0x403030
KERNEL32.dll,GetProcAddress,0x403034
USER32.dll,LoadStringA,0x4030cc
ADVAPI32.dll,RegSetValueExA,0x403000
ADVAPI32.dll,RegCloseKey,0x403004
ADVAPI32.dll,RegOpenKeyExA,0x403008
MSVCRT.dll,??3@YAXPAX@Z,0x40303c
MSVCRT.dll,??2@YAPAXI@Z,0x403040
MSVCRT.dll,strchr,0x403044
MSVCRT.dll,strstr,0x403048
MSVCRT.dll,strrchr,0x40304c
MSVCRT.dll,free,0x403050
MSVCRT.dll,fclose,0x403054
MSVCRT.dll,fflush,0x403058
MSVCRT.dll,fwrite,0x40305c
MSVCRT.dll,fopen,0x403060
MSVCRT.dll,malloc,0x403064
MSVCRT.dll,srand,0x403068
MSVCRT.dll,time,0x40306c
MSVCRT.dll,ftell,0x403070
MSVCRT.dll,fread,0x403074
MSVCRT.dll,fseek,0x403078
MSVCRT.dll,atoi,0x40307c
MSVCRT.dll,strncpy,0x403080
MSVCRT.dll,sprintf,0x403084
MSVCRT.dll,rand,0x403088
MSVCRT.dll,strncat,0x40308c
MSVCRT.dll,_exit,0x403090
MSVCRT.dll,_XcptFilter,0x403094
MSVCRT.dll,exit,0x403098
MSVCRT.dll,_acmdln,0x40309c
MSVCRT.dll,__getmainargs,0x4030a0
MSVCRT.dll,_initterm,0x4030a4
MSVCRT.dll,__setusermatherr,0x4030a8
MSVCRT.dll,_adjust_fdiv,0x4030ac
MSVCRT.dll,__p__commode,0x4030b0
MSVCRT.dll,__p__fmode,0x4030b4
MSVCRT.dll,__set_app_type,0x4030b8
MSVCRT.dll,_except_handler3,0x4030bc
MSVCRT.dll,_controlfp,0x4030c0
MSVCRT.dll,_stricmp,0x4030c4
WININET.dll,InternetOpenA,0x4030d4
WININET.dll,InternetOpenUrlA,0x4030d8
WININET.dll,InternetCloseHandle,0x4030dc
