dll,name,address
KERNEL32.DLL,LoadLibraryA,0x4c37ac
KERNEL32.DLL,GetProcAddress,0x4c37b0
KERNEL32.DLL,VirtualProtect,0x4c37b4
KERNEL32.DLL,VirtualAlloc,0x4c37b8
KERNEL32.DLL,VirtualFree,0x4c37bc
KERNEL32.DLL,ExitProcess,0x4c37c0
ADVAPI32.dll,GetAce,0x4c37c8
COMCTL32.dll,ImageList_Remove,0x4c37d0
COMDLG32.dll,GetSaveFileNameW,0x4c37d8
GDI32.dll,LineTo,0x4c37e0
MPR.dll,WNetGetConnectionW,0x4c37e8
ole32.dll,CoInitialize,0x4c37f0
OLEAUT32.dll,SafeArrayUnaccessData,0x4c37f8
PSAPI.DLL,EnumProcesses,0x4c3800
SHELL32.dll,DragFinish,0x4c3808
USER32.dll,GetDC,0x4c3810
USERENV.dll,LoadUserProfileW,0x4c3818
VERSION.dll,VerQueryValueW,0x4c3820
WININET.dll,FtpOpenFileW,0x4c3828
WINMM.dll,timeGetTime,0x4c3830
WSOCK32.dll,recv,0x4c3838
