dll,name,address
KERNEL32.dll,WriteConsoleW,0x5211d8
KERNEL32.dll,GetTimeZoneInformation,0x5211dc
KERNEL32.dll,LCMapStringW,0x5211e0
KERNEL32.dll,IsValidCodePage,0x5211e4
KERNEL32.dll,GetOEMCP,0x5211e8
KERNEL32.dll,GetACP,0x5211ec
KERNEL32.dll,GetCPInfo,0x5211f0
KERNEL32.dll,GetStringTypeW,0x5211f4
KERNEL32.dll,IsProcessorFeaturePresent,0x5211f8
KERNEL32.dll,IsDebuggerPresent,0x5211fc
KERNEL32.dll,UnhandledExceptionFilter,0x521200
KERNEL32.dll,TerminateProcess,0x521204
KERNEL32.dll,QueryPerformanceCounter,0x521208
KERNEL32.dll,HeapCreate,0x52120c
KERNEL32.dll,SetHandleCount,0x521210
KERNEL32.dll,GetEnvironmentStringsW,0x521214
KERNEL32.dll,FreeEnvironmentStringsW,0x521218
KERNEL32.dll,GetStdHandle,0x52121c
KERNEL32.dll,SetUnhandledExceptionFilter,0x521220
KERNEL32.dll,GetFileType,0x521224
KERNEL32.dll,SetStdHandle,0x521228
KERNEL32.dll,GetTickCount,0x52122c
KERNEL32.dll,HeapSize,0x521230
KERNEL32.dll,HeapQueryInformation,0x521234
KERNEL32.dll,VirtualQuery,0x521238
KERNEL32.dll,GetSystemInfo,0x52123c
KERNEL32.dll,RaiseException,0x521240
KERNEL32.dll,HeapReAlloc,0x521244
KERNEL32.dll,CreateThread,0x521248
KERNEL32.dll,ExitThread,0x52124c
KERNEL32.dll,ExitProcess,0x521250
KERNEL32.dll,GetSystemTimeAsFileTime,0x521254
KERNEL32.dll,DecodePointer,0x521258
KERNEL32.dll,EncodePointer,0x52125c
KERNEL32.dll,GetStartupInfoW,0x521260
KERNEL32.dll,HeapSetInformation,0x521264
KERNEL32.dll,GetCommandLineW,0x521268
KERNEL32.dll,FindResourceExW,0x52126c
KERNEL32.dll,GetNumberFormatW,0x521270
KERNEL32.dll,GetWindowsDirectoryW,0x521274
KERNEL32.dll,GetFileTime,0x521278
KERNEL32.dll,GetFileSizeEx,0x52127c
KERNEL32.dll,FileTimeToLocalFileTime,0x521280
KERNEL32.dll,GetFileAttributesExW,0x521284
KERNEL32.dll,SetErrorMode,0x521288
KERNEL32.dll,Sleep,0x52128c
KERNEL32.dll,GetProfileIntW,0x521290
KERNEL32.dll,SearchPathW,0x521294
KERNEL32.dll,GetTempPathW,0x521298
KERNEL32.dll,GetTempFileNameW,0x52129c
KERNEL32.dll,FileTimeToSystemTime,0x5212a0
KERNEL32.dll,lstrlenA,0x5212a4
KERNEL32.dll,GetFullPathNameW,0x5212a8
KERNEL32.dll,GetVolumeInformationW,0x5212ac
KERNEL32.dll,FindFirstFileW,0x5212b0
KERNEL32.dll,FindClose,0x5212b4
KERNEL32.dll,GetCurrentProcess,0x5212b8
KERNEL32.dll,GetConsoleMode,0x5212bc
KERNEL32.dll,RtlUnwind,0x5212c0
KERNEL32.dll,GetConsoleCP,0x5212c4
KERNEL32.dll,DuplicateHandle,0x5212c8
KERNEL32.dll,SetEndOfFile,0x5212cc
KERNEL32.dll,UnlockFile,0x5212d0
KERNEL32.dll,LockFile,0x5212d4
KERNEL32.dll,FlushFileBuffers,0x5212d8
KERNEL32.dll,SetFilePointer,0x5212dc
KERNEL32.dll,WriteFile,0x5212e0
KERNEL32.dll,ReadFile,0x5212e4
KERNEL32.dll,lstrcmpiW,0x5212e8
KERNEL32.dll,DeleteFileW,0x5212ec
KERNEL32.dll,InterlockedIncrement,0x5212f0
KERNEL32.dll,TlsFree,0x5212f4
KERNEL32.dll,LocalReAlloc,0x5212f8
KERNEL32.dll,TlsSetValue,0x5212fc
KERNEL32.dll,TlsAlloc,0x521300
KERNEL32.dll,GlobalHandle,0x521304
KERNEL32.dll,TlsGetValue,0x521308
KERNEL32.dll,LocalAlloc,0x52130c
KERNEL32.dll,GetSystemDirectoryW,0x521310
KERNEL32.dll,GetCurrentDirectoryW,0x521314
KERNEL32.dll,GlobalFlags,0x521318
KERNEL32.dll,InitializeCriticalSection,0x52131c
KERNEL32.dll,CreateFileW,0x521320
KERNEL32.dll,GetFileSize,0x521324
KERNEL32.dll,GetFileAttributesW,0x521328
KERNEL32.dll,GlobalReAlloc,0x52132c
KERNEL32.dll,GlobalGetAtomNameW,0x521330
KERNEL32.dll,InterlockedDecrement,0x521334
KERNEL32.dll,ReleaseActCtx,0x521338
KERNEL32.dll,CreateActCtxW,0x52133c
KERNEL32.dll,lstrcpyW,0x521340
KERNEL32.dll,FreeResource,0x521344
KERNEL32.dll,GlobalFindAtomW,0x521348
KERNEL32.dll,GetVersionExW,0x52134c
KERNEL32.dll,CompareStringW,0x521350
KERNEL32.dll,LeaveCriticalSection,0x521354
KERNEL32.dll,EnterCriticalSection,0x521358
KERNEL32.dll,DeleteCriticalSection,0x52135c
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x521360
KERNEL32.dll,GlobalFree,0x521364
KERNEL32.dll,CopyFileW,0x521368
KERNEL32.dll,GlobalSize,0x52136c
KERNEL32.dll,GlobalUnlock,0x521370
KERNEL32.dll,FormatMessageW,0x521374
KERNEL32.dll,LocalFree,0x521378
KERNEL32.dll,MulDiv,0x52137c
KERNEL32.dll,GetCurrentProcessId,0x521380
KERNEL32.dll,GlobalAddAtomW,0x521384
KERNEL32.dll,GetPrivateProfileStringW,0x521388
KERNEL32.dll,lstrlenW,0x52138c
KERNEL32.dll,WritePrivateProfileStringW,0x521390
KERNEL32.dll,GetPrivateProfileIntW,0x521394
KERNEL32.dll,WaitForSingleObject,0x521398
KERNEL32.dll,ResumeThread,0x52139c
KERNEL32.dll,SetThreadPriority,0x5213a0
KERNEL32.dll,CloseHandle,0x5213a4
KERNEL32.dll,lstrcmpA,0x5213a8
KERNEL32.dll,GlobalDeleteAtom,0x5213ac
KERNEL32.dll,GetCurrentThread,0x5213b0
KERNEL32.dll,GetCurrentThreadId,0x5213b4
KERNEL32.dll,GetModuleFileNameW,0x5213b8
KERNEL32.dll,GetUserDefaultUILanguage,0x5213bc
KERNEL32.dll,ConvertDefaultLocale,0x5213c0
KERNEL32.dll,GetSystemDefaultUILanguage,0x5213c4
KERNEL32.dll,CompareStringA,0x5213c8
KERNEL32.dll,ActivateActCtx,0x5213cc
KERNEL32.dll,LoadLibraryW,0x5213d0
KERNEL32.dll,GetLastError,0x5213d4
KERNEL32.dll,DeactivateActCtx,0x5213d8
KERNEL32.dll,SetLastError,0x5213dc
KERNEL32.dll,MultiByteToWideChar,0x5213e0
KERNEL32.dll,WideCharToMultiByte,0x5213e4
KERNEL32.dll,GlobalLock,0x5213e8
KERNEL32.dll,lstrcmpW,0x5213ec
KERNEL32.dll,GlobalAlloc,0x5213f0
KERNEL32.dll,FreeLibrary,0x5213f4
KERNEL32.dll,GetLocaleInfoW,0x5213f8
KERNEL32.dll,LoadLibraryExW,0x5213fc
KERNEL32.dll,InterlockedExchange,0x521400
KERNEL32.dll,GetProcessHeap,0x521404
KERNEL32.dll,HeapFree,0x521408
KERNEL32.dll,HeapAlloc,0x52140c
KERNEL32.dll,GetModuleHandleW,0x521410
KERNEL32.dll,LoadLibraryA,0x521414
KERNEL32.dll,VirtualAlloc,0x521418
KERNEL32.dll,VirtualProtect,0x52141c
KERNEL32.dll,GetProcAddress,0x521420
KERNEL32.dll,LockResource,0x521424
KERNEL32.dll,LoadResource,0x521428
KERNEL32.dll,SizeofResource,0x52142c
KERNEL32.dll,FindResourceW,0x521430
KERNEL32.dll,SetEnvironmentVariableA,0x521434
USER32.dll,EndDialog,0x5214c8
USER32.dll,GetUpdateRect,0x5214cc
USER32.dll,FrameRect,0x5214d0
USER32.dll,TranslateMDISysAccel,0x5214d4
USER32.dll,DrawMenuBar,0x5214d8
USER32.dll,DefMDIChildProcW,0x5214dc
USER32.dll,DefFrameProcW,0x5214e0
USER32.dll,SetRect,0x5214e4
USER32.dll,IsClipboardFormatAvailable,0x5214e8
USER32.dll,UnregisterClassW,0x5214ec
USER32.dll,MapVirtualKeyExW,0x5214f0
USER32.dll,GetKeyNameTextW,0x5214f4
