dll,name,address
KERNEL32.dll,DeleteFileA,0x402000
KERNEL32.dll,FreeLibrary,0x402004
KERNEL32.dll,WaitForSingleObject,0x402008
KERNEL32.dll,Sleep,0x40200c
KERNEL32.dll,CloseHandle,0x402010
KERNEL32.dll,GetLastError,0x402014
KERNEL32.dll,CreateMutexA,0x402018
KERNEL32.dll,GetCurrentThreadId,0x40201c
KERNEL32.dll,CreateThread,0x402020
KERNEL32.dll,WriteFile,0x402024
KERNEL32.dll,GetProcAddress,0x402028
KERNEL32.dll,GetModuleHandleA,0x40202c
KERNEL32.dll,ReadFile,0x402030
KERNEL32.dll,PeekNamedPipe,0x402034
KERNEL32.dll,CreateProcessA,0x402038
KERNEL32.dll,CreatePipe,0x40203c
KERNEL32.dll,TerminateProcess,0x402040
KERNEL32.dll,GetSystemDirectoryA,0x402044
KERNEL32.dll,GetEnvironmentVariableA,0x402048
KERNEL32.dll,MoveFileExA,0x40204c
KERNEL32.dll,MoveFileA,0x402050
KERNEL32.dll,GetTempFileNameA,0x402054
KERNEL32.dll,GetTempPathA,0x402058
KERNEL32.dll,GetStartupInfoA,0x40205c
USER32.dll,GetMessageA,0x4020c0
USER32.dll,GetInputState,0x4020c4
USER32.dll,PostThreadMessageA,0x4020c8
SHELL32.dll,ShellExecuteA,0x4020b8
MSVCRT.dll,_adjust_fdiv,0x402064
MSVCRT.dll,_controlfp,0x402068
MSVCRT.dll,memset,0x40206c
MSVCRT.dll,_except_handler3,0x402070
MSVCRT.dll,__set_app_type,0x402074
MSVCRT.dll,strlen,0x402078
MSVCRT.dll,_beginthreadex,0x40207c
MSVCRT.dll,strcmp,0x402080
MSVCRT.dll,strcpy,0x402084
MSVCRT.dll,strcat,0x402088
MSVCRT.dll,sprintf,0x40208c
MSVCRT.dll,_exit,0x402090
MSVCRT.dll,_XcptFilter,0x402094
MSVCRT.dll,exit,0x402098
MSVCRT.dll,_acmdln,0x40209c
MSVCRT.dll,__getmainargs,0x4020a0
MSVCRT.dll,_initterm,0x4020a4
MSVCRT.dll,__setusermatherr,0x4020a8
MSVCRT.dll,__p__commode,0x4020ac
MSVCRT.dll,__p__fmode,0x4020b0
WS2_32.dll,WSAIoctl,0x4020d0
WS2_32.dll,setsockopt,0x4020d4
WS2_32.dll,htons,0x4020d8
WS2_32.dll,connect,0x4020dc
WS2_32.dll,WSAStartup,0x4020e0
WS2_32.dll,gethostbyname,0x4020e4
WS2_32.dll,send,0x4020e8
WS2_32.dll,recv,0x4020ec
WS2_32.dll,closesocket,0x4020f0
WS2_32.dll,shutdown,0x4020f4
WS2_32.dll,WSASocketA,0x4020f8
