dll,name,address
KERNEL32.DLL,lstrcpyA,0x465210
KERNEL32.DLL,WriteFile,0x465214
KERNEL32.DLL,WaitForSingleObject,0x465218
KERNEL32.DLL,VirtualQuery,0x46521c
KERNEL32.DLL,VirtualAlloc,0x465220
KERNEL32.DLL,Sleep,0x465224
KERNEL32.DLL,SizeofResource,0x465228
KERNEL32.DLL,SetThreadLocale,0x46522c
KERNEL32.DLL,SetFilePointer,0x465230
KERNEL32.DLL,SetEvent,0x465234
KERNEL32.DLL,SetErrorMode,0x465238
KERNEL32.DLL,SetEndOfFile,0x46523c
KERNEL32.DLL,ResetEvent,0x465240
KERNEL32.DLL,ReadFile,0x465244
KERNEL32.DLL,MulDiv,0x465248
KERNEL32.DLL,LockResource,0x46524c
KERNEL32.DLL,LoadResource,0x465250
KERNEL32.DLL,LoadLibraryA,0x465254
KERNEL32.DLL,LeaveCriticalSection,0x465258
KERNEL32.DLL,InitializeCriticalSection,0x46525c
KERNEL32.DLL,GlobalUnlock,0x465260
KERNEL32.DLL,GlobalReAlloc,0x465264
KERNEL32.DLL,GlobalHandle,0x465268
KERNEL32.DLL,GlobalLock,0x46526c
KERNEL32.DLL,GlobalFree,0x465270
KERNEL32.DLL,GlobalFindAtomA,0x465274
KERNEL32.DLL,GlobalDeleteAtom,0x465278
KERNEL32.DLL,GlobalAlloc,0x46527c
KERNEL32.DLL,GlobalAddAtomA,0x465280
KERNEL32.DLL,GetVersionExA,0x465284
KERNEL32.DLL,GetVersion,0x465288
KERNEL32.DLL,GetTickCount,0x46528c
KERNEL32.DLL,GetThreadLocale,0x465290
KERNEL32.DLL,GetTempPathA,0x465294
KERNEL32.DLL,GetSystemInfo,0x465298
KERNEL32.DLL,GetStringTypeExA,0x46529c
KERNEL32.DLL,GetStdHandle,0x4652a0
KERNEL32.DLL,GetProcAddress,0x4652a4
KERNEL32.DLL,GetModuleHandleA,0x4652a8
KERNEL32.DLL,GetModuleFileNameA,0x4652ac
KERNEL32.DLL,GetLocaleInfoA,0x4652b0
KERNEL32.DLL,GetLocalTime,0x4652b4
KERNEL32.DLL,GetLastError,0x4652b8
KERNEL32.DLL,GetFullPathNameA,0x4652bc
KERNEL32.DLL,GetFileSize,0x4652c0
KERNEL32.DLL,GetDiskFreeSpaceA,0x4652c4
KERNEL32.DLL,GetDateFormatA,0x4652c8
KERNEL32.DLL,GetCurrentThreadId,0x4652cc
KERNEL32.DLL,GetCurrentProcessId,0x4652d0
KERNEL32.DLL,GetCPInfo,0x4652d4
KERNEL32.DLL,GetACP,0x4652d8
KERNEL32.DLL,FreeResource,0x4652dc
KERNEL32.DLL,InterlockedExchange,0x4652e0
KERNEL32.DLL,FreeLibrary,0x4652e4
KERNEL32.DLL,FormatMessageA,0x4652e8
KERNEL32.DLL,FindResourceA,0x4652ec
KERNEL32.DLL,EnumCalendarInfoA,0x4652f0
KERNEL32.DLL,EnterCriticalSection,0x4652f4
KERNEL32.DLL,DeleteCriticalSection,0x4652f8
KERNEL32.DLL,CreateThread,0x4652fc
KERNEL32.DLL,CreateFileA,0x465300
KERNEL32.DLL,CreateEventA,0x465304
KERNEL32.DLL,CompareStringA,0x465308
KERNEL32.DLL,CloseHandle,0x46530c
KERNEL32.DLL,TlsSetValue,0x4651ec
KERNEL32.DLL,TlsGetValue,0x4651f0
KERNEL32.DLL,LocalAlloc,0x4651f4
KERNEL32.DLL,GetModuleHandleA,0x4651f8
KERNEL32.DLL,Sleep,0x465698
KERNEL32.DLL,DeleteCriticalSection,0x46512c
KERNEL32.DLL,LeaveCriticalSection,0x465130
KERNEL32.DLL,EnterCriticalSection,0x465134
KERNEL32.DLL,InitializeCriticalSection,0x465138
KERNEL32.DLL,VirtualFree,0x46513c
KERNEL32.DLL,VirtualAlloc,0x465140
KERNEL32.DLL,LocalFree,0x465144
KERNEL32.DLL,LocalAlloc,0x465148
KERNEL32.DLL,GetVersion,0x46514c
KERNEL32.DLL,GetCurrentThreadId,0x465150
KERNEL32.DLL,InterlockedDecrement,0x465154
KERNEL32.DLL,InterlockedIncrement,0x465158
KERNEL32.DLL,VirtualQuery,0x46515c
KERNEL32.DLL,WideCharToMultiByte,0x465160
KERNEL32.DLL,MultiByteToWideChar,0x465164
KERNEL32.DLL,lstrlenA,0x465168
KERNEL32.DLL,lstrcpynA,0x46516c
KERNEL32.DLL,LoadLibraryExA,0x465170
KERNEL32.DLL,GetThreadLocale,0x465174
KERNEL32.DLL,GetStartupInfoA,0x465178
KERNEL32.DLL,GetProcAddress,0x46517c
KERNEL32.DLL,GetModuleHandleA,0x465180
KERNEL32.DLL,GetModuleFileNameA,0x465184
KERNEL32.DLL,GetLocaleInfoA,0x465188
KERNEL32.DLL,GetCommandLineA,0x46518c
KERNEL32.DLL,FreeLibrary,0x465190
KERNEL32.DLL,FindFirstFileA,0x465194
KERNEL32.DLL,FindClose,0x465198
KERNEL32.DLL,ExitProcess,0x46519c
KERNEL32.DLL,WriteFile,0x4651a0
KERNEL32.DLL,UnhandledExceptionFilter,0x4651a4
KERNEL32.DLL,RtlUnwind,0x4651a8
KERNEL32.DLL,RaiseException,0x4651ac
KERNEL32.DLL,GetStdHandle,0x4651b0
advapi32.dll,RegQueryValueExA,0x465200
advapi32.dll,RegOpenKeyExA,0x465204
advapi32.dll,RegCloseKey,0x465208
advapi32.dll,RegQueryValueExA,0x4651cc
advapi32.dll,RegOpenKeyExA,0x4651d0
advapi32.dll,RegCloseKey,0x4651d4
comctl32.dll,ImageList_SetIconSize,0x4656c4
comctl32.dll,ImageList_GetIconSize,0x4656c8
comctl32.dll,ImageList_Write,0x4656cc
comctl32.dll,ImageList_Read,0x4656d0
comctl32.dll,ImageList_GetDragImage,0x4656d4
comctl32.dll,ImageList_DragShowNolock,0x4656d8
comctl32.dll,ImageList_SetDragCursorImage,0x4656dc
comctl32.dll,ImageList_DragMove,0x4656e0
comctl32.dll,ImageList_DragLeave,0x4656e4
comctl32.dll,ImageList_DragEnter,0x4656e8
comctl32.dll,ImageList_EndDrag,0x4656ec
comctl32.dll,ImageList_BeginDrag,0x4656f0
comctl32.dll,ImageList_Remove,0x4656f4
comctl32.dll,ImageList_DrawEx,0x4656f8
comctl32.dll,ImageList_Draw,0x4656fc
comctl32.dll,ImageList_GetBkColor,0x465700
comctl32.dll,ImageList_SetBkColor,0x465704
comctl32.dll,ImageList_ReplaceIcon,0x465708
comctl32.dll,ImageList_Add,0x46570c
comctl32.dll,ImageList_GetImageCount,0x465710
comctl32.dll,ImageList_Destroy,0x465714
comctl32.dll,ImageList_Create,0x465718
comdlg32.dll,ChooseColorA,0x465720
