dll,name,address
KERNEL32.dll,Sleep,0x404000
KERNEL32.dll,CloseHandle,0x404004
KERNEL32.dll,DisconnectNamedPipe,0x404008
KERNEL32.dll,DeleteFileA,0x40400c
KERNEL32.dll,TerminateProcess,0x404010
KERNEL32.dll,TerminateThread,0x404014
KERNEL32.dll,WaitForMultipleObjects,0x404018
KERNEL32.dll,CreateThread,0x40401c
KERNEL32.dll,CreateProcessA,0x404020
KERNEL32.dll,CopyFileA,0x404024
KERNEL32.dll,GetTempPathA,0x404028
KERNEL32.dll,GetSystemDirectoryA,0x40402c
KERNEL32.dll,DuplicateHandle,0x404030
KERNEL32.dll,GetCurrentProcess,0x404034
KERNEL32.dll,GetStartupInfoA,0x404038
KERNEL32.dll,CreatePipe,0x40403c
KERNEL32.dll,ReadFile,0x404040
KERNEL32.dll,PeekNamedPipe,0x404044
KERNEL32.dll,WriteFile,0x404048
KERNEL32.dll,SetFilePointer,0x40404c
KERNEL32.dll,CreateFileA,0x404050
KERNEL32.dll,GetModuleFileNameA,0x404054
KERNEL32.dll,SetProcessPriorityBoost,0x404058
KERNEL32.dll,SetThreadPriority,0x40405c
KERNEL32.dll,GetCurrentThread,0x404060
KERNEL32.dll,SetPriorityClass,0x404064
KERNEL32.dll,lstrcatA,0x404068
KERNEL32.dll,lstrcpyA,0x40406c
KERNEL32.dll,GetEnvironmentVariableA,0x404070
KERNEL32.dll,GetShortPathNameA,0x404074
KERNEL32.dll,GetModuleHandleA,0x404078
SHELL32.dll,SHChangeNotify,0x4040f0
SHELL32.dll,ShellExecuteExA,0x4040f4
WS2_32.dll,recv,0x4040fc
WS2_32.dll,send,0x404100
WS2_32.dll,select,0x404104
WS2_32.dll,__WSAFDIsSet,0x404108
WS2_32.dll,WSAStartup,0x40410c
WS2_32.dll,WSASocketA,0x404110
WS2_32.dll,setsockopt,0x404114
WS2_32.dll,inet_addr,0x404118
WS2_32.dll,connect,0x40411c
WS2_32.dll,WSACleanup,0x404120
WS2_32.dll,closesocket,0x404124
WS2_32.dll,htons,0x404128
MFC42.DLL,,0x404080
MFC42.DLL,,0x404084
MSVCRT.dll,_controlfp,0x4040a0
MSVCRT.dll,__getmainargs,0x4040a4
MSVCRT.dll,_except_handler3,0x4040a8
MSVCRT.dll,__set_app_type,0x4040ac
MSVCRT.dll,__p__fmode,0x4040b0
MSVCRT.dll,__p__commode,0x4040b4
MSVCRT.dll,_adjust_fdiv,0x4040b8
MSVCRT.dll,__dllonexit,0x4040bc
MSVCRT.dll,_initterm,0x4040c0
MSVCRT.dll,sprintf,0x4040c4
MSVCRT.dll,atol,0x4040c8
MSVCRT.dll,strncpy,0x4040cc
MSVCRT.dll,strchr,0x4040d0
MSVCRT.dll,_acmdln,0x4040d4
MSVCRT.dll,_onexit,0x4040d8
MSVCRT.dll,_exit,0x4040dc
MSVCRT.dll,_XcptFilter,0x4040e0
MSVCRT.dll,exit,0x4040e4
MSVCRT.dll,__setusermatherr,0x4040e8
MSVCP60.dll,??0_Winit@std@@QAE@XZ,0x40408c
MSVCP60.dll,??1Init@ios_base@std@@QAE@XZ,0x404090
MSVCP60.dll,??0Init@ios_base@std@@QAE@XZ,0x404094
MSVCP60.dll,??1_Winit@std@@QAE@XZ,0x404098
