dll,name,address
KERNEL32.dll,CreateProcessA,0x409010
KERNEL32.dll,GetCurrentDirectoryA,0x409014
KERNEL32.dll,Sleep,0x409018
KERNEL32.dll,CreatePipe,0x40901c
KERNEL32.dll,DisconnectNamedPipe,0x409020
KERNEL32.dll,TerminateProcess,0x409024
KERNEL32.dll,WaitForMultipleObjects,0x409028
KERNEL32.dll,CloseHandle,0x40902c
KERNEL32.dll,CreateThread,0x409030
KERNEL32.dll,DuplicateHandle,0x409034
KERNEL32.dll,GetCurrentProcess,0x409038
KERNEL32.dll,ExitThread,0x40903c
KERNEL32.dll,ReadFile,0x409040
KERNEL32.dll,PeekNamedPipe,0x409044
KERNEL32.dll,WriteFile,0x409048
KERNEL32.dll,OutputDebugStringA,0x40904c
KERNEL32.dll,GetModuleFileNameA,0x409050
KERNEL32.dll,TerminateThread,0x409054
KERNEL32.dll,SetCurrentDirectoryA,0x409058
KERNEL32.dll,LoadLibraryA,0x40905c
KERNEL32.dll,GetOEMCP,0x409060
KERNEL32.dll,GetACP,0x409064
KERNEL32.dll,LCMapStringW,0x409068
KERNEL32.dll,LCMapStringA,0x40906c
KERNEL32.dll,GetCPInfo,0x409070
KERNEL32.dll,GetStringTypeW,0x409074
KERNEL32.dll,GetLastError,0x409078
KERNEL32.dll,ResumeThread,0x40907c
KERNEL32.dll,TlsSetValue,0x409080
KERNEL32.dll,TlsGetValue,0x409084
KERNEL32.dll,ExitProcess,0x409088
KERNEL32.dll,HeapFree,0x40908c
KERNEL32.dll,HeapAlloc,0x409090
KERNEL32.dll,GetModuleHandleA,0x409094
KERNEL32.dll,GetStartupInfoA,0x409098
KERNEL32.dll,GetCommandLineA,0x40909c
KERNEL32.dll,GetVersion,0x4090a0
KERNEL32.dll,GetProcAddress,0x4090a4
KERNEL32.dll,GetCurrentThreadId,0x4090a8
KERNEL32.dll,TlsAlloc,0x4090ac
KERNEL32.dll,SetLastError,0x4090b0
KERNEL32.dll,UnhandledExceptionFilter,0x4090b4
KERNEL32.dll,RtlUnwind,0x4090b8
KERNEL32.dll,InitializeCriticalSection,0x4090bc
KERNEL32.dll,EnterCriticalSection,0x4090c0
KERNEL32.dll,LeaveCriticalSection,0x4090c4
KERNEL32.dll,InterlockedDecrement,0x4090c8
KERNEL32.dll,InterlockedIncrement,0x4090cc
KERNEL32.dll,GetEnvironmentVariableA,0x4090d0
KERNEL32.dll,GetVersionExA,0x4090d4
KERNEL32.dll,HeapDestroy,0x4090d8
KERNEL32.dll,HeapCreate,0x4090dc
KERNEL32.dll,VirtualFree,0x4090e0
KERNEL32.dll,VirtualAlloc,0x4090e4
KERNEL32.dll,HeapReAlloc,0x4090e8
KERNEL32.dll,FreeEnvironmentStringsA,0x4090ec
KERNEL32.dll,FreeEnvironmentStringsW,0x4090f0
KERNEL32.dll,WideCharToMultiByte,0x4090f4
KERNEL32.dll,GetEnvironmentStrings,0x4090f8
KERNEL32.dll,GetEnvironmentStringsW,0x4090fc
KERNEL32.dll,SetHandleCount,0x409100
KERNEL32.dll,GetStdHandle,0x409104
KERNEL32.dll,GetFileType,0x409108
KERNEL32.dll,MultiByteToWideChar,0x40910c
KERNEL32.dll,GetStringTypeA,0x409110
ADVAPI32.dll,RegSetValueExA,0x409000
ADVAPI32.dll,RegCloseKey,0x409004
ADVAPI32.dll,RegCreateKeyExA,0x409008
WININET.dll,InternetOpenUrlA,0x409118
WININET.dll,InternetOpenA,0x40911c
WININET.dll,InternetGetConnectedState,0x409120
WININET.dll,InternetReadFile,0x409124
WININET.dll,InternetCloseHandle,0x409128
urlmon.dll,URLDownloadToFileA,0x409154
WS2_32.dll,recv,0x409130
WS2_32.dll,connect,0x409134
WS2_32.dll,inet_addr,0x409138
WS2_32.dll,htons,0x40913c
WS2_32.dll,closesocket,0x409140
WS2_32.dll,socket,0x409144
WS2_32.dll,WSAStartup,0x409148
WS2_32.dll,send,0x40914c
