dll,name,address
kernel32.dll,DeleteCriticalSection,0x466140
kernel32.dll,LeaveCriticalSection,0x466144
kernel32.dll,EnterCriticalSection,0x466148
kernel32.dll,InitializeCriticalSection,0x46614c
kernel32.dll,VirtualFree,0x466150
kernel32.dll,VirtualAlloc,0x466154
kernel32.dll,LocalFree,0x466158
kernel32.dll,LocalAlloc,0x46615c
kernel32.dll,GetVersion,0x466160
kernel32.dll,GetCurrentThreadId,0x466164
kernel32.dll,InterlockedDecrement,0x466168
kernel32.dll,InterlockedIncrement,0x46616c
kernel32.dll,VirtualQuery,0x466170
kernel32.dll,WideCharToMultiByte,0x466174
kernel32.dll,MultiByteToWideChar,0x466178
kernel32.dll,lstrlenA,0x46617c
kernel32.dll,lstrcpynA,0x466180
kernel32.dll,LoadLibraryExA,0x466184
kernel32.dll,GetThreadLocale,0x466188
kernel32.dll,GetStartupInfoA,0x46618c
kernel32.dll,GetProcAddress,0x466190
kernel32.dll,GetModuleHandleA,0x466194
kernel32.dll,GetModuleFileNameA,0x466198
kernel32.dll,GetLocaleInfoA,0x46619c
kernel32.dll,GetCommandLineA,0x4661a0
kernel32.dll,FreeLibrary,0x4661a4
kernel32.dll,FindFirstFileA,0x4661a8
kernel32.dll,FindClose,0x4661ac
kernel32.dll,ExitProcess,0x4661b0
kernel32.dll,WriteFile,0x4661b4
kernel32.dll,UnhandledExceptionFilter,0x4661b8
kernel32.dll,RtlUnwind,0x4661bc
kernel32.dll,RaiseException,0x4661c0
kernel32.dll,GetStdHandle,0x4661c4
user32.dll,GetKeyboardType,0x4661cc
user32.dll,LoadStringA,0x4661d0
user32.dll,MessageBoxA,0x4661d4
user32.dll,CharNextA,0x4661d8
advapi32.dll,RegQueryValueExA,0x4661e0
advapi32.dll,RegOpenKeyExA,0x4661e4
advapi32.dll,RegCloseKey,0x4661e8
oleaut32.dll,SysFreeString,0x4661f0
oleaut32.dll,SysReAllocStringLen,0x4661f4
oleaut32.dll,SysAllocStringLen,0x4661f8
kernel32.dll,TlsSetValue,0x466200
kernel32.dll,TlsGetValue,0x466204
kernel32.dll,LocalAlloc,0x466208
kernel32.dll,GetModuleHandleA,0x46620c
advapi32.dll,RegQueryValueExA,0x466214
advapi32.dll,RegOpenKeyExA,0x466218
advapi32.dll,RegCloseKey,0x46621c
kernel32.dll,lstrcpyA,0x466224
kernel32.dll,WriteFile,0x466228
kernel32.dll,WaitForSingleObject,0x46622c
kernel32.dll,VirtualQuery,0x466230
kernel32.dll,VirtualAlloc,0x466234
kernel32.dll,SleepEx,0x466238
kernel32.dll,Sleep,0x46623c
kernel32.dll,SizeofResource,0x466240
kernel32.dll,SetThreadLocale,0x466244
kernel32.dll,SetFilePointer,0x466248
kernel32.dll,SetEvent,0x46624c
kernel32.dll,SetErrorMode,0x466250
kernel32.dll,SetEndOfFile,0x466254
kernel32.dll,ResetEvent,0x466258
