dll,name,address
KERNEL32.dll,HeapAlloc,0x180017030
KERNEL32.dll,GetProcessHeap,0x180017038
KERNEL32.dll,HeapFree,0x180017040
KERNEL32.dll,ReadFile,0x180017048
KERNEL32.dll,VirtualAlloc,0x180017050
KERNEL32.dll,VirtualProtect,0x180017058
KERNEL32.dll,VirtualFree,0x180017060
KERNEL32.dll,IsBadReadPtr,0x180017068
KERNEL32.dll,WaitForSingleObject,0x180017070
KERNEL32.dll,TerminateProcess,0x180017078
KERNEL32.dll,WriteFile,0x180017080
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x180017088
KERNEL32.dll,OpenEventW,0x180017090
KERNEL32.dll,FindFirstFileW,0x180017098
KERNEL32.dll,FindClose,0x1800170a0
KERNEL32.dll,GetModuleHandleW,0x1800170a8
KERNEL32.dll,CreateThread,0x1800170b0
KERNEL32.dll,GetExitCodeThread,0x1800170b8
KERNEL32.dll,GetStartupInfoA,0x1800170c0
KERNEL32.dll,GetLastError,0x1800170c8
KERNEL32.dll,FlushFileBuffers,0x1800170d0
KERNEL32.dll,SetEndOfFile,0x1800170d8
KERNEL32.dll,SetFilePointer,0x1800170e0
KERNEL32.dll,CreateFileW,0x1800170e8
KERNEL32.dll,LeaveCriticalSection,0x1800170f0
KERNEL32.dll,EnterCriticalSection,0x1800170f8
KERNEL32.dll,CloseHandle,0x180017100
KERNEL32.dll,OutputDebugStringA,0x180017108
KERNEL32.dll,DeleteCriticalSection,0x180017110
KERNEL32.dll,GetModuleHandleA,0x180017118
KERNEL32.dll,LoadLibraryA,0x180017120
KERNEL32.dll,DisableThreadLibraryCalls,0x180017128
KERNEL32.dll,GetProcAddress,0x180017130
KERNEL32.dll,Sleep,0x180017138
KERNEL32.dll,GetCurrentProcess,0x180017140
KERNEL32.dll,CompareStringW,0x180017148
KERNEL32.dll,CompareStringA,0x180017150
KERNEL32.dll,GetDriveTypeA,0x180017158
KERNEL32.dll,GetLocaleInfoA,0x180017160
KERNEL32.dll,GetStringTypeW,0x180017168
KERNEL32.dll,GetStringTypeA,0x180017170
KERNEL32.dll,LCMapStringA,0x180017178
KERNEL32.dll,TerminateThread,0x180017180
KERNEL32.dll,InitializeCriticalSection,0x180017188
KERNEL32.dll,HeapReAlloc,0x180017190
KERNEL32.dll,FileTimeToSystemTime,0x180017198
KERNEL32.dll,FileTimeToLocalFileTime,0x1800171a0
KERNEL32.dll,GetDriveTypeW,0x1800171a8
KERNEL32.dll,GetSystemTimeAsFileTime,0x1800171b0
KERNEL32.dll,GetCurrentThreadId,0x1800171b8
KERNEL32.dll,FlsSetValue,0x1800171c0
KERNEL32.dll,GetCommandLineA,0x1800171c8
KERNEL32.dll,UnhandledExceptionFilter,0x1800171d0
KERNEL32.dll,SetUnhandledExceptionFilter,0x1800171d8
