dll,name,address
KERNEL32.dll,CreateProcessA,0x403010
KERNEL32.dll,GetLongPathNameA,0x403014
KERNEL32.dll,GetTempPathA,0x403018
KERNEL32.dll,Sleep,0x40301c
KERNEL32.dll,CloseHandle,0x403020
KERNEL32.dll,DeleteFileA,0x403024
KERNEL32.dll,ExpandEnvironmentStringsA,0x403028
KERNEL32.dll,GetModuleHandleA,0x40302c
KERNEL32.dll,GetModuleFileNameA,0x403030
KERNEL32.dll,LoadLibraryA,0x403034
KERNEL32.dll,CopyFileA,0x403038
KERNEL32.dll,GetProcAddress,0x40303c
KERNEL32.dll,GetStartupInfoA,0x403040
LZ32.dll,LZClose,0x403048
LZ32.dll,LZOpenFileA,0x40304c
LZ32.dll,LZCopy,0x403050
MSVCRT.dll,strncmp,0x403058
MSVCRT.dll,_XcptFilter,0x40305c
MSVCRT.dll,exit,0x403060
MSVCRT.dll,_acmdln,0x403064
MSVCRT.dll,__getmainargs,0x403068
MSVCRT.dll,_initterm,0x40306c
MSVCRT.dll,__setusermatherr,0x403070
MSVCRT.dll,_adjust_fdiv,0x403074
MSVCRT.dll,strrchr,0x403078
MSVCRT.dll,__p__fmode,0x40307c
MSVCRT.dll,__set_app_type,0x403080
MSVCRT.dll,_except_handler3,0x403084
MSVCRT.dll,_controlfp,0x403088
MSVCRT.dll,atoi,0x40308c
MSVCRT.dll,strncpy,0x403090
MSVCRT.dll,strstr,0x403094
MSVCRT.dll,__p__commode,0x403098
MSVCRT.dll,strchr,0x40309c
MSVCRT.dll,_exit,0x4030a0
ADVAPI32.dll,RegCloseKey,0x403000
ADVAPI32.dll,RegCreateKeyExA,0x403004
ADVAPI32.dll,RegSetValueExA,0x403008
