dll,name,address
KERNEL32.dll,CloseHandle,0x10009000
KERNEL32.dll,GetLastError,0x10009004
KERNEL32.dll,GetDiskFreeSpaceW,0x10009008
KERNEL32.dll,GetDiskFreeSpaceExW,0x1000900c
KERNEL32.dll,GetDriveTypeW,0x10009010
KERNEL32.dll,SetErrorMode,0x10009014
KERNEL32.dll,FindNextFileW,0x10009018
KERNEL32.dll,CreateProcessW,0x1000901c
KERNEL32.dll,VirtualAlloc,0x10009020
KERNEL32.dll,CreateProcessA,0x10009024
KERNEL32.dll,lstrcatA,0x10009028
KERNEL32.dll,GetComputerNameW,0x1000902c
KERNEL32.dll,LoadLibraryA,0x10009030
KERNEL32.dll,GetProcAddress,0x10009034
KERNEL32.dll,WaitForMultipleObjects,0x10009038
KERNEL32.dll,GetStartupInfoA,0x1000903c
KERNEL32.dll,CreatePipe,0x10009040
KERNEL32.dll,DeleteCriticalSection,0x10009044
KERNEL32.dll,HeapFree,0x10009048
KERNEL32.dll,HeapAlloc,0x1000904c
KERNEL32.dll,GetProcessHeap,0x10009050
USER32.dll,wsprintfW,0x10009110
MSVCRT.dll,wcscat,0x1000908c
MSVCRT.dll,wcslen,0x10009090
MSVCRT.dll,wcscpy,0x10009094
MSVCRT.dll,fclose,0x10009098
MSVCRT.dll,fwrite,0x1000909c
MSVCRT.dll,_wfopen,0x100090a0
MSVCRT.dll,fread,0x100090a4
MSVCRT.dll,rewind,0x100090a8
MSVCRT.dll,ftell,0x100090ac
MSVCRT.dll,fseek,0x100090b0
MSVCRT.dll,wcscmp,0x100090b4
MSVCRT.dll,strstr,0x100090b8
MSVCRT.dll,memmove,0x100090bc
MSVCRT.dll,strncmp,0x100090c0
MSVCRT.dll,_CxxThrowException,0x100090c4
MSVCRT.dll,atol,0x100090c8
MSVCRT.dll,fopen,0x100090cc
MSVCRT.dll,__dllonexit,0x100090d0
MSVCRT.dll,_onexit,0x100090d4
MSVCRT.dll,??1type_info@@UAE@XZ,0x100090d8
MSVCRT.dll,_initterm,0x100090dc
MSVCRT.dll,_adjust_fdiv,0x100090e0
MSVCRT.dll,_except_handler3,0x100090e4
MSVCRT.dll,sprintf,0x100090e8
MSVCRT.dll,__CxxFrameHandler,0x100090ec
MSVCRT.dll,??2@YAPAXI@Z,0x100090f0
MSVCRT.dll,??3@YAXPAX@Z,0x100090f4
MSVCRT.dll,malloc,0x100090f8
MSVCRT.dll,free,0x100090fc
MSVCRT.dll,_strlwr,0x10009100
MSVCRT.dll,strncpy,0x10009104
MSVCRT.dll,_itoa,0x10009108
MSVCP60.dll,?max_size@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QBEIXZ,0x10009058
MSVCP60.dll,?append@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@PBDI@Z,0x1000905c
MSVCP60.dll,?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAEAAV12@ABV12@II@Z,0x10009060
MSVCP60.dll,??9std@@YA_NABV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@0@PBD@Z,0x10009064
MSVCP60.dll,?_C@?1??_Nullstr@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@CAPBDXZ@4DB,0x10009068
MSVCP60.dll,?_Grow@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAE_NI_N@Z,0x1000906c
MSVCP60.dll,?_Eos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z,0x10009070
MSVCP60.dll,?npos@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@2IB,0x10009074
MSVCP60.dll,??1?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QAE@XZ,0x10009078
MSVCP60.dll,?_Xlen@std@@YAXXZ,0x1000907c
MSVCP60.dll,?_Tidy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEX_N@Z,0x10009080
MSVCP60.dll,?_Copy@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@AAEXI@Z,0x10009084
WININET.dll,InternetOpenA,0x10009118
WININET.dll,HttpSendRequestA,0x1000911c
WININET.dll,InternetSetCookieA,0x10009120
WININET.dll,HttpAddRequestHeadersA,0x10009124
WININET.dll,HttpOpenRequestA,0x10009128
WININET.dll,InternetConnectA,0x1000912c
WININET.dll,InternetWriteFile,0x10009130
WININET.dll,HttpSendRequestExA,0x10009134
WININET.dll,HttpQueryInfoA,0x10009138
WININET.dll,InternetReadFile,0x1000913c
WININET.dll,InternetAttemptConnect,0x10009140
WININET.dll,HttpEndRequestA,0x10009144
