dll,name,address
KERNEL32.dll,VirtualAlloc,0x414000
KERNEL32.dll,Sleep,0x414004
KERNEL32.dll,GetTickCount,0x414008
KERNEL32.dll,GetProcAddress,0x41400c
KERNEL32.dll,LoadLibraryA,0x414010
KERNEL32.dll,GetModuleHandleW,0x414014
KERNEL32.dll,VirtualProtect,0x414018
KERNEL32.dll,TlsFree,0x41401c
KERNEL32.dll,InterlockedIncrement,0x414020
KERNEL32.dll,InterlockedDecrement,0x414024
KERNEL32.dll,EncodePointer,0x414028
KERNEL32.dll,DecodePointer,0x41402c
KERNEL32.dll,InitializeCriticalSection,0x414030
KERNEL32.dll,DeleteCriticalSection,0x414034
KERNEL32.dll,EnterCriticalSection,0x414038
KERNEL32.dll,LeaveCriticalSection,0x41403c
KERNEL32.dll,RaiseException,0x414040
KERNEL32.dll,RtlUnwind,0x414044
KERNEL32.dll,TlsAlloc,0x414048
KERNEL32.dll,TlsGetValue,0x41404c
KERNEL32.dll,TlsSetValue,0x414050
KERNEL32.dll,SetLastError,0x414054
KERNEL32.dll,GetCurrentThreadId,0x414058
KERNEL32.dll,GetLastError,0x41405c
KERNEL32.dll,ExitProcess,0x414060
KERNEL32.dll,GetCommandLineA,0x414064
KERNEL32.dll,HeapSetInformation,0x414068
KERNEL32.dll,HeapFree,0x41406c
KERNEL32.dll,WideCharToMultiByte,0x414070
KERNEL32.dll,LCMapStringW,0x414074
KERNEL32.dll,MultiByteToWideChar,0x414078
KERNEL32.dll,GetCPInfo,0x41407c
KERNEL32.dll,HeapAlloc,0x414080
KERNEL32.dll,IsProcessorFeaturePresent,0x414084
KERNEL32.dll,InitializeCriticalSectionAndSpinCount,0x414088
KERNEL32.dll,GetACP,0x41408c
KERNEL32.dll,GetOEMCP,0x414090
KERNEL32.dll,IsValidCodePage,0x414094
KERNEL32.dll,LoadLibraryW,0x414098
KERNEL32.dll,GetLocaleInfoW,0x41409c
KERNEL32.dll,UnhandledExceptionFilter,0x4140a0
KERNEL32.dll,SetUnhandledExceptionFilter,0x4140a4
KERNEL32.dll,IsDebuggerPresent,0x4140a8
KERNEL32.dll,TerminateProcess,0x4140ac
KERNEL32.dll,GetCurrentProcess,0x4140b0
KERNEL32.dll,WriteFile,0x4140b4
KERNEL32.dll,GetStdHandle,0x4140b8
KERNEL32.dll,GetModuleFileNameW,0x4140bc
KERNEL32.dll,GetModuleFileNameA,0x4140c0
KERNEL32.dll,FreeEnvironmentStringsW,0x4140c4
KERNEL32.dll,GetEnvironmentStringsW,0x4140c8
KERNEL32.dll,SetHandleCount,0x4140cc
KERNEL32.dll,GetFileType,0x4140d0
KERNEL32.dll,GetStartupInfoW,0x4140d4
KERNEL32.dll,HeapCreate,0x4140d8
KERNEL32.dll,QueryPerformanceCounter,0x4140dc
KERNEL32.dll,GetCurrentProcessId,0x4140e0
KERNEL32.dll,GetSystemTimeAsFileTime,0x4140e4
KERNEL32.dll,HeapSize,0x4140e8
KERNEL32.dll,GetConsoleCP,0x4140ec
KERNEL32.dll,GetConsoleMode,0x4140f0
KERNEL32.dll,FlushFileBuffers,0x4140f4
KERNEL32.dll,ReadFile,0x4140f8
KERNEL32.dll,SetFilePointer,0x4140fc
KERNEL32.dll,CloseHandle,0x414100
KERNEL32.dll,GetStringTypeW,0x414104
KERNEL32.dll,HeapReAlloc,0x414108
KERNEL32.dll,GetUserDefaultLCID,0x41410c
KERNEL32.dll,GetLocaleInfoA,0x414110
KERNEL32.dll,EnumSystemLocalesA,0x414114
KERNEL32.dll,IsValidLocale,0x414118
KERNEL32.dll,WriteConsoleW,0x41411c
KERNEL32.dll,SetStdHandle,0x414120
KERNEL32.dll,CreateFileW,0x414124
