dll,name,address
KERNEL32.dll,GetLastError,0x47202c
KERNEL32.dll,Sleep,0x472030
KERNEL32.dll,SetLastError,0x472034
KERNEL32.dll,HeapFree,0x472038
KERNEL32.dll,HeapAlloc,0x47203c
KERNEL32.dll,GetCommandLineA,0x472040
KERNEL32.dll,GetVersionExA,0x472044
KERNEL32.dll,GetProcessHeap,0x472048
KERNEL32.dll,GetStartupInfoA,0x47204c
KERNEL32.dll,TerminateProcess,0x472050
KERNEL32.dll,GetCurrentProcess,0x472054
KERNEL32.dll,UnhandledExceptionFilter,0x472058
KERNEL32.dll,SetUnhandledExceptionFilter,0x47205c
KERNEL32.dll,IsDebuggerPresent,0x472060
KERNEL32.dll,HeapDestroy,0x472064
KERNEL32.dll,HeapCreate,0x472068
KERNEL32.dll,VirtualFree,0x47206c
KERNEL32.dll,DeleteCriticalSection,0x472070
KERNEL32.dll,LeaveCriticalSection,0x472074
KERNEL32.dll,EnterCriticalSection,0x472078
KERNEL32.dll,VirtualAlloc,0x47207c
KERNEL32.dll,HeapReAlloc,0x472080
KERNEL32.dll,GetProcAddress,0x472084
KERNEL32.dll,GetModuleHandleA,0x472088
KERNEL32.dll,ExitProcess,0x47208c
KERNEL32.dll,WriteFile,0x472090
KERNEL32.dll,GetStdHandle,0x472094
KERNEL32.dll,GetModuleFileNameA,0x472098
KERNEL32.dll,RtlUnwind,0x47209c
KERNEL32.dll,SetFilePointer,0x4720a0
KERNEL32.dll,SetHandleCount,0x4720a4
KERNEL32.dll,GetFileType,0x4720a8
KERNEL32.dll,CloseHandle,0x4720ac
KERNEL32.dll,MultiByteToWideChar,0x4720b0
KERNEL32.dll,ReadFile,0x4720b4
KERNEL32.dll,FreeEnvironmentStringsA,0x4720b8
KERNEL32.dll,GetEnvironmentStrings,0x4720bc
KERNEL32.dll,FreeEnvironmentStringsW,0x4720c0
KERNEL32.dll,WideCharToMultiByte,0x4720c4
KERNEL32.dll,GetEnvironmentStringsW,0x4720c8
KERNEL32.dll,TlsGetValue,0x4720cc
KERNEL32.dll,TlsAlloc,0x4720d0
KERNEL32.dll,TlsSetValue,0x4720d4
KERNEL32.dll,TlsFree,0x4720d8
KERNEL32.dll,InterlockedIncrement,0x4720dc
KERNEL32.dll,GetCurrentThreadId,0x4720e0
KERNEL32.dll,InterlockedDecrement,0x4720e4
KERNEL32.dll,QueryPerformanceCounter,0x4720e8
KERNEL32.dll,GetTickCount,0x4720ec
KERNEL32.dll,GetCurrentProcessId,0x4720f0
KERNEL32.dll,GetSystemTimeAsFileTime,0x4720f4
KERNEL32.dll,InitializeCriticalSection,0x4720f8
KERNEL32.dll,SetConsoleCtrlHandler,0x4720fc
KERNEL32.dll,FreeLibrary,0x472100
KERNEL32.dll,LoadLibraryA,0x472104
KERNEL32.dll,CreateFileA,0x472108
KERNEL32.dll,SetStdHandle,0x47210c
KERNEL32.dll,GetConsoleCP,0x472110
KERNEL32.dll,GetConsoleMode,0x472114
KERNEL32.dll,FlushFileBuffers,0x472118
KERNEL32.dll,GetCPInfo,0x47211c
KERNEL32.dll,GetACP,0x472120
KERNEL32.dll,GetOEMCP,0x472124
KERNEL32.dll,HeapSize,0x472128
KERNEL32.dll,GetLocaleInfoA,0x47212c
KERNEL32.dll,SetEndOfFile,0x472130
KERNEL32.dll,LCMapStringA,0x472134
KERNEL32.dll,LCMapStringW,0x472138
KERNEL32.dll,WriteConsoleA,0x47213c
KERNEL32.dll,GetConsoleOutputCP,0x472140
KERNEL32.dll,WriteConsoleW,0x472144
KERNEL32.dll,GetStringTypeA,0x472148
KERNEL32.dll,GetStringTypeW,0x47214c
KERNEL32.dll,GetTimeZoneInformation,0x472150
KERNEL32.dll,CompareStringA,0x472154
KERNEL32.dll,CompareStringW,0x472158
KERNEL32.dll,SetEnvironmentVariableA,0x47215c
KERNEL32.dll,GetVersion,0x472160
KERNEL32.dll,FindFirstFileA,0x472164
KERNEL32.dll,FindClose,0x472168
KERNEL32.dll,GlobalMemoryStatus,0x47216c
KERNEL32.dll,FlushConsoleInputBuffer,0x472170
KERNEL32.dll,ReadConsoleInputA,0x472174
KERNEL32.dll,SetConsoleMode,0x472178
KERNEL32.dll,FileTimeToSystemTime,0x47217c
KERNEL32.dll,FileTimeToLocalFileTime,0x472180
KERNEL32.dll,GetDriveTypeA,0x472184
KERNEL32.dll,GetFullPathNameA,0x472188
KERNEL32.dll,GetCurrentDirectoryA,0x47218c
ADVAPI32.dll,RegisterEventSourceA,0x472000
ADVAPI32.dll,ReportEventA,0x472004
ADVAPI32.dll,CryptEncrypt,0x472008
ADVAPI32.dll,CryptDecrypt,0x47200c
ADVAPI32.dll,CryptAcquireContextA,0x472010
ADVAPI32.dll,CryptCreateHash,0x472014
ADVAPI32.dll,CryptHashData,0x472018
ADVAPI32.dll,CryptDeriveKey,0x47201c
ADVAPI32.dll,CryptDestroyHash,0x472020
ADVAPI32.dll,DeregisterEventSource,0x472024
WS2_32.dll,inet_addr,0x4721a8
WS2_32.dll,WSACleanup,0x4721ac
WS2_32.dll,WSAStartup,0x4721b0
WS2_32.dll,ntohl,0x4721b4
WS2_32.dll,WSAGetLastError,0x4721b8
WS2_32.dll,select,0x4721bc
WS2_32.dll,connect,0x4721c0
WS2_32.dll,closesocket,0x4721c4
WS2_32.dll,htonl,0x4721c8
WS2_32.dll,htons,0x4721cc
WS2_32.dll,socket,0x4721d0
WS2_32.dll,shutdown,0x4721d4
WS2_32.dll,recv,0x4721d8
WS2_32.dll,WSASetLastError,0x4721dc
WS2_32.dll,send,0x4721e0
USER32.dll,GetUserObjectInformationW,0x472194
USER32.dll,GetProcessWindowStation,0x472198
USER32.dll,GetDesktopWindow,0x47219c
USER32.dll,MessageBoxA,0x4721a0
