dll,name,address
KERNEL32.dll,GlobalMemoryStatus,0x40c048
KERNEL32.dll,GetSystemInfo,0x40c04c
KERNEL32.dll,GetProcAddress,0x40c050
KERNEL32.dll,GetModuleHandleA,0x40c054
KERNEL32.dll,GetVersionExA,0x40c058
KERNEL32.dll,GetComputerNameA,0x40c05c
KERNEL32.dll,VirtualFree,0x40c060
KERNEL32.dll,ReadFile,0x40c064
KERNEL32.dll,VirtualAlloc,0x40c068
KERNEL32.dll,GetFileSize,0x40c06c
KERNEL32.dll,GetLastError,0x40c070
KERNEL32.dll,CreateFileW,0x40c074
KERNEL32.dll,MoveFileExW,0x40c078
KERNEL32.dll,DeleteFileW,0x40c07c
KERNEL32.dll,GetTempFileNameW,0x40c080
KERNEL32.dll,GetSystemDirectoryA,0x40c084
KERNEL32.dll,GetModuleFileNameA,0x40c088
KERNEL32.dll,CreateProcessA,0x40c08c
KERNEL32.dll,DeleteFileA,0x40c090
KERNEL32.dll,Sleep,0x40c094
KERNEL32.dll,MultiByteToWideChar,0x40c098
KERNEL32.dll,CreateThread,0x40c09c
KERNEL32.dll,FlushFileBuffers,0x40c0a0
KERNEL32.dll,LCMapStringW,0x40c0a4
KERNEL32.dll,LCMapStringA,0x40c0a8
KERNEL32.dll,GetStringTypeW,0x40c0ac
KERNEL32.dll,GetStringTypeA,0x40c0b0
KERNEL32.dll,SetStdHandle,0x40c0b4
KERNEL32.dll,LoadLibraryA,0x40c0b8
KERNEL32.dll,GetOEMCP,0x40c0bc
KERNEL32.dll,GetTickCount,0x40c0c0
KERNEL32.dll,SystemTimeToFileTime,0x40c0c4
KERNEL32.dll,GetLocalTime,0x40c0c8
KERNEL32.dll,lstrlenA,0x40c0cc
KERNEL32.dll,lstrcpyA,0x40c0d0
KERNEL32.dll,lstrcatA,0x40c0d4
KERNEL32.dll,GetLogicalDrives,0x40c0d8
KERNEL32.dll,GetDriveTypeA,0x40c0dc
KERNEL32.dll,GetDiskFreeSpaceExA,0x40c0e0
KERNEL32.dll,FindFirstFileA,0x40c0e4
KERNEL32.dll,FileTimeToSystemTime,0x40c0e8
KERNEL32.dll,FindNextFileA,0x40c0ec
KERNEL32.dll,WriteFile,0x40c0f0
KERNEL32.dll,CloseHandle,0x40c0f4
KERNEL32.dll,LocalAlloc,0x40c0f8
KERNEL32.dll,LocalFree,0x40c0fc
KERNEL32.dll,CreateFileA,0x40c100
KERNEL32.dll,GetTempPathW,0x40c104
KERNEL32.dll,GetACP,0x40c108
KERNEL32.dll,GetCPInfo,0x40c10c
KERNEL32.dll,IsBadCodePtr,0x40c110
KERNEL32.dll,IsBadReadPtr,0x40c114
KERNEL32.dll,SetUnhandledExceptionFilter,0x40c118
KERNEL32.dll,SetFilePointer,0x40c11c
KERNEL32.dll,IsBadWritePtr,0x40c120
KERNEL32.dll,HeapReAlloc,0x40c124
KERNEL32.dll,HeapCreate,0x40c128
KERNEL32.dll,HeapDestroy,0x40c12c
KERNEL32.dll,GetEnvironmentVariableA,0x40c130
KERNEL32.dll,GetFileType,0x40c134
KERNEL32.dll,GetStdHandle,0x40c138
KERNEL32.dll,SetHandleCount,0x40c13c
KERNEL32.dll,GetEnvironmentStringsW,0x40c140
KERNEL32.dll,GetEnvironmentStrings,0x40c144
KERNEL32.dll,WideCharToMultiByte,0x40c148
KERNEL32.dll,FreeEnvironmentStringsW,0x40c14c
KERNEL32.dll,FreeEnvironmentStringsA,0x40c150
KERNEL32.dll,GetFileAttributesW,0x40c154
KERNEL32.dll,RtlUnwind,0x40c158
KERNEL32.dll,GetStartupInfoA,0x40c15c
KERNEL32.dll,GetCommandLineA,0x40c160
KERNEL32.dll,GetVersion,0x40c164
KERNEL32.dll,ExitProcess,0x40c168
KERNEL32.dll,HeapFree,0x40c16c
KERNEL32.dll,HeapAlloc,0x40c170
KERNEL32.dll,TerminateProcess,0x40c174
KERNEL32.dll,GetCurrentProcess,0x40c178
KERNEL32.dll,UnhandledExceptionFilter,0x40c17c
USER32.dll,GetDC,0x40c194
USER32.dll,wsprintfW,0x40c198
USER32.dll,TranslateAcceleratorA,0x40c19c
USER32.dll,DispatchMessageA,0x40c1a0
USER32.dll,TranslateMessage,0x40c1a4
USER32.dll,GetMessageA,0x40c1a8
USER32.dll,GetSystemMetrics,0x40c1ac
GDI32.dll,GetDeviceCaps,0x40c040
ADVAPI32.dll,RegOpenKeyA,0x40c000
ADVAPI32.dll,RegCreateKeyA,0x40c004
ADVAPI32.dll,RegSetValueExA,0x40c008
ADVAPI32.dll,GetUserNameA,0x40c00c
ADVAPI32.dll,RegQueryInfoKeyA,0x40c010
ADVAPI32.dll,RegEnumKeyA,0x40c014
ADVAPI32.dll,RegOpenKeyExA,0x40c018
ADVAPI32.dll,RegQueryValueExA,0x40c01c
ADVAPI32.dll,RegCloseKey,0x40c020
ADVAPI32.dll,OpenSCManagerA,0x40c024
ADVAPI32.dll,EnumServicesStatusA,0x40c028
ADVAPI32.dll,OpenServiceA,0x40c02c
ADVAPI32.dll,QueryServiceConfigA,0x40c030
ADVAPI32.dll,QueryServiceStatus,0x40c034
ADVAPI32.dll,CloseServiceHandle,0x40c038
