dll,name,address
KERNEL32.dll,GetVersionExA,0x10125000
KERNEL32.dll,Thread32Next,0x10125004
USER32.dll,PostMessageA,0x1012500c
GDI32.dll,GetSystemPaletteEntries,0x10125014
ADVAPI32.dll,RegQueryValueExA,0x1012501c
SHELL32.dll,CommandLineToArgvW,0x10125024
ole32.dll,CoCreateInstance,0x1012502c
WS2_32.dll,WSAGetLastError,0x10125034
SHLWAPI.dll,PathMatchSpecA,0x1012503c
DNSAPI.dll,DnsFlushResolverCache,0x10125044
Secur32.dll,LsaGetLogonSessionData,0x1012504c
PSAPI.DLL,GetModuleBaseNameA,0x10125054
NETAPI32.dll,NetUserDel,0x1012505c
AVICAP32.dll,capGetDriverDescriptionA,0x10125064
WTSAPI32.dll,WTSFreeMemory,0x1012506c
USERENV.dll,CreateEnvironmentBlock,0x10125074
VERSION.dll,VerQueryValueA,0x1012507c
KERNEL32.dll,GetModuleFileNameW,0x10125084
KERNEL32.dll,GetModuleHandleA,0x1012508c
KERNEL32.dll,LoadLibraryA,0x10125090
KERNEL32.dll,LocalAlloc,0x10125094
KERNEL32.dll,LocalFree,0x10125098
KERNEL32.dll,GetModuleFileNameA,0x1012509c
KERNEL32.dll,ExitProcess,0x101250a0
