dll,name,address
KERNEL32.dll,GetCurrentDirectoryA,0x402014
KERNEL32.dll,GetModuleHandleA,0x402018
KERNEL32.dll,GetStartupInfoA,0x40201c
KERNEL32.dll,GetLongPathNameA,0x402020
KERNEL32.dll,WinExec,0x402024
KERNEL32.dll,GetModuleFileNameA,0x402028
KERNEL32.dll,lstrlenA,0x40202c
KERNEL32.dll,Sleep,0x402030
WS2_32.dll,gethostname,0x4020cc
WS2_32.dll,WSAStartup,0x4020d0
WS2_32.dll,WSACleanup,0x4020d4
ADVAPI32.dll,RegCreateKeyA,0x402000
ADVAPI32.dll,RegCloseKey,0x402004
ADVAPI32.dll,RegOpenKeyA,0x402008
ADVAPI32.dll,RegSetValueExA,0x40200c
WININET.dll,HttpSendRequestA,0x4020ac
WININET.dll,InternetCloseHandle,0x4020b0
WININET.dll,InternetOpenA,0x4020b4
WININET.dll,InternetConnectA,0x4020b8
WININET.dll,HttpOpenRequestA,0x4020bc
WININET.dll,HttpQueryInfoA,0x4020c0
WININET.dll,InternetReadFile,0x4020c4
MSVCRT.dll,sscanf,0x402038
MSVCRT.dll,_controlfp,0x40203c
MSVCRT.dll,_except_handler3,0x402040
MSVCRT.dll,__set_app_type,0x402044
MSVCRT.dll,__p__fmode,0x402048
MSVCRT.dll,__p__commode,0x40204c
MSVCRT.dll,_adjust_fdiv,0x402050
MSVCRT.dll,atoi,0x402054
MSVCRT.dll,strcat,0x402058
MSVCRT.dll,strcpy,0x40205c
MSVCRT.dll,??3@YAXPAX@Z,0x402060
MSVCRT.dll,__setusermatherr,0x402064
MSVCRT.dll,fflush,0x402068
MSVCRT.dll,fwrite,0x40206c
MSVCRT.dll,fopen,0x402070
MSVCRT.dll,strrchr,0x402074
MSVCRT.dll,??2@YAPAXI@Z,0x402078
MSVCRT.dll,atol,0x40207c
MSVCRT.dll,fclose,0x402080
MSVCRT.dll,strncpy,0x402084
MSVCRT.dll,strstr,0x402088
MSVCRT.dll,strlen,0x40208c
MSVCRT.dll,_exit,0x402090
MSVCRT.dll,_XcptFilter,0x402094
MSVCRT.dll,exit,0x402098
MSVCRT.dll,_acmdln,0x40209c
MSVCRT.dll,__getmainargs,0x4020a0
MSVCRT.dll,_initterm,0x4020a4
