dll,name,address
ADVAPI32.DLL,CryptAcquireContextA,0x42933c
ADVAPI32.DLL,CryptCreateHash,0x429340
ADVAPI32.DLL,CryptDestroyHash,0x429344
ADVAPI32.DLL,CryptGetHashParam,0x429348
ADVAPI32.DLL,CryptHashData,0x42934c
ADVAPI32.DLL,CryptReleaseContext,0x429350
ADVAPI32.DLL,RegCloseKey,0x429354
ADVAPI32.DLL,RegCreateKeyExA,0x429358
ADVAPI32.DLL,RegDeleteKeyA,0x42935c
ADVAPI32.DLL,RegDeleteValueA,0x429360
ADVAPI32.DLL,RegEnumKeyExA,0x429364
ADVAPI32.DLL,RegEnumValueA,0x429368
ADVAPI32.DLL,RegOpenKeyExA,0x42936c
ADVAPI32.DLL,RegQueryValueExA,0x429370
ADVAPI32.DLL,RegSetValueExA,0x429374
CRYPT32.DLL,CryptUnprotectData,0x42937c
GDI32.dll,BitBlt,0x429384
GDI32.dll,CreateCompatibleBitmap,0x429388
GDI32.dll,CreateCompatibleDC,0x42938c
GDI32.dll,DeleteDC,0x429390
GDI32.dll,DeleteObject,0x429394
GDI32.dll,GetDIBits,0x429398
GDI32.dll,SelectObject,0x42939c
KERNEL32.dll,CloseHandle,0x4293a4
KERNEL32.dll,CreateDirectoryA,0x4293a8
KERNEL32.dll,CreateFileA,0x4293ac
KERNEL32.dll,CreateMutexA,0x4293b0
KERNEL32.dll,CreatePipe,0x4293b4
KERNEL32.dll,CreateProcessA,0x4293b8
KERNEL32.dll,CreateToolhelp32Snapshot,0x4293bc
KERNEL32.dll,DeleteFileA,0x4293c0
KERNEL32.dll,EnterCriticalSection,0x4293c4
KERNEL32.dll,ExitProcess,0x4293c8
KERNEL32.dll,FileTimeToSystemTime,0x4293cc
KERNEL32.dll,FindClose,0x4293d0
KERNEL32.dll,FindFirstFileA,0x4293d4
KERNEL32.dll,FindNextFileA,0x4293d8
KERNEL32.dll,FreeLibrary,0x4293dc
KERNEL32.dll,GetCommandLineA,0x4293e0
KERNEL32.dll,GetComputerNameA,0x4293e4
KERNEL32.dll,GetCurrentProcessId,0x4293e8
KERNEL32.dll,GetCurrentThreadId,0x4293ec
