dll,name,address
COMCTL32.dll,InitCommonControlsEx,0x40f018
SHLWAPI.dll,SHAutoComplete,0x40f198
KERNEL32.dll,GetFileAttributesA,0x40f044
KERNEL32.dll,GetFileAttributesW,0x40f048
KERNEL32.dll,SetFileAttributesA,0x40f04c
KERNEL32.dll,SetFileAttributesW,0x40f050
KERNEL32.dll,MoveFileW,0x40f054
KERNEL32.dll,DeleteFileW,0x40f058
KERNEL32.dll,DeleteFileA,0x40f05c
KERNEL32.dll,CreateDirectoryA,0x40f060
KERNEL32.dll,CreateDirectoryW,0x40f064
KERNEL32.dll,FindClose,0x40f068
KERNEL32.dll,FindNextFileA,0x40f06c
KERNEL32.dll,FindFirstFileA,0x40f070
KERNEL32.dll,FindNextFileW,0x40f074
KERNEL32.dll,FindFirstFileW,0x40f078
KERNEL32.dll,GetVersionExW,0x40f07c
KERNEL32.dll,GetFullPathNameA,0x40f080
KERNEL32.dll,GetFullPathNameW,0x40f084
KERNEL32.dll,MultiByteToWideChar,0x40f088
KERNEL32.dll,GetModuleFileNameW,0x40f08c
KERNEL32.dll,FindResourceW,0x40f090
KERNEL32.dll,GetModuleHandleW,0x40f094
KERNEL32.dll,HeapAlloc,0x40f098
KERNEL32.dll,GetProcessHeap,0x40f09c
KERNEL32.dll,HeapFree,0x40f0a0
KERNEL32.dll,HeapReAlloc,0x40f0a4
KERNEL32.dll,CompareStringA,0x40f0a8
KERNEL32.dll,ExitProcess,0x40f0ac
KERNEL32.dll,GetTickCount,0x40f0b0
KERNEL32.dll,WriteFile,0x40f0b4
KERNEL32.dll,GetProcAddress,0x40f0b8
KERNEL32.dll,LoadLibraryW,0x40f0bc
KERNEL32.dll,GetCurrentProcessId,0x40f0c0
KERNEL32.dll,GetLocaleInfoW,0x40f0c4
KERNEL32.dll,GetNumberFormatW,0x40f0c8
KERNEL32.dll,GetDateFormatW,0x40f0cc
KERNEL32.dll,GetTimeFormatW,0x40f0d0
KERNEL32.dll,FileTimeToSystemTime,0x40f0d4
KERNEL32.dll,FileTimeToLocalFileTime,0x40f0d8
KERNEL32.dll,ExpandEnvironmentStringsW,0x40f0dc
KERNEL32.dll,WaitForSingleObject,0x40f0e0
KERNEL32.dll,Sleep,0x40f0e4
