dll,name,address
KERNEL32.DLL,LoadLibraryA,0x47ae10
KERNEL32.DLL,GetProcAddress,0x47ae14
KERNEL32.DLL,GetCommandLineA,0x47ae18
KERNEL32.DLL,GetStartupInfoA,0x47ae1c
KERNEL32.DLL,GetProcessHeap,0x47ae20
KERNEL32.DLL,GetLastError,0x47ae24
KERNEL32.DLL,GetModuleHandleA,0x47ae28
KERNEL32.DLL,TlsGetValue,0x47ae2c
KERNEL32.DLL,InterlockedIncrement,0x47ae30
KERNEL32.DLL,HeapAlloc,0x47ae34
KERNEL32.DLL,ExitProcess,0x47ae38
ADVAPI32.dll,FreeSid,0x47ae40
CRYPT32.dll,CertOpenStore,0x47ae48
GDI32.dll,BitBlt,0x47ae50
ole32.dll,CoInitialize,0x47ae58
RPCRT4.dll,UuidCreate,0x47ae60
Secur32.dll,GetComputerObjectNameW,0x47ae68
SHELL32.dll,SHGetFolderPathW,0x47ae70
USER32.dll,GetDC,0x47ae78
WS2_32.dll,WSAStartup,0x47ae80
WTSAPI32.dll,WTSFreeMemory,0x47ae88
