dll,name,address
WS2_32.dll,htonl,0x1000e218
KERNEL32.dll,FindClose,0x1000e078
KERNEL32.dll,FindFirstFileA,0x1000e07c
KERNEL32.dll,GetVolumeInformationA,0x1000e080
KERNEL32.dll,WaitForSingleObject,0x1000e084
KERNEL32.dll,CreateMutexA,0x1000e088
KERNEL32.dll,OpenMutexA,0x1000e08c
KERNEL32.dll,ReadFile,0x1000e090
KERNEL32.dll,FindNextFileA,0x1000e094
KERNEL32.dll,FreeLibrary,0x1000e098
KERNEL32.dll,GetTempPathA,0x1000e09c
KERNEL32.dll,GetSystemDirectoryA,0x1000e0a0
KERNEL32.dll,GetSystemTime,0x1000e0a4
KERNEL32.dll,lstrlenA,0x1000e0a8
KERNEL32.dll,lstrcpynA,0x1000e0ac
KERNEL32.dll,GetComputerNameA,0x1000e0b0
KERNEL32.dll,OpenProcess,0x1000e0b4
KERNEL32.dll,GetVersionExA,0x1000e0b8
KERNEL32.dll,GetModuleFileNameA,0x1000e0bc
KERNEL32.dll,LocalFree,0x1000e0c0
KERNEL32.dll,LocalAlloc,0x1000e0c4
KERNEL32.dll,GetCurrentProcess,0x1000e0c8
KERNEL32.dll,GetCurrentThread,0x1000e0cc
KERNEL32.dll,CreateMutexW,0x1000e0d0
KERNEL32.dll,SetLastError,0x1000e0d4
KERNEL32.dll,lstrcpyA,0x1000e0d8
KERNEL32.dll,GetVersion,0x1000e0dc
KERNEL32.dll,lstrcatA,0x1000e0e0
KERNEL32.dll,VirtualFree,0x1000e0e4
KERNEL32.dll,ReleaseMutex,0x1000e0e8
KERNEL32.dll,VirtualAlloc,0x1000e0ec
KERNEL32.dll,OpenMutexW,0x1000e0f0
KERNEL32.dll,GetModuleHandleA,0x1000e0f4
KERNEL32.dll,LoadLibraryExA,0x1000e0f8
KERNEL32.dll,IsBadReadPtr,0x1000e0fc
KERNEL32.dll,CreateFileW,0x1000e100
KERNEL32.dll,GetEnvironmentVariableW,0x1000e104
KERNEL32.dll,LoadLibraryW,0x1000e108
KERNEL32.dll,MapViewOfFile,0x1000e10c
KERNEL32.dll,CreateFileMappingA,0x1000e110
KERNEL32.dll,LoadLibraryA,0x1000e114
KERNEL32.dll,SetFilePointer,0x1000e118
KERNEL32.dll,GetProcAddress,0x1000e11c
KERNEL32.dll,CreateThread,0x1000e120
KERNEL32.dll,Sleep,0x1000e124
KERNEL32.dll,CreateFileA,0x1000e128
KERNEL32.dll,WriteFile,0x1000e12c
KERNEL32.dll,CloseHandle,0x1000e130
KERNEL32.dll,GetFileTime,0x1000e134
KERNEL32.dll,SetFileTime,0x1000e138
KERNEL32.dll,CreateProcessA,0x1000e13c
KERNEL32.dll,BeginUpdateResourceA,0x1000e140
KERNEL32.dll,UpdateResourceA,0x1000e144
KERNEL32.dll,EndUpdateResourceA,0x1000e148
KERNEL32.dll,FindResourceA,0x1000e14c
KERNEL32.dll,LoadResource,0x1000e150
KERNEL32.dll,SizeofResource,0x1000e154
KERNEL32.dll,LockResource,0x1000e158
KERNEL32.dll,DeleteFileA,0x1000e15c
KERNEL32.dll,GetLastError,0x1000e160
KERNEL32.dll,CopyFileA,0x1000e164
KERNEL32.dll,SetFileAttributesA,0x1000e168
KERNEL32.dll,GetEnvironmentVariableA,0x1000e16c
KERNEL32.dll,GetCurrentProcessId,0x1000e170
KERNEL32.dll,GetFileSize,0x1000e174
USER32.dll,UnregisterClassA,0x1000e1fc
USER32.dll,SetPropA,0x1000e200
USER32.dll,CreateWindowExW,0x1000e204
USER32.dll,DestroyWindow,0x1000e208
USER32.dll,wsprintfA,0x1000e20c
USER32.dll,UnregisterClassW,0x1000e210
ADVAPI32.dll,RegDeleteValueA,0x1000e000
ADVAPI32.dll,RegEnumValueA,0x1000e004
ADVAPI32.dll,LookupAccountNameA,0x1000e008
ADVAPI32.dll,RegEnumKeyExA,0x1000e00c
ADVAPI32.dll,LookupAccountSidA,0x1000e010
ADVAPI32.dll,IsValidSid,0x1000e014
ADVAPI32.dll,AccessCheck,0x1000e018
ADVAPI32.dll,OpenProcessToken,0x1000e01c
ADVAPI32.dll,GetTokenInformation,0x1000e020
ADVAPI32.dll,GetSidSubAuthorityCount,0x1000e024
ADVAPI32.dll,GetSidSubAuthority,0x1000e028
ADVAPI32.dll,GetUserNameW,0x1000e02c
ADVAPI32.dll,LookupAccountSidW,0x1000e030
ADVAPI32.dll,AllocateAndInitializeSid,0x1000e034
ADVAPI32.dll,FreeSid,0x1000e038
ADVAPI32.dll,RegOpenKeyExA,0x1000e03c
ADVAPI32.dll,RegQueryValueExA,0x1000e040
ADVAPI32.dll,RegCreateKeyExA,0x1000e044
ADVAPI32.dll,RegCloseKey,0x1000e048
ADVAPI32.dll,RegSetValueExA,0x1000e04c
ADVAPI32.dll,SetSecurityDescriptorGroup,0x1000e050
ADVAPI32.dll,SetSecurityDescriptorOwner,0x1000e054
ADVAPI32.dll,InitializeSecurityDescriptor,0x1000e058
ADVAPI32.dll,AddAccessAllowedAce,0x1000e05c
ADVAPI32.dll,InitializeAcl,0x1000e060
ADVAPI32.dll,DuplicateTokenEx,0x1000e064
ADVAPI32.dll,OpenThreadToken,0x1000e068
ADVAPI32.dll,GetSidIdentifierAuthority,0x1000e06c
ADVAPI32.dll,SetSecurityDescriptorDacl,0x1000e070
MSVCRT.dll,_mbschr,0x1000e17c
MSVCRT.dll,_local_unwind2,0x1000e180
MSVCRT.dll,strcmp,0x1000e184
MSVCRT.dll,wcsncat,0x1000e188
MSVCRT.dll,wcscpy,0x1000e18c
MSVCRT.dll,strncmp,0x1000e190
MSVCRT.dll,_wcsicmp,0x1000e194
MSVCRT.dll,_adjust_fdiv,0x1000e198
MSVCRT.dll,_itoa,0x1000e19c
MSVCRT.dll,_stricmp,0x1000e1a0
MSVCRT.dll,sscanf,0x1000e1a4
MSVCRT.dll,strcat,0x1000e1a8
MSVCRT.dll,memset,0x1000e1ac
MSVCRT.dll,strstr,0x1000e1b0
MSVCRT.dll,strncpy,0x1000e1b4
MSVCRT.dll,memcpy,0x1000e1b8
MSVCRT.dll,strlen,0x1000e1bc
MSVCRT.dll,malloc,0x1000e1c0
MSVCRT.dll,strcpy,0x1000e1c4
MSVCRT.dll,free,0x1000e1c8
MSVCRT.dll,strncat,0x1000e1cc
MSVCRT.dll,memcmp,0x1000e1d0
MSVCRT.dll,_snprintf,0x1000e1d4
MSVCRT.dll,_ftol,0x1000e1d8
MSVCRT.dll,realloc,0x1000e1dc
MSVCRT.dll,_abnormal_termination,0x1000e1e0
MSVCRT.dll,wcscmp,0x1000e1e4
MSVCRT.dll,wcslen,0x1000e1e8
MSVCRT.dll,??3@YAXPAX@Z,0x1000e1ec
MSVCRT.dll,??2@YAPAXI@Z,0x1000e1f0
MSVCRT.dll,_initterm,0x1000e1f4
